"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1048701,58420,11780,"WEST FACE ALTERNATIVE CREDIT USA L.P.",805-1054490668,"Delaware","United States","N","Y"
1048701,58420,11781,"WEST FACE ALTERNATIVE CREDIT CAYMAN L.P.",805-4157335568,"","Cayman Islands","N","Y"
1048701,17940,3709,"WEST FACE CREDIT OPPORTUNITIES (USA) L.P.",805-4362463594,"Delaware","United States","N","Y"
1048701,17940,3536,"WEST FACE CREDIT OPPORTUNITIES (CAYMAN) L.P.",805-2846252179,"","Cayman Islands","N","Y"
1048701,17011,3383,"WEST FACE LONG TERM OPPORTUNITIES MASTER FUND L.P.",805-2305180186,"","Cayman Islands","N","Y"
1048701,17011,3382,"WEST FACE LONG TERM OPPORTUNITIES (USA) LIMITED PARTNERSHIP",805-8980590969,"Delaware","United States","N","Y"
1058668,120317,83379,"FABULA CAPITAL PARTNERS, LP",805-4441115423,"Delaware","United States","Y","N"
1058668,120317,83378,"FABULA CAPITAL PARTNERS (CAYMAN), LP",805-1128100024,"","Cayman Islands","Y","N"
1043187,56601,11247,"MST GLOBAL OFFSHORE FUND",805-8738378653,"","Cayman Islands","N","Y"
1048311,180259,118413,"WINTON DIVERSIFIED INSTITUTIONAL FUND",805-9588752062,"","Ireland","N","Y"
1048311,64504,13094,"WINTON DIVERSIFIED STRATEGY FUND (US) L.P.",805-8202755881,"Delaware","United States","N","Y"
1048311,64503,13093,"WINTON DIVERSIFIED FUTURES FUND (US) L.P.",805-2838865664,"Delaware","United States","N","Y"
1048311,64490,13277,"THE WINTON EVOLUTION FUND",805-6708134764,"","Cayman Islands","N","Y"
1055927,22991,5504,"LONG TERM VALUE FUND LP",805-8311616822,"","Cayman Islands","Y","Y"
1055927,22991,5503,"ICHIGO JAPAN FUND H LP",805-5403199325,"","Cayman Islands","Y","Y"
1055927,22991,5502,"ICHIGO JAPAN FUND G LP",805-6742351142,"","Cayman Islands","Y","Y"
1055927,22991,4348,"ICHIGO JAPAN FUND B",805-8122909864,"","Cayman Islands","Y","Y"
1055927,22991,5501,"ICHIGO JAPAN FUND E",805-7979080935,"","Cayman Islands","Y","Y"
1055927,22991,5492,"ICHIGO JAPAN FUND C LP",805-2927982282,"","Cayman Islands","Y","Y"
1055927,22991,5499,"ICHIGO JAPAN FUND D",805-2107670624,"","Cayman Islands","Y","Y"
1055927,22991,116026,"KAIZEN FUND",805-3978698850,"","Cayman Islands","Y","Y"
1050622,168722,116102,"EVERSEPT GLOBAL HEALTHCARE OFFSHORE FUND, LTD.",805-8087807742,"","Cayman Islands","N","Y"
1048278,170363,116629,"AQS EMERGING MARKETS CORPORATE DEBT TOTAL RETURN FEEDER FUND I PLC",805-7114452882,"","Ireland","N","Y"
1048278,170363,116630,"AQS EMERGING MARKETS CORPORATE DEBT TOTAL RETURN FEEDER FUND II LLC",805-3978127648,"","Ireland","N","Y"
1047168,180332,118333,"SELWOOD AM CREDIT FUND LP",805-9152437474,"Delaware","United States","N","Y"
1047168,180332,118334,"SELWOOD AM CREDIT FUND LTD",805-1261300459,"","Cayman Islands","N","Y"
1045026,179996,118296,"CLOF II JERSEY PROPERTY UNIT TRUST",805-5061613423,"","Jersey","N","Y"
1051220,180600,118389,"TOWER HOUSE FUND LP",805-2232235258,"Delaware","United States","N","Y"
1051220,180600,118390,"TOWER HOUSE FUND LIMITED",805-7307341646,"","Cayman Islands","N","Y"
1041955,178212,117994,"LCM PARTNERS CO IIIA LP",805-1666497240,"","Cayman Islands","N","Y"
1055427,71228,29365,"GMT COMMUNICATIONS PARTNERS II FEEDER, L.P.",805-7080210570,"Delaware","United States","Y","Y"
1026985,55571,109574,"ADP II GP COMMITMENT L.P.",805-5714850229,"","Guernsey","N","Y"
1050555,172929,117020,"AQS FRONTIERS FUND LLC",805-3388756995,"Delaware","United States","N","Y"
1050555,172929,117019,"AQS FRONTIERS FUND LIMITED",805-5666224027,"","Cayman Islands","N","Y"
1050555,172814,116981,"AQS MENA FUND LLC",805-5039804577,"Delaware","United States","N","Y"
1050555,172814,116980,"AQS MENA FUND LIMITED",805-5122258986,"","Cayman Islands","N","Y"
1047422,66562,13626,"ELEGANTREE FUND SPC BERN SEGREGATED PORTFOLIO",805-5494262058,"","Cayman Islands","N","Y"
1047422,66561,13625,"ELEGANTREE FUND SPC BASEL-STADT SEGREGATED PORTFOLIO",805-4412443884,"","Cayman Islands","N","Y"
1047422,66560,13624,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,66560,13623,"ELEGANTREE FUND SPC LUCERNE SEGREGATED PORTFOLIO",805-8890967302,"","Cayman Islands","N","Y"
1047422,66560,13622,"ELEGANTREE FUND SPC BERN SEGREGATED PORTFOLIO",805-5494262058,"","Cayman Islands","N","Y"
1047422,66560,13621,"ELEGANTREE FUND LLC BERN SEGREGATED PORTFOLIO",805-6596537685,"Delaware","United States","N","Y"
1047422,66559,13620,"ELEGANTREE FUND SPC LUCERNE SEGREGATED PORTFOLIO",805-8890967302,"","Cayman Islands","N","Y"
1047422,66559,13619,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,66559,13618,"ELEGANTREE FUND LLC BERN SEGREGATED PORTFOLIO",805-6596537685,"Delaware","United States","N","Y"
1047422,66558,13617,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,66558,13616,"ELEGANTREE FUND SPC LUCERNE SEGREGATED PORTFOLIO",805-8890967302,"","Cayman Islands","N","Y"
1047422,66558,13615,"ELEGANTREE FUND SPC BASEL-LANDSCHAFT SEGREGATED PORTFOLIO",805-9234771810,"","Cayman Islands","N","Y"
1047422,56600,11246,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,56600,11245,"ELEGANTREE FUND SPC LUCERNE SEGREGATED PORTFOLIO",805-8890967302,"","Cayman Islands","N","Y"
1047422,56600,11243,"ELEGANTREE FUND LLC BERN SEGREGATED PORTFOLIO",805-6596537685,"Delaware","United States","N","Y"
1047422,56597,11237,"ELEGANTREE FUND SPC BASEL-STADT SEGREGATED PORTFOLIO",805-4412443884,"","Cayman Islands","N","Y"
1047422,56597,11236,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,56597,11235,"ELEGANTREE FUND SPC LUCERNE SEGREGATED PORTFOLIO",805-8890967302,"","Cayman Islands","N","Y"
1047422,56597,11234,"ELEGANTREE FUND SPC BERN SEGREGATED PORTFOLIO",805-5494262058,"","Cayman Islands","N","Y"
1047422,56597,11233,"ELEGANTREE FUND LLC BERN SEGREGATED PORTFOLIO",805-6596537685,"Delaware","United States","N","Y"
1047422,56590,11220,"ELEGANTREE FUND SPC BERN SEGREGATED SEGREGATED PORTFOLIO",805-5494262058,"","Cayman Islands","N","Y"
1047422,56590,11219,"ELEGANTREE FUND LLC NORTHWEST SEGREGATED PORTFOLIO",805-6447607537,"Delaware","United States","N","Y"
1047422,43959,7960,"CHAPELGATE CREDIT OPPORTUNITY FUND LP",805-8595165777,"Delaware","United States","N","Y"
1047422,43959,7959,"CHAPELGATE CREDIT OPPORTUNITY FUND LIMITED",805-8879966696,"","Bermuda","N","Y"
1047422,167645,115900,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,44147,7974,"ELEGANTREE FUND SPC VAUD SEGREGATED PORTFOLIO",805-1590998345,"","Cayman Islands","N","Y"
1047422,44147,7973,"ELEGANTREE FUND SPC BERN SEGREGATED PORTFOLIO",805-5494262058,"","Cayman Islands","N","Y"
1047422,44147,7972,"ELEGANTREE FUND SPC BASEL-STADT SEGREGATED PORTFOLIO",805-4412443884,"","Cayman Islands","N","Y"
1047422,44147,7971,"ELEGANTREE FUND LLC BERN SEGREGATED PORTFOLIO",805-6596537685,"Delaware","United States","N","Y"
1047422,66579,13631,"BLACK FOREST STRUCTURED LENDING FUND LLC",805-6916392455,"Delaware","United States","N","Y"
