"FilingID","ReferenceID","SubreferenceID","Website Address"
"869016","32777","16652","MM.JPMORGAN.COM"
"892407","51117","24768","WWW.HEDGEFUND.NET"
"872896","7713","9107","WWW.ORBISFUNDS.COM"
"872896","7713","9163","WWW.ORBISFUNDS.COM"
"881904","54680","33642","WWW.303CAPITAL.COM"
"881904","54697","33643","WWW.303CAPITAL.COM"
"891373","51576","25160","WWW.FIRSTPOINTEQUITY.COM"
"880014","25644","37870","WWW.303CAPITAL.COM"
"891484","41489","20535","WWW.GRIL.NET"
"891484","41512","20538","WWW.GRIL.NET"
"893944","61302","30963","WWW.WFM.SC"
"893944","19135","30967","HTTP://WWW.PROSPERITYCAPITAL.COM/FUNDS~416.ASPX"
"893944","19151","30973","HTTP://WWW.PROSPERITYCAPITAL.COM/FUNDS~416.ASPX"
"893944","19147","30982","HTTP://WWW.PROSPERITYCAPITAL.COM/FUNDS~416.ASPX"
"893944","61302","30983","HTTP://WWW.PROSPERITYCAPITAL.COM/FUNDS~416.ASPX"
"893944","19151","16305","HTTP://WWW.EDMOND-DE-ROTHSCHILD.CO.UK/"
"893944","19135","16297","HTTP://WWW.EDMOND-DE-ROTHSCHILD.CO.UK/"
"867478","57891","28904","HTTP://WWW.CCSTRATEGIC.COM/"
"895163","73039","38279","WWW.HEDGEFUND.NET"
"899035","15995","5727","HTTP://WWW.SAMENACAPITAL.COM/"
"899035","16002","5729","HTTP://WWW.SAMENACAPITAL.COM/"
"888451","58422","29182","HTTP://WWW.CORONADOINVESTMENTS.COM/"
"893850","57779","29308","HTTPS://MCP-AM.COM"
"893850","57776","29309","HTTPS://MCP-AM.COM"
"878472","25289","13145","WWW.HSBC.CA"
"878472","25290","13146","WWW.HSBC.CA"
"878472","61414","31028","WWW.HSBC.CA"
"878472","61296","30946","WWW.HSBC.CA"
"878472","25291","13147","WWW.HSBC.CA"
"878472","45133","22053","WWW.HSBC.CA"
"878472","25255","12157","WWW.HSBC.CA"
"878472","25257","12449","WWW.HSBC.CA"
"878472","25259","12481","WWW.HSBC.CA"
"878472","25264","12511","WWW.HSBC.CA"
"878472","25265","12826","WWW.HSBC.CA"
"878472","25268","13132","WWW.HSBC.CA"
"878472","25273","13137","WWW.HSBC.CA"
"878472","25275","13143","WWW.HSBC.CA"
"878472","72786","38121","WWW.HSBC.CA"
"878472","72793","38129","WWW.HSBC.CA"
"878472","72800","38135","WWW.HSBC.CA"
