"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"948977","64763","BNP PARIBAS SECURITIES SERVICES- SUB-ADMINISTRATOR","HONG KONG","","Hong kong","N","Yes (provided to all investors)",""
"948977","64763","BNP PARIBAS FUND ADMINISTRATION SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"946229","167027","AUGENTIUS (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","Yes (provided to all investors)",""
"949542","43957","INVESTMENT PARTNERSHIP SERVICES","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
"949493","167269","CARTA FUND SERVICES, LLC","DARIEN","Connecticut","United States","N","Yes (provided to all investors)",""
"945321","166942","STATE STREET ALTERNATIVE INVESTMENT SOLUTIONS - INTERNATIONAL FUND SERVICES","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
"945830","65182","MORGAN STANLEY FUND SERVICES USA, LLC","PURCHASE","New York","United States","N","Yes (provided to all investors)",""
"945830","65182","MORGAN STANLEY FUND SERVICES (BERMUDA) LTD.","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"949661","166942","STATE STREET ALTERNATIVE INVESTMENT SOLUTIONS - INTERNATIONAL FUND SERVICES","BOSTON","Massachusetts","United States","N","Yes (provided to all investors)",""
"949349","45359","OAKPOINT FUND SERVICES, LLC","AVON LAKE","Ohio","United States","N","Yes (provided to all investors)",""
"949787","43431","APEX FUND SERVICES","CHARLOTTE","North Carolina","United States","N","Yes (provided to all investors)",""
"949561","167279","STANDISH MANAGEMENT","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"949561","167272","STANDISH MANAGEMENT","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"949749","167285","SS&C TECHNOLOGIES, INC.","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
"946440","65170","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","65173","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","65144","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","65172","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","65145","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","65109","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","167149","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"946440","167148","U.S. BANCORP FUND SERVICES, LLC","MILWAUKEE","Wisconsin","United States","N","Yes (provided to all investors)",""
"944288","162277","FUNDPARTNER SOLUTIONS (EUROPE) S.A.","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"944288","162278","FUNDPARTNER SOLUTIONS (EUROPE) S.A.","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"944288","166872","FUNDPARTNER SOLUTIONS (EUROPE) S.A.","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"945841","167006","CITCO FUND ADMINISTRATION (CAYMAN ISLANDS)","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"943962","167140","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167139","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167138","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167137","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167136","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167135","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167134","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167133","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167132","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167131","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167130","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167129","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167128","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167127","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"943962","167125","TRIDENT TRUST COMPANY (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
