"FilingID","ReferenceID","Foreign Regulatory Authority"
1048467,167426,"Other - THE FUND IS EXEMPT FROM REGISTRATION UNDER SECTION 4(4) OF THE MUTUAL FUNDS LAW (2013 REVISION) OF THE CAYMAN ISLANDS."
1048467,54907,"Cayman Islands - Cayman Islands Monetary Authority"
1044759,179968,"Cayman Islands - Cayman Islands Monetary Authority"
1047168,180332,"Cayman Islands - Cayman Islands Monetary Authority"
1051100,7080,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1056226,180999,"Sweden - Swedish Financial Supervisory Authority"
1056226,181006,"Sweden - Swedish Financial Supervisory Authority"
1045026,179997,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1045026,179997,"Netherlands - The Netherlands Authority for the Financial Markets"
1045026,179997,"Spain - National Commission of Securities Markets"
1045026,179987,"United Kingdom - Financial Conduct Authority"
1045026,179997,"Denmark - Danish Financial Supervisory Authority"
1045026,179997,"United Kingdom - Financial Conduct Authority"
1045026,179997,"Austria - Financial Market Authority"
1045026,180022,"Sweden - Swedish Financial Supervisory Authority"
1045026,180022,"Norway - The Banking, Insurance and Securities Commission"
1045026,180022,"Netherlands - The Netherlands Authority for the Financial Markets"
1045026,180022,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1045026,180022,"Italy - National Stock Exchange Commission"
1045026,180022,"Ireland -  Central Bank of Ireland"
1045026,180022,"Germany - German Federal Financial Supervisory Agency"
1045026,180022,"France - Financial Markets Authority"
1045026,180022,"Finland - Financial Supervision Authority"
1045026,180022,"Denmark - Danish Financial Supervisory Authority"
1045026,180022,"Austria - Financial Market Authority"
1045026,180022,"United Kingdom - Financial Conduct Authority"
1045026,180021,"United Kingdom - Financial Conduct Authority"
1045026,179997,"Sweden - Swedish Financial Supervisory Authority"
1045026,179997,"Norway - The Banking, Insurance and Securities Commission"
1045026,179997,"Italy - National Stock Exchange Commission"
1045026,179997,"Ireland -  Central Bank of Ireland"
1045026,179997,"Finland - Financial Supervision Authority"
1045026,179997,"Germany - German Federal Financial Supervisory Agency"
1045026,179996,"United Kingdom - Financial Conduct Authority"
1045026,179997,"France - Financial Markets Authority"
1045026,179997,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1045026,180021,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1045026,180021,"Netherlands - The Netherlands Authority for the Financial Markets"
1045026,179997,"Belgium - Banking, Finance and Insurance Commission"
1040180,45904,"Mauritius, Republic of - Financial Services Commission"
1040180,45901,"Mauritius, Republic of - Financial Services Commission"
1040180,45896,"Mauritius, Republic of - Financial Services Commission"
1051220,180600,"Cayman Islands - Cayman Islands Monetary Authority"
1055427,71228,"Guernsey - Guernsey Financial Services Commission"
1055427,33856,"Guernsey - Guernsey Financial Services Commission"
1055427,33854,"Guernsey - Guernsey Financial Services Commission"
1055427,33850,"Guernsey - Guernsey Financial Services Commission"
1055427,33849,"Guernsey - Guernsey Financial Services Commission"
1055427,72532,"Guernsey - Guernsey Financial Services Commission"
1026985,55571,"Guernsey - Guernsey Financial Services Commission"
1026985,4725,"Mauritius, Republic of - Financial Services Commission"
1026985,6841,"Jersey - Jersey Financial Services Commission"
1050555,172814,"Cayman Islands - Cayman Islands Monetary Authority"
1050555,172929,"Cayman Islands - Cayman Islands Monetary Authority"
1052692,29461,"Cayman Islands - Cayman Islands Monetary Authority"
1052692,57430,"Cayman Islands - Cayman Islands Monetary Authority"
1058256,24070,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1054457,159011,"Brazil - Securities and Exchange Commission"
1047422,56600,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,56597,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,56590,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,44147,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,43959,"Bermuda - Bermuda Monetary Authority"
1047422,167645,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,167642,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,180141,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,167622,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,167626,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,66579,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,66562,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,66561,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,66559,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,66558,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047422,66560,"Other - EXEMPT FROM REGISTRATION WITH MONETARY AUTHORITY OF CAYMAN ISLANDS"
1047244,68939,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1047244,59111,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1047244,68942,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1047244,59005,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1047244,44430,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1047244,169734,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1051143,179973,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1051143,179971,"United Kingdom - Financial Conduct Authority"
1051143,179972,"United Kingdom - Financial Conduct Authority"
1041727,179696,"Cayman Islands - Cayman Islands Monetary Authority"
1054407,159011,"Brazil - Securities and Exchange Commission"
1031422,178786,"Cayman Islands - Cayman Islands Monetary Authority"
1031422,59330,"Cayman Islands - Cayman Islands Monetary Authority"
1046780,180092,"Mauritius, Republic of - Financial Services Commission"
1050846,180539,"Mauritius, Republic of - Financial Services Commission"
1052717,180600,"Cayman Islands - Cayman Islands Monetary Authority"
1056860,5752,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041051,33054,"Cayman Islands - Cayman Islands Monetary Authority"
1041051,179630,"Ireland -  Central Bank of Ireland"
1050950,180558,"Cayman Islands - Cayman Islands Monetary Authority"
1054527,159011,"Brazil - Securities and Exchange Commission"
1047424,180148,"Cayman Islands - Cayman Islands Monetary Authority"
1047424,180147,"Cayman Islands - Cayman Islands Monetary Authority"
1047424,180146,"Cayman Islands - Cayman Islands Monetary Authority"
1047424,180200,"Cayman Islands - Cayman Islands Monetary Authority"
1052222,32066,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052222,32149,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1046528,178987,"United Kingdom - Prudential Regulation Authority"
1046528,178987,"Switzerland - Swiss Financial Market Supervisory Authority"
1046528,178987,"Sweden - Swedish Financial Supervisory Authority"
1046528,178987,"Norway - The Banking, Insurance and Securities Commission"
1046528,178987,"Netherlands - The Netherlands Authority for the Financial Markets"
1046528,178987,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1046528,178987,"Italy - National Stock Exchange Commission"
1046528,178987,"Finland - Financial Supervision Authority"
1046528,178824,"United Kingdom - Financial Conduct Authority"
1046528,178987,"Germany - German Federal Financial Supervisory Agency"
1046528,178987,"France - Financial Markets Authority"
1046528,178987,"Denmark - Danish Financial Supervisory Authority"
1046528,178982,"United Kingdom - Financial Conduct Authority"
1046528,178982,"Sweden - Swedish Financial Supervisory Authority"
1046528,178982,"Switzerland - Swiss Financial Market Supervisory Authority"
1046528,178982,"Spain - National Commission of Securities Markets"
1046528,178982,"Singapore - Monetary Authority of Singapore"
1046528,178982,"Norway - The Banking, Insurance and Securities Commission"
1046528,178982,"Netherlands - The Netherlands Authority for the Financial Markets"
1046528,178982,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1046528,178982,"Italy - National Stock Exchange Commission"
1046528,178982,"Ireland -  Central Bank of Ireland"
1046528,178982,"Hong Kong - Securities and Futures Commission"
1046528,178982,"Germany - German Federal Financial Supervisory Agency"
1046528,178982,"France - Financial Markets Authority"
1046528,178982,"Finland - Financial Supervision Authority"
1046528,178982,"Austria - Financial Market Authority"
1046528,178982,"Denmark - Danish Financial Supervisory Authority"
1046528,178982,"Chile - Superintendent of Pension Fund Administrators"
1046528,178982,"Belgium - Banking, Finance and Insurance Commission"
1046528,178982,"Other - MACAO - MONETARY AUTHORITY OF MACAO"
1046528,178824,"Taiwan - Financial Supervisory Commission"
1046528,178824,"Sweden - Swedish Financial Supervisory Authority"
1046528,178824,"Switzerland - Swiss Financial Market Supervisory Authority"
1046528,178824,"Spain - National Commission of Securities Markets"
1046528,178824,"Singapore - Monetary Authority of Singapore"
1046528,178824,"Other - MACAO - MONETARY AUTHORITY OF MACAO"
1046528,178824,"Norway - The Banking, Insurance and Securities Commission"
1046528,178824,"Netherlands - The Netherlands Authority for the Financial Markets"
1046528,178824,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1046528,178824,"Italy - National Stock Exchange Commission"
1046528,178824,"Ireland -  Central Bank of Ireland"
1046528,178824,"Hong Kong - Securities and Futures Commission"
1046528,178824,"Germany - German Federal Financial Supervisory Agency"
1046528,178824,"France - Financial Markets Authority"
1046528,178824,"Finland - Financial Supervision Authority"
1046528,178824,"Austria - Financial Market Authority"
1046528,178824,"Denmark - Danish Financial Supervisory Authority"
1046528,178824,"Chile - Superintendent of Pension Fund Administrators"
1046528,178824,"Belgium - Banking, Finance and Insurance Commission"
1047649,179446,"Cayman Islands - Cayman Islands Monetary Authority"
1044343,179909,"Cayman Islands - Cayman Islands Monetary Authority"
1030630,178934,"India - Securities and Exchange Board of India"
1047795,180205,"Cayman Islands - Cayman Islands Monetary Authority"
1051850,76380,"Cayman Islands - Cayman Islands Monetary Authority"
1055758,66136,"United Kingdom - Financial Conduct Authority"
1055758,66185,"United Kingdom - Financial Conduct Authority"
1055758,66184,"United Kingdom - Financial Conduct Authority"
1055758,66134,"United Kingdom - Financial Conduct Authority"
1054870,64987,"Cayman Islands - Cayman Islands Monetary Authority"
1043294,179817,"Cayman Islands - Cayman Islands Monetary Authority"
1046273,180106,"Cayman Islands - Cayman Islands Monetary Authority"
1054073,39801,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1054073,49485,"Ireland -  Central Bank of Ireland"
1058323,61512,"Chile - Superintendent of Pension Fund Administrators"
1058323,61512,"Other - MACAU - MONETARY AUTHORITY OF MACAO"
1058323,61512,"Other - UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
1058323,61512,"Other - SPAIN - NATIONAL SECURITIES & EXCHANGE COMMISSION"
1058323,61512,"Other - SLOVAKIA - NARODNA BANKA SLOVENSKA"
1058323,61512,"Taiwan - Financial Supervisory Commission"
1058323,61512,"Other - PERU - SUPERINTENDENCIA DE BANCA"
1058323,61512,"Singapore - Monetary Authority of Singapore"
