"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
"939894","67656","34554","N","CITIGROUP GLOBAL MARKETS INC.","801-3387","7059","NEW YORK","New York","United States","N"
"954261","58441","37938","N","BLUE SAND SECURITIES LLC","8-67514","142976","NEW YORK","New York","United States","N"
"954862","27067","18931","N","MORGAN STANLEY AND CO INTERNATIONAL PLC","","","LONDON","","United Kingdom","N"
"954862","27067","18929","Y","LLOYDS BANK PLC","","161257","LONDON","","United Kingdom","N"
"954862","27067","18925","N","CITIBANK INTERNATIONAL LIMITED","","","LONDON","","United Kingdom","Y"
"954862","27067","18922","N","BANK OF AMERICA MERRILL LYNCH INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"954862","27067","13282","N","J.P. MORGAN SECURITIES LLC","801-3702","79","NEW YORK","New York","United States","Y"
"954862","27067","13286","Y","LLOYDS SECURITIES","8-68647","154515","NEW YORK","New York","United States","N"
"954862","27067","13285","N","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","801-14235","7691","NEW YORK","New York","United States","N"
"954862","27067","13284","N","MORGAN STANLEY & CO. LLC","8-15869","8209","NEW YORK","New York","United States","Y"
"951348","167422","61418","N","UBS SECURITIES LLC","8-22651","7654","TORONTO","","Canada","N"
"951348","167420","61417","N","UBS SECURITIES LLC","8-22651","7654","TORONTO","","Canada","N"
"951348","167422","61439","N","UBS SECURITIES CANADA INC.","","","TORONTO","","Canada","N"
"951348","167420","61438","N","UBS SECURITIES CANADA INC.","","","TORONTO","","Canada","N"
"937068","166836","61247","N","UBS SECURITIES LLC","8-98765432","","NEW YORK","New York","United States","N"
"937068","166836","61276","N","BANK LEUMI USA","8-1234567","","NEW YORK","New York","United States","N"
"937068","166836","61277","N","ANDREW KLEINBERG","8-12345678","","NEW YORK","New York","United States","N"
"954020","167644","61484","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","167642","61482","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167642","61481","N","SCARSDALE EQUITIES LLC","8-66845","134602","NEW YORK","New York","United States","N"
"954020","167642","61480","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","167622","61471","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","167622","61470","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66578","33815","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66578","33814","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66578","33813","N","SCARSDALE EQUITIES LLC","8-66845","134602","NEW YORK","New York","United States","N"
"954020","66563","33807","N","FAP USA, L.P.","8-67758","145860","NEW YORK","New York","United States","N"
"954020","66563","33806","N","GALLATIN CAPITAL LLC","8-65718","124738","NEW YORK","New York","United States","N"
"954020","66563","33805","N","SCARSDALE EQUITIES LLC","8-66845","134602","NEW YORK","New York","United States","N"
