"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
"954147","167636","61476","N","WEILD & CO.","8-66593","132398","NEW YORK","New York","United States","N"
"964251","168598","61948","N","GCA SAVVIAN ADVISORS, LLC","8-66065","127835","SAN FRANCISCO","California","United States","N"
"950864","167612","61524","N","FLI INVESTORS, LLC","8-39904","17128","JERICHO","New York","United States","N"
"950864","167612","61525","N","SUNRISE SECURITIES CORP.","8-44559","29804","NEW YORK","New York","United States","N"
"966134","65376","33379","Y","ASHBURTON (UK) LIMITED","","","LONDON","","United Kingdom","N"
"966134","64153","32734","Y","ASHBURTON (UK) LIMITED","","","LONDON","","United Kingdom","N"
"966134","64151","32732","Y","ASHBURTON (UK) LIMITED","","","LONDON","","United Kingdom","N"
"966134","64152","32733","Y","ASHBURTON (UK) LIMITED","","","LONDON","","United Kingdom","N"
"963003","58839","35426","N","BEN ROSE","","","BROOKLYN","New York","United States","N"
"963003","58839","35425","Y","BARRY HERTZ","","","BROOKLYN","New York","United States","N"
"963003","50278","35419","N","BEN ROSE","","","BROOKLYN","New York","United States","N"
"963003","50278","35418","Y","BARRY HERTZ","","","BROOKLYN","New York","United States","N"
"963003","64554","32933","Y","BARRY HERTZ","","","BROOKLYN","New York","United States","N"
"963003","64554","32934","N","BEN ROSE","","","BROOKLYN","New York","United States","N"
"963003","54122","61922","N","BEN ROSE","","","BROOKLYN","New York","United States","N"
"963003","54122","61921","Y","BARRY HERTZ","","","BROOKLYN","New York","United States","N"
"966449","69125","35087","N","EATON PARTNERS, LLC","","","ROWAYTON","Connecticut","United States","N"
"961047","65826","33585","N","M2O PRIVATE FUND ADVISORS LLC","8-68917","158741","WHITE PLAINS","New York","United States","N"
"956216","31132","27202","N","ALTERNATIVE ASSET INVESTMENT MANAGEMENT SECURITIES, LLC","8-66889","135131","NEW YORK","New York","United States","N"
"956216","31149","61796","N","ALTERNATIVE ASSET INVESTMENT MANAGEMENT SECURITIES, LLC","8-66889","135131","NEW YORK","New York","United States","N"
"964971","65793","33552","N","BEECH HILL SECURITIES, INC.","8-41389","24771","NEW YORK","New York","United States","N"
"966037","166514","61997","N","COIT CAPITAL SECURITIES LLC","8-69122","164959","SAN FRANCISCO","California","United States","N"
"966168","39004","19746","N","CHATSWORTH SECURITIES LLC","8-49199","40804","GREENWICH","Connecticut","United States","N"
"966168","39231","19804","N","CHATSWORTH SECURITIES LLC","8-49199","40804","GREENWICH","Connecticut","United States","N"
"966770","48622","29186","N","CAPITAL GROWTH SECURITIES LLC","8-49595","41847","NEW YORK","New York","United States","N"
"962290","57430","61917","N","FRONTIER SOLUTIONS, LLC","8-66972","136102","RICHMOND","Virginia","United States","N"
"962290","29461","61915","N","W CAMPION CAPITAL LLC","8-69453","171277","RALEIGH","North Carolina","United States","N"
"993934","30078","17630","N","UNITY SERVICES LIMITED","","","CENTRAL","","Hong kong","N"
"993934","30078","17624","N","THE ST. JAMES BANK & TRUST COMPANY LTD.","","","NASSAU","","Bahamas, The","N"
"993934","30078","17619","N","STONEHAVEN, LLC","8-53699","118913","NEW YORK","New York","United States","N"
"993934","30078","17572","N","MARION TRUST","","","RAROTONGA","","Cook Islands","N"
"993934","30078","17565","N","PERINVEST MANAGEMENT LIMITED","","","HAMILTON","","Bermuda","N"
"993934","30078","17563","N","HOPEWELL MANAGEMENT LIMITED","","","HAMILTON","","Bermuda","N"
"993934","30078","17560","N","ASSET MANAGEMENT & CAPITAL LTD.","","","TORTOLA","","British Virgin Islands","N"
"998013","74161","65329","Y","FINANCORP GROUP INTERNATIONAL CORPORATION","8-45367","31793","FORT LAUDERDALE","Florida","United States","N"
"994867","7393","5151","N","GLADSTONE SECURITIES, LLC","8-66052","127808","RIVERSIDE","Connecticut","United States","N"
"994867","7390","5150","N","GLADSTONE SECURITIES, LLC","8-66052","127808","RIVERSIDE","Connecticut","United States","N"
"994867","7394","41674","N","BERCHWOOD PARTNERS","","","NEW YORK","New York","United States","N"
"994867","7407","41673","N","BERCHWOOD PARTNERS","","","NEW YORK","New York","United States","N"
"975214","22144","63849","N","SILVER LEAF PARTNERS, LLC","8-65902","126694","NEW YORK","New York","United States","N"
"989437","69216","64662","N","MERCURY CAPITAL ADVISORS, LLC","8-68442","152338","NEW YORK","New York","United States","N"
"977355","171887","64160","N","PSOLVE INVESTMENTS LIMITED","","","LONDON","","United Kingdom","N"
"977355","38396","64116","N","AZ LIFE LTD","","","DUBLIN","","Ireland","N"
"977355","38396","64115","N","AIG TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA","","","WARSAW","","Poland","N"
"977355","38396","64111","N","ALLFUNDS INTERNATIONAL SCHWEIZ AG","","","ZURICH","","Switzerland","N"
"977355","38396","64018","N","BAM ASSET MANAGEMENT LIMITED","","","SANTIAGO","","Chile","N"
"977355","38396","64015","N","CIBC MELLON TRUST COMPANY, TRUSTEE OF THE CN CANDADIAN MASTER TRUST FUND","","","ONTARIO","","Canada","N"
"977355","38396","64102","N","HAUCK & AUFHAUSER","","","FRANKFURT AM MAIN","","Germany","N"
"977355","38275","63917","N","AZ LIFE LTD","","","DUBLIN","","Ireland","N"
"977355","38275","63916","N","AIG TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA","","","WARSAW","","Poland","N"
"977355","38275","63905","N","ALLIANZ GLOBAL INVESTORS EUROPE GMBH","","","FRANKFURT AM MAIN","","Germany","N"
"977355","171710","63995","N","AZ LIFE LTD","","","DUBLIN","","Ireland","N"
"977355","171710","63994","N","AIG TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA","","","WARSAW","","Poland","N"
