FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1040418,"","","Y","","","","","","","",
1040419,"Y","","","","","","","","","",
1040450,"","Y","","","","","","","","",2016
1040471,"","","Y","","","","","","","",
1040485,"","","Y","","","","","","","",
1040516,"","","Y","","","","","","","",
1040539,"","","Y","","","","","","","",
1040551,"","","Y","","","","","","","",
1040639,"Y","","","","","","","","","",
1040642,"","","Y","","","","","","","",
1040770,"","","","","Y","","","","","",
1040815,"","","Y","","","","","","","",
1040818,"","","Y","","","","","","","",
1040822,"","","Y","","","","","","","",
1040834,"","","Y","","","","","","","",
1040861,"","","","","","","Y","","","",
1040862,"","","Y","","","","","","","",
1040866,"","","Y","","","","","","","",
1040867,"","","Y","","","","","","","",
1040870,"","","Y","","","","","","","",
1040876,"","","Y","","","","","","","",
1040881,"","","Y","","","","","","","",
1040896,"","","","","Y","","","Y","","",
1040900,"","","","","","","Y","","","",
1040903,"","","","","","","Y","","","",
1040931,"","","Y","","","","","","","",
1040961,"","","Y","","","","","","","",
1040982,"","Y","","","","","","","","",2015
1041042,"Y","","","","","","","","","",
1041051,"Y","","","","","","","","","Y",
1041095,"","","","","Y","","","","","",
1041101,"","","","","","","Y","","","",
1041120,"","","Y","","","","","","","",
1041140,"","","Y","","","","","","","",
1041147,"","","Y","","","","","","","",
1041153,"","","Y","","","","","","","",
1041170,"","","Y","","","","","","","",
1041185,"","","Y","","","","","","","",
1041196,"","","Y","","","","","","","",
1041226,"","","Y","","","","","","","",
1041287,"","","Y","","","","","","","",
1041304,"","","Y","","","","","","","",
1041332,"Y","","","","","","","","","",
1041335,"","","Y","","","","","","","",
1041352,"","","Y","","","","","","","",
1041387,"","","","","","","Y","","","",
1041396,"","","Y","","","","","","","",
1041435,"Y","","","","","","","","","",
1041453,"","","Y","","","","","","","",
1041491,"","","Y","","","","","","","",
1041523,"","","","","","Y","","","","",2015
1041532,"","","Y","","","","","","","",
1041536,"Y","","","","","","","","","",
1041581,"Y","","","","","","","","","",
1041582,"","","Y","","","","","","","",
1041583,"Y","","","","","","","","Y","",
1041584,"","","","","","Y","","","","",2015
1041648,"","","Y","","","","","","","",
1041702,"","","Y","","","","","","","",
1041727,"","","","","Y","","","","","",
1041749,"","","","","","Y","","","","",2015
1041757,"","","Y","","","","","","","",
1041758,"","","Y","","","","","","","",
1041773,"","","Y","","","","","","","",
1041776,"","","Y","","","","","","","",
1041791,"","","Y","","","","","","","",
1041824,"","","Y","","","","","","","",
1041829,"","","Y","","","","","","","",
1041833,"","","","","","","Y","","","",
1041836,"","","Y","","","","","","","",
1041848,"","","Y","","","","","","","",
1041855,"","","Y","","","","","","","",
1041888,"","","Y","","","","","","","",
1041902,"","","Y","","","","","","","",
1041903,"","","Y","","","","","","","",
1041907,"","","","","","","Y","","","",
1041918,"","","Y","","","","","","","",
1041927,"","","Y","","","","","","","",
1041937,"","","","","Y","","","","","",
1041955,"","","","","","","Y","","","",
1041958,"Y","","","","","","","","","Y",
1041982,"","","","","","Y","","","","",2015
1041983,"","","Y","","","","","","","",
1041997,"","","Y","","","","","","","",
1042008,"","","Y","","","","","","","",
1042018,"Y","","","","","","","","","",
1042027,"","","Y","","","","","","","",
1042045,"","","Y","","","","","","","",
1042057,"","","Y","","","","","","","",
1042058,"","","","","Y","","","","","",
1042063,"","","","","Y","","","","","",
1042067,"","","Y","","","","","","","",
1042071,"","","Y","","","","","","","",
1042073,"","","Y","","","","","","","",
1042102,"","","Y","","","","","","","",
1042105,"","","Y","","","","","","","",
1042122,"","","Y","","","","","","","",
1042131,"","","","","Y","","","","","",
1042146,"","","Y","","","","","","","",
1042191,"","","Y","","","","","","","",
1042219,"Y","","","","","","","","","",
1042221,"","","Y","","","","","","","",
1042239,"Y","","","","","","","","","",
1042262,"","","Y","","","","","","","",
1042293,"","","","","Y","","","","","",
1042297,"","","","","","Y","","","","",2016
1042322,"","","Y","","","","","","","",
1042331,"","Y","","","","","","","","",2016
1042349,"","","Y","","","","","","","",
1042375,"","Y","","","","","","","","",2016
1042387,"","","Y","","","","","","","",
1042394,"","","Y","","","","","","","",
1042414,"","","Y","","","","","","","",
1042415,"Y","","","","","","","","","",
1042433,"","","Y","","","","","","","",
1042451,"","","Y","","","","","","","",
1042453,"","","Y","","","","","","","",
1042471,"","","Y","","","","","","","",
1042484,"","","Y","","","","","","","",
1042492,"","","","","","","Y","","","",
1042494,"","","Y","","","","","","","",
1042507,"","","","","Y","","","","","",
1042515,"","","Y","","","","","","","",
1042521,"","","Y","","","","","","","",
1042523,"","","Y","","","","","","","",
1042534,"","","","","","","Y","","","",
1042550,"","","Y","","","","","","","",
1042584,"","","Y","","","","","","","",
1042612,"","","","Y","","","","","","",
1042616,"Y","","","","","","","","","",
1042628,"","","Y","","","","","","","",
1042629,"","","Y","","","","","","","",
1042640,"","","Y","","","","","","","",
1042650,"","","Y","","","","","","","",
1042652,"","","Y","","","","","","","",
1042664,"","","Y","","","","","","","",
1042672,"Y","","","","","","","","","",
1042702,"","","Y","","","","","","","",
1042729,"","","","","Y","","","Y","","",
1042732,"","Y","","","","","","","","",2016
1042739,"Y","","","","","","","","","",
1042744,"","","Y","","","","","","","",
1042756,"","","Y","","","","","","","",
1042774,"Y","","","","","","","","","",
1042779,"","","","","Y","","","","","",
1042784,"","","Y","","","","","","","",
1042789,"","","Y","","","","","","","",
1042792,"","","Y","","","","","","","",
1042804,"","","Y","","","","","","","",
1042819,"","","Y","","","","","","","",
1042827,"","","Y","","","","","","","",
1042843,"","","Y","","","","","","","",
1042914,"","","Y","","","","","","","",
1042945,"","","Y","","","","","","","",
1042964,"Y","","","","","","","","","",
1042970,"","","Y","","","","","","","",
1042976,"","Y","","","","","","","","",2016
1042982,"","","Y","","","","","","","",
1042991,"","","","","","","Y","","","",
1042992,"","","Y","","","","","","","",
1042996,"","","","","Y","","","","","",
1043004,"Y","","","","","","","","","",
1043006,"","","Y","","","","","","","",
1043014,"","","Y","","","","","","","",
1043015,"","","Y","","","","","","","",
1043030,"","","Y","","","","","","","",
1043041,"","","Y","","","","","","","",
1043055,"","","Y","","","","","","","",
1043058,"","","Y","","","","","","","",
1043060,"Y","","","","","","","","","",
1043069,"","","","","","","Y","","","",
1043076,"","","Y","","","","","","","",
1043113,"","","Y","","","","","","","",
1043114,"Y","","","","","","","","","",
1043141,"","","Y","","","","","","","",
1043149,"","","Y","","","","","","","",
1043171,"","","Y","","","","","","","",
1043187,"","","","","","","","","","Y",
1043196,"","","Y","","","","","","","",
1043201,"","","","","Y","","","","","",
1043205,"","","","","Y","","","","","",
1043214,"Y","","","","","","","","","",
1043225,"","","Y","","","","","","","",
1043239,"","","","","Y","","","","","",
1043244,"","","Y","","","","","","","",
1043246,"","","Y","","","","","","","",
1043249,"","","Y","","","","","","","",
1043261,"","","Y","","","","","","","",
1043286,"Y","","","","","","","","","",
1043294,"","","","","Y","","","","","",
1043297,"","","Y","","","","","","","",
1043301,"","","Y","","","","","","","",
1043312,"","","Y","","","","","","","",
1043322,"","Y","","","","","","","","",2016
1043323,"","","Y","","","","","","","",
1043331,"","","","","Y","","","","","",
1043333,"","Y","","","","","","","","",2016
1043344,"","","Y","","","","","","","",
1043358,"","","Y","","","","","","","",
1043360,"","","Y","","","","","","","",
1043363,"","","Y","","","","","","","",
1043364,"","","Y","","","","","","","",
1043381,"","","Y","","","","","","","",
1043387,"","","Y","","","","","","","",
1043394,"","","Y","","","","","","","",
1043396,"","","Y","","","","","","","",
1043397,"","","Y","","","","","","","",
1043400,"","","Y","","","","","","","",
1043406,"","","Y","","","","","","","",
1043426,"Y","","","","","","","","","",
1043429,"","","Y","","","","","","","",
1043433,"","","Y","","","","","","","",
1043441,"","","Y","","","","","","","",
1043442,"","","Y","","","","","","","",
1043443,"","","Y","","","","","","","",
1043444,"","","Y","","","","","","","",
1043445,"","","Y","","","","","","","",
1043448,"","","Y","","","","","","","",
1043450,"","","Y","","","","","","","",
1043451,"","","Y","","","","","","","",
1043453,"","","Y","","","","","","","",
1043454,"","Y","","","","","","","","",2016
1043457,"","","Y","","","","","","","",
1043458,"","","Y","","","","","","","",
1043462,"","","Y","","","","","","","",
1043463,"","","Y","","","","","","","",
1043464,"","","Y","","","","","","","",
1043473,"","","Y","","","","","","","",
1043474,"","","Y","","","","","","","",
1043475,"","","Y","","","","","","","",
1043479,"","","Y","","","","","","","",
1043482,"","","","Y","","","","","","",
1043484,"","","Y","","","","","","","",
1043486,"","","Y","","","","","","","",
1043490,"","Y","","","","","","","","",2016
1043492,"","","Y","","","","","","","",
1043494,"","","Y","","","","","","","",
1043496,"","","Y","","","","","","","",
1043499,"","","Y","","","","","","","",
1043500,"","","Y","","","","","","","",
1043501,"","","Y","","","","","","","",
1043504,"","","","","","","","","","Y",
1043508,"","","Y","","","","","","","",
1043511,"","","Y","","","","","","","",
1043513,"","","Y","","","","","","","",
1043514,"","","Y","","","","","","","",
1043516,"","","Y","","","","","","","",
1043519,"","","Y","","","","","","","",
1043521,"","","Y","","","","","","","",
1043522,"","","Y","","","","","","","",
1043525,"","","Y","","","","","","","",
1043527,"","","Y","","","","","","","",
1043536,"Y","","","","","","","","","",
1043537,"","","Y","","","","","","","",
1043538,"","","Y","","","","","","","",
1043541,"","","Y","","","","","","","",
1043544,"","","Y","","","","","","","",
1043545,"","","Y","","","","","","","",
1043547,"","","Y","","","","","","","",
1043550,"","","Y","","","","","","","",
1043555,"Y","","","","","","","","","",
1043561,"","","Y","","","","","","","",
1043562,"","","Y","","","","","","","",
1043566,"","","Y","","","","","","","",
1043567,"","","Y","","","","","","","",
1043569,"","","Y","","","","","","","",
1043578,"","","Y","","","","","","","",
1043580,"","","Y","","","","","","","",
1043582,"Y","","","","","","","","","",
1043583,"","","","","Y","","","","","",
1043587,"","","Y","","","","","","","",
1043588,"","","Y","","","","","","","",
1043589,"","","Y","","","","","","","",
1043590,"","","Y","","","","","","","",
1043591,"","","Y","","","","","","","",
1043592,"","","Y","","","","","","","",
1043593,"","","Y","","","","","","","",
1043602,"","","Y","","","","","","","",
1043604,"","","Y","","","","","","","",
1043605,"","","Y","","","","","","","",
1043608,"","","Y","","","","","","","",
1043609,"","","Y","","","","","","","",
1043611,"","","Y","","","","","","","",
1043612,"","","Y","","","","","","","",
1043615,"","","Y","","","","","","","",
1043620,"","","Y","","","","","","","",
1043625,"","","Y","","","","","","","",
1043626,"","","Y","","","","","","","",
1043629,"","","Y","","","","","","","",
1043630,"","","","","","","Y","","","",
1043632,"","","Y","","","","","","","",
1043634,"","","Y","","","","","","","",
1043642,"","","Y","","","","","","","",
1043643,"Y","","","","","","","","","",
1043644,"","","Y","","","","","","","",
1043645,"","","Y","","","","","","","",
1043646,"","","Y","","","","","","","",
1043647,"","","Y","","","","","","","",
1043648,"","","Y","","","","","","","",
1043657,"","","Y","","","","","","","",
1043658,"","","","","","","Y","","","",
1043659,"","","Y","","","","","","","",
1043660,"","","Y","","","","","","","",
1043662,"","","Y","","","","","","","",
1043664,"","","Y","","","","","","","",
1043666,"","","Y","","","","","","","",
1043670,"","","Y","","","","","","","",
1043671,"","","Y","","","","","","","",
1043675,"","","Y","","","","","","","",
1043676,"","","Y","","","","","","","",
1043679,"","","Y","","","","","","","",
1043682,"","","Y","","","","","","","",
1043685,"","","Y","","","","","","","",
1043687,"","","Y","","","","","","","",
1043688,"","","Y","","","","","","","",
1043696,"Y","","","","","","","","","",
1043699,"","","Y","","","","","","","",
1043700,"","","Y","","","","","","","",
1043704,"","","Y","","","","","","","",
1043706,"","","Y","","","","","","","",
1043707,"","","Y","","","","","","","",
1043708,"","","Y","","","","","","","",
1043710,"","","Y","","","","","","","",
1043713,"","","Y","","","","","","","",
1043716,"","","Y","","","","","","","",
1043717,"","","Y","","","","","","","",
1043720,"Y","","","","","","","","","",
1043721,"","","","","","","Y","","","",
1043722,"","Y","","","","","","","","",2016
1043723,"","","Y","","","","","","","",
1043725,"","","Y","","","","","","","",
1043726,"","","Y","","","","","","","",
1043727,"","","Y","","","","","","","",
1043731,"","","Y","","","","","","","",
1043732,"","","Y","","","","","","","",
1043733,"","","Y","","","","","","","",
1043734,"","","Y","","","","","","","",
1043735,"","","Y","","","","","","","",
1043742,"","","Y","","","","","","","",
1043743,"","","Y","","","","","","","",
1043745,"","","Y","","","","","","","",
1043748,"","","Y","","","","","","","",
1043750,"Y","","","","","","","","","",
1043752,"","","Y","","","","","","","",
1043754,"","","Y","","","","","","","",
1043758,"","","Y","","","","","","","",
1043759,"","","Y","","","","","","","",
1043761,"","","Y","","","","","","","",
1043764,"","","Y","","","","","","","",
1043766,"","","Y","","","","","","","",
1043770,"","","Y","","","","","","","",
1043771,"","","","","","","Y","","","",
1043772,"","","Y","","","","","","","",
1043773,"","","Y","","","","","","","",
1043776,"","","","","","","Y","","","",
1043779,"","","Y","","","","","","","",
1043780,"","","Y","","","","","","","",
1043784,"","","Y","","","","","","","",
1043786,"","","","Y","","","","","","",
1043791,"","","Y","","","","","","","",
1043794,"","","Y","","","","","","","",
1043799,"","","Y","","","","","","","",
1043803,"","","Y","","","","","","","",
1043804,"","","","","Y","","","","","",
1043806,"","","Y","","","","","","","",
1043809,"","","Y","","","","","","","",
1043811,"","","Y","","","","","","","",
1043820,"","","Y","","","","","","","",
1043821,"","","Y","","","","","","","",
1043827,"","","Y","","","","","","","",
1043831,"","","Y","","","","","","","",
1043833,"","","Y","","","","","","","",
1043834,"","","Y","","","","","","","",
1043840,"","","Y","","","","","","","",
1043841,"","","","","","","Y","","","",
1043847,"Y","","","","","","","","","",
1043848,"","","Y","","","","","","","",
1043850,"","","Y","","","","","","","",
1043853,"","","Y","","","","","","","",
1043856,"","","Y","","","","","","","",
1043858,"","","Y","","","","","","","",
1043864,"","","Y","","","","","","","",
1043866,"","","Y","","","","","","","",
1043869,"","","Y","","","","","","","",
1043871,"","","Y","","","","","","","",
1043873,"Y","","","","","","","","","",
1043875,"","","Y","","","","","","","",
1043876,"","","Y","","","","","","","",
1043879,"","","Y","","","","","","","",
1043880,"","","Y","","","","","","","",
1043881,"","","Y","","","","","","","",
1043883,"","","Y","","","","","","","",
1043884,"","","Y","","","","","","","",
1043885,"","","Y","","","","","","","",
1043886,"","","Y","","","","","","","",
1043888,"","","Y","","","","","","","",
1043889,"","","Y","","","","","","","",
1043890,"","","Y","","","","","","","",
1043894,"","","Y","","","","","","","",
1043898,"","","Y","","","","","","","",
1043899,"","","Y","","","","","","","",
1043901,"","","Y","","","","","","","",
1043902,"","","Y","","","","","","","",
1043904,"","","Y","","","","","","","",
1043912,"","","Y","","","","","","","",
1043913,"","","Y","","","","","","","",
1043915,"","","Y","","","","","","","",
1043917,"","","Y","","","","","","","",
1043919,"","","","","","","Y","","","",
1043920,"","","Y","","","","","","","",
1043921,"","","Y","","","","","","","",
1043922,"Y","","","","","","","","","",
1043923,"","","","","","","Y","","","",
1043924,"","","Y","","","","","","","",
1043929,"","","Y","","","","","","","",
1043931,"","","Y","","","","","","","",
1043932,"","","Y","","","","","","","",
1043934,"","","Y","","","","","","","",
1043936,"","","","","Y","","","Y","","",
1043938,"","","Y","","","","","","","",
1043940,"","","Y","","","","","","","",
1043944,"","","Y","","","","","","","",
1043950,"Y","","","","","","","","","",
1043951,"","","","","","Y","","","","",2016
1043952,"Y","","","","","","","","","",
1043955,"","","Y","","","","","","","",
1043956,"","","","","","Y","","","","",2016
1043961,"","","Y","","","","","","","",
1043964,"","","Y","","","","","","","",
1043965,"","","Y","","","","","","","",
1043967,"","","Y","","","","","","","",
1043968,"","","Y","","","","","","","",
1043969,"","","Y","","","","","","","",
1043970,"","","Y","","","","","","","",
1043971,"","","Y","","","","","","","",
1043972,"","","Y","","","","","","","",
1043973,"","","Y","","","","","","","",
1043974,"","","Y","","","","","","","",
1043975,"","","Y","","","","","","","",
1043977,"","","Y","","","","","","","",
1043978,"","","Y","","","","","","","",
1043983,"","","Y","","","","","","","",
1043984,"","","","","","","Y","","","",
1043985,"","","Y","","","","","","","",
