"FilingID","Country/Authority"
"954083","Hong Kong - Securities and Futures Commission"
"933715","Singapore - Monetary Authority of Singapore"
"953775","India - Securities and Exchange Board of India"
"953775","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"953775","Singapore - Monetary Authority of Singapore"
"954862","United Kingdom - Financial Conduct Authority"
"954862","Australia - Australian Securities and Investments Commission"
"954862","Jersey - Jersey Financial Services Commission"
"954862","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"954862","Netherlands - The Netherlands Authority for the Financial Markets"
"954862","Singapore - Monetary Authority of Singapore"
"954862","Switzerland - Swiss Financial Market Supervisory Authority"
"954862","Other: FRANCE - AUTORITE DE CONTROLE PRUDENTIAL (BANQUE DE FRANCE)"
"954862","Other: GERMANY - BAFIN (BUNDESANSTALT FUR FINAZDIENSTLEISTUNGSAUFSICHT)"
"954862","Other: GIBRALTAR FINANCIAL SERVICES COMMISSION"
"954862","Other: HONG KONG MONETARY AUTHORITY"
"954862","Other: MALAYSIA - LABUAN FINANCIAL SERVICES AUTHORITY"
"954862","Other: AUTORITE DE CONTROLE PRUDENTIEL (BANQUE DE FRANCE)"
"954862","Other: TRACFIN (AML)"
"954862","Other: DIRECTION GÉNÉRALE DES ENTREPRISES (TAX AUTHORITIES)"
"954862","Other: SERVICE D'INFORMATION ET DE CONTRÔLE DES CIRCUITS FINANCIERS (SICCFIN)"
"954862","Other: AUTORITEIT FINANCIELE MARKTEN (AFM - FINANCIAL MARKETS AUTHORITY)"
"954862","Other: AUTORITEIT FINANCIELE MARKTEN (AFM - FINANCIAL MARKETS AUTHORITY)"
"954862","United Kingdom - Prudential Regulation Authority"
"954862","Other: DE NEDERLANDSCHE BANK NV (DNB)"
"954862","Other: NEW YORK STATE DEPARTMENT OF FINANCIAL SERVICES"
"954862","Other: USA-FEDERAL RESERVE BANK OF NEW YORK"
"953272","Netherlands - The Netherlands Authority for the Financial Markets"
"953110","Brazil - Securities and Exchange Commission"
"954785","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"955628","United Kingdom - Financial Conduct Authority"
"951820","United Kingdom - Financial Conduct Authority"
"956780","Other: BAFIN AS A FINANCIAL SERVICES INSTITUTION"
"943885","Hong Kong - Securities and Futures Commission"
"959344","United Kingdom - Financial Conduct Authority"
"944693","Hong Kong - Securities and Futures Commission"
"958174","United Kingdom - Financial Conduct Authority"
"957980","Canada - Ontario Securities Commission"
"957980","Canada - British Columbia Securities Commission"
"957254","Hong Kong - Securities and Futures Commission"
"960428","Mauritius, Republic of - Financial Services Commission"
"957303","United Kingdom - Financial Conduct Authority"
"960169","Jersey - Jersey Financial Services Commission"
"961560","Mauritius, Republic of - Financial Services Commission"
"961511","Singapore - Monetary Authority of Singapore"
"963188","United Kingdom - Financial Conduct Authority"
"948438","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"948438","Other: ITALY - COMMISSIONE NAZIONALE PER LE SOCIETÀ E LA BORSA (CONSOB)"
"948438","United Kingdom - Financial Conduct Authority"
"948438","Germany - German Federal Financial Supervisory Agency"
"948438","Netherlands - The Netherlands Authority for the Financial Markets"
"948438","Austria - Financial Market Authority"
"948438","Other: BELGIUM:  FINANCIAL SERVICES AND MARKETS AUTHORITY (""FSMA"")"
"948438","Other: FRANCE: AUTORITÉ DES MARCHES FINANCIERS (""AMF"")"
"948438","Other: NORWAY:  FINANSTILSYNET (THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY)"
"948438","Spain - National Commission of Securities Markets"
"948438","Sweden - Swedish Financial Supervisory Authority"
"948438","Other: SOUTH AFRICA:  FINANCIAL SERVICES BOARD"
"948438","Denmark - Danish Financial Supervisory Authority"
"948438","Finland - Financial Supervision Authority"
"961773","United Kingdom - Financial Conduct Authority"
"961773","Ireland -  Central Bank of Ireland"
"955014","Hong Kong - Securities and Futures Commission"
"955014","India - Securities and Exchange Board of India"
"964466","Ireland -  Central Bank of Ireland"
"964466","United Kingdom - Financial Conduct Authority"
"961869","United Kingdom - Financial Conduct Authority"
"962592","Hong Kong - Securities and Futures Commission"
"963577","United Kingdom - Financial Conduct Authority"
"963249","British Virgin Islands - British Virgin Islands Financial Services Commission"
"964672","Germany - German Federal Financial Supervisory Agency"
"950258","United Kingdom - Financial Conduct Authority"
"939894","United Kingdom - Financial Conduct Authority"
"953689","United Kingdom - Financial Conduct Authority"
"953842","Singapore - Monetary Authority of Singapore"
"954008","Singapore - Monetary Authority of Singapore"
"937068","Cayman Islands - Cayman Islands Monetary Authority"
"954777","Other: UK - FINANCIAL CONDUCT AUTHORITY"
"942686","United Kingdom - Financial Conduct Authority"
"955316","Jersey - Jersey Financial Services Commission"
"956867","India - Securities and Exchange Board of India"
"956867","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"956867","Singapore - Monetary Authority of Singapore"
"941187","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"959415","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"958926","United Kingdom - Financial Conduct Authority"
"950174","Guernsey - Guernsey Financial Services Commission"
"960453","Ireland -  Central Bank of Ireland"
"950410","Hong Kong - Securities and Futures Commission"
"962741","United Kingdom - Financial Conduct Authority"
"954305","Switzerland - Swiss Financial Market Supervisory Authority"
"954305","Other: SWISS FUND & ASSET MANAGEMENT ASSOCIATION"
"948017","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964457","Ireland -  Central Bank of Ireland"
"964457","United Kingdom - Financial Conduct Authority"
"961534","United Kingdom - Financial Conduct Authority"
"958715","Ireland -  Central Bank of Ireland"
"948466","Singapore - Monetary Authority of Singapore"
"954296","Singapore - Monetary Authority of Singapore"
"954529","Hong Kong - Securities and Futures Commission"
"954768","Bermuda - Bermuda Monetary Authority"
"954526","Guernsey - Guernsey Financial Services Commission"
"955282","Bermuda - Bermuda Monetary Authority"
"953905","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"955012","Singapore - Monetary Authority of Singapore"
"956428","United Kingdom - Financial Conduct Authority"
"954825","Netherlands - The Netherlands Authority for the Financial Markets"
"956504","Jersey - Jersey Financial Services Commission"
"958842","Singapore - Monetary Authority of Singapore"
"958853","Hong Kong - Securities and Futures Commission"
"958853","Canada - Ontario Securities Commission"
"958853","Canada - Quebec, Financial Markets Authority"
"959232","United Kingdom - Financial Conduct Authority"
"958415","United Kingdom - Financial Conduct Authority"
"958966","British Virgin Islands - British Virgin Islands Financial Services Commission"
"960386","United Kingdom - Financial Conduct Authority"
"961518","Hong Kong - Securities and Futures Commission"
"962202","United Kingdom - Financial Conduct Authority"
"958890","United Kingdom - Financial Conduct Authority"
"960718","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"960718","Canada - Ontario Securities Commission"
"962416","Cayman Islands - Cayman Islands Monetary Authority"
"964427","United Kingdom - Financial Conduct Authority"
"952996","United Kingdom - Financial Conduct Authority"
"952942","Singapore - Monetary Authority of Singapore"
"951512","Singapore - Monetary Authority of Singapore"
"954527","Hong Kong - Securities and Futures Commission"
"953731","Other: BAFIN AS A FINANCIAL SERVICES INSTITUTION"
"954773","Guernsey - Guernsey Financial Services Commission"
"954020","Singapore - Monetary Authority of Singapore"
"955891","Canada - Ontario Securities Commission"
"955891","Other: INVESTMENT INDUSTRY REGULATORY ORGANIZATION OF CANADA"
"956635","United Kingdom - Financial Conduct Authority"
"957381","United Kingdom - Financial Conduct Authority"
"958418","Australia - Australian Securities and Investments Commission"
"958131","Hong Kong - Securities and Futures Commission"
"953341","Australia - Australian Securities and Investments Commission"
"953341","Bahrain - Central Bank of Bahrain"
"953341","China, People's Republic of - China Securities Regulatory Commission "
"953341","India - Securities and Exchange Board of India"
"953341","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"953341","Canada - Quebec, Financial Markets Authority"
"953341","Canada - Ontario Securities Commission"
"956769","United Kingdom - Financial Conduct Authority"
"959673","Singapore - Monetary Authority of Singapore"
"956823","United Kingdom - Financial Conduct Authority"
