"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
1029802,178632,"THE PRIVATE BANK","THE PRIVATE BANK","CHICAGO","Illinois","United States","N","",
1028103,47586,"GLOBAL PRIME PARTNERS LTD","GLOBAL PRIME PARTNERS LTD","LONDON","","United Kingdom","N","",
1028907,7884,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,7884,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY","LONDON","","United Kingdom","N","",
1028907,7892,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,7892,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,7892,"J.P. MORGAN CLEARING CORP.","J.P. MORGAN CLEARING CORP.","NEW YORK","New York","United States","N","8-43724",28432
1028907,7892,"GOLDMAN SACHS & CO","GOLDMAN SACHS","NEW YORK","New York","United States","N","",
1028907,7929,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8406,"CREDIT SUISSE SECURITIES (USA) LLC","CREDIT SUISSE SECURITIES (USA) LLC","NEW YORK","New York","United States","N","8-422",816
1028907,7929,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,7929,"GOLDMAN SACHS & CO","GOLDMAN SACHS","NEW YORK","New York","United States","N","",
1028907,7929,"J.P. MORGAN CLEARING CORP.","J.P. MORGAN CLEARING CORP.","NEW YORK","New York","United States","N","8-43724",28432
1028907,8276,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8276,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8276,"GOLDMAN SACHS & CO.","GOLDMAN SACHS","NEW YORK","New York","United States","N","",
1028907,8276,"J.P. MORGAN CLEARING CORP.","J.P. MORGAN CLEARING CORP.","NEW YORK","New York","United States","N","8-43724",28432
1028907,8340,"UBS SECURITIES LLC","UBS SECURITIES LLC","NEW YORK","New York","United States","N","8-22651",7654
1028907,7574,"CREDIT SUISSE SECURITIES (USA) LLC","CREDIT SUISSE SECURITIES (USA) LLC","NEW YORK","New York","United States","N","8-422",816
1028907,8387,"DEUTSCHE BANK SECURITIES INC.","DEUTSCHE BANK SECURITIES INC.","NEW YORK","New York","United States","N","8-17822",2525
1028907,8340,"CREDIT SUISSE SECURITIES (USA) LLC","CREDIT SUISSE SECURITIES (USA) LLC","NEW YORK","New York","United States","N","8-422",816
1028907,8359,"JP MORGAN CLEARING CORP","JP MORGAN","NEW YORK","New York","United States","N","",
1028907,8279,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8279,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8279,"MORGAN STANLEY & CO. LLC","MORGAN STANLEY","NEW YORK","New York","United States","N","8-15689",
1028907,8279,"GOLDMAN, SACHS & CO.","GOLDMAN, SACHS & CO.","NEW YORK","New York","United States","N","8-129",361
1028907,8304,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8304,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8304,"GOLDMAN, SACHS & CO.","GOLDMAN, SACHS & CO.","NEW YORK","New York","United States","N","8-129",361
1028907,8304,"DEUTSCHE BANK AG (NEW YORK BRANCH)","DEUTSCHE BANK","NEW YORK","New York","United States","N","",
1028907,8340,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8340,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8359,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8359,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8359,"DEUTSCHE BANK AG (NEW YORK BRANCH)","DEUTSCHE BANK","NEW YORK","New York","United States","N","",
1028907,8359,"CREDIT SUISSE SECURITIES (USA) LLC","CREDIT SUISSE SECURITIES (USA) LLC","NEW YORK","New York","United States","N","8-422",816
1028907,8387,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8387,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8406,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY","LONDON","","United Kingdom","N","",
1028907,8406,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8406,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8413,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,8413,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8434,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,49937,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS) LIMITED","SG HAMBROS TRUST COMPANY","ST HELIER","","Jersey","Y","",
1028907,49937,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
1028907,8413,"CREDIT SUISSE SECURITIES (EUROPE) LIMITED","CREDIT SUISSE SECURITIES","LONDON","","United Kingdom","Y","",
1028907,8413,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS","LONDON","","United Kingdom","Y","",
1028907,8304,"CITIGROUP GLOBAL MARKETS INC.","CITIGROUP GLOBAL MARKETS INC.","NEW YORK","New York","United States","N","",
1028907,8304,"MERRILL LYNCH PROFESSIONAL CLEARING CORPS.","MLI PRO","NEW YORK","New York","United States","N","",
1028907,7884,"J.P. MORGAN SECURITIES PLC","J.P. MORGAN","LONDON","","United Kingdom","N","",
1028907,58067,"SG HAMBROS TRUST COMPANY (CHANNEL ISLANDS)","SG HAMBROS","ST HELIER","","Jersey","Y","",
1028907,58067,"SOCIETE GENERALE","SG","PARIS","","France","Y","",
