"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
"880303","68840","14078","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"880303","68847","14082","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"888724","65008","13270","Cayman Islands - Cayman Islands Monetary Authority"
"888724","65008","13269","Cayman Islands - Cayman Islands Monetary Authority"
"885587","63746","12919","Cayman Islands - Cayman Islands Monetary Authority"
"884509","55900","11059","Bermuda - Bermuda Monetary Authority"
"884509","55900","14259","Bermuda - Bermuda Monetary Authority"
"892485","40385","7364","Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
"883221","60632","12260","Cayman Islands - Cayman Islands Monetary Authority"
"888123","27831","5123","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"893054","43629","7933","Cayman Islands - Cayman Islands Stock Exchange Authority"
"888123","27753","5114","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"888123","27753","5116","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"888123","27821","5121","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"888123","27846","5127","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"888123","27846","5128","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"888123","27859","5130","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"888123","27859","5131","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"877107","60410","12199","British Virgin Islands - British Virgin Islands Financial Services Commission"
"892117","48903","8970","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"892117","48903","8971","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"892117","48903","8972","Mauritius, Republic of - Financial Services Commission"
"892117","48903","8972","India - Securities and Exchange Board of India"
"890518","59760","12108","Cayman Islands - Cayman Islands Monetary Authority"
"893777","18813","3852","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"890518","59760","12109","Cayman Islands - Cayman Islands Monetary Authority"
"890518","59757","12110","Cayman Islands - Cayman Islands Monetary Authority"
"890518","59757","12111","Cayman Islands - Cayman Islands Monetary Authority"
