"FilingID","Country/Authority"
"984653","Bermuda - Bermuda Monetary Authority"
"986432","Bermuda - Bermuda Monetary Authority"
"970865","Brazil - Securities and Exchange Commission"
"972352","United Kingdom - Financial Conduct Authority"
"973582","United Kingdom - Financial Conduct Authority"
"960655","Bermuda - Bermuda Monetary Authority"
"974375","Brazil - Securities and Exchange Commission"
"973563","Hong Kong - Securities and Futures Commission"
"973143","Mauritius, Republic of - Financial Services Commission"
"967156","Cayman Islands - Cayman Islands Monetary Authority"
"964542","Australia - Australian Securities and Investments Commission"
"974125","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"969129","Hong Kong - Securities and Futures Commission"
"970636","Singapore - Monetary Authority of Singapore"
"979304","Singapore - Monetary Authority of Singapore"
"970228","France - Financial Markets Authority"
"975210","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"979562","Singapore - Monetary Authority of Singapore"
"978839","Netherlands - The Netherlands Authority for the Financial Markets"
"978839","United Kingdom - Financial Conduct Authority"
"980079","Other: BANK OF ITALY"
"973610","France - Financial Markets Authority"
"973610","United Kingdom - Financial Conduct Authority"
"975916","United Kingdom - Financial Conduct Authority"
"979665","Brazil - Securities and Exchange Commission"
"979672","United Kingdom - Financial Conduct Authority"
"965041","United Kingdom - Financial Conduct Authority"
"975384","Sweden - Swedish Financial Supervisory Authority"
"980072","Hong Kong - Securities and Futures Commission"
"984630","Bermuda - Bermuda Monetary Authority"
"984881","United Kingdom - Financial Conduct Authority"
"969217","United Kingdom - Financial Conduct Authority"
"972667","United Kingdom - Financial Conduct Authority"
"973138","Guernsey - Guernsey Financial Services Commission"
"985977","United Kingdom - Financial Conduct Authority"
"978493","Guernsey - Guernsey Financial Services Commission"
"978809","Hong Kong - Securities and Futures Commission"
"978814","Hong Kong - Securities and Futures Commission"
"971077","Hong Kong - Securities and Futures Commission"
"958468","France - Financial Markets Authority"
"986637","United Kingdom - Financial Conduct Authority"
"986637","Ireland -  Central Bank of Ireland"
"986637","Other: GIBRALTAR FINANCIAL SERVICES COMMISSION"
"987939","Singapore - Monetary Authority of Singapore"
"985612","Hong Kong - Securities and Futures Commission"
"986338","United Kingdom - Financial Conduct Authority"
"987957","United Kingdom - Financial Conduct Authority"
"982211","Singapore - Monetary Authority of Singapore"
"986232","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"987946","Singapore - Monetary Authority of Singapore"
"983668","Mauritius, Republic of - Financial Services Commission"
"991319","Denmark - Danish Financial Supervisory Authority"
"991363","Denmark - Danish Financial Supervisory Authority"
"987173","Hong Kong - Securities and Futures Commission"
"976328","Hong Kong - Securities and Futures Commission"
"991708","Italy - National Stock Exchange Commission"
"991708","Other: BANK OF ITALY"
"991746","United Kingdom - Financial Conduct Authority"
"990996","Australia - Australian Securities and Investments Commission"
"990996","United Kingdom - Financial Conduct Authority"
"983368","Other: GERMANY - BUNDESANTALT FUR FINANZDIENSTLEISTUNGSAUFSICHT (BAFIN)"
"986901","Brazil - Securities and Exchange Commission"
"991836","Other: MALTA FINANCIAL SERVICES AUTHORITY"
"978315","Brazil - Securities and Exchange Commission"
"991292","Hong Kong - Securities and Futures Commission"
"991672","Hong Kong - Securities and Futures Commission"
"993337","Hong Kong - Securities and Futures Commission"
"982120","Hong Kong - Securities and Futures Commission"
"980279","United Kingdom - Financial Conduct Authority"
"975214","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"962601","Ireland -  Central Bank of Ireland"
"993402","United Kingdom - Financial Conduct Authority"
"987171","Mauritius, Republic of - Financial Services Commission"
"987357","United Kingdom - Financial Conduct Authority"
"982785","United Kingdom - Financial Conduct Authority"
"995081","Netherlands - The Netherlands Authority for the Financial Markets"
"995086","United Kingdom - Financial Conduct Authority"
"979930","United Kingdom - Financial Conduct Authority"
"992740","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"995634","Hong Kong - Securities and Futures Commission"
"982094","Singapore - Monetary Authority of Singapore"
"995828","Dubai - Dubai Financial Services Authority"
"995831","United Kingdom - Financial Conduct Authority"
"994598","United Kingdom - Financial Conduct Authority"
"994253","Hong Kong - Securities and Futures Commission"
"986486","Hong Kong - Securities and Futures Commission"
"984381","Spain - National Commission of Securities Markets"
"979958","United Kingdom - Financial Conduct Authority"
"969201","United Kingdom - Financial Conduct Authority"
"995603","Spain - National Commission of Securities Markets"
"995366","United Kingdom - Financial Conduct Authority"
"995897","Switzerland - Swiss Financial Market Supervisory Authority"
"989947","Canada - Ontario Securities Commission"
"990180","United Kingdom - Financial Conduct Authority"
"996206","Canada - Ontario Securities Commission"
"988809","United Kingdom - Financial Conduct Authority"
"981747","Cayman Islands - Cayman Islands Monetary Authority"
"988212","United Kingdom - Financial Conduct Authority"
"991707","Germany - German Federal Financial Supervisory Agency"
"970619","Hong Kong - Securities and Futures Commission"
"965173","Canada - Ontario Securities Commission"
"965173","Canada - Alberta Securities Commission"
"965173","Canada - Manitoba Securities Commission"
"965173","Canada - British Columbia Securities Commission"
"965173","Canada - New Brunswick Securities Commission"
"965173","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"965173","Canada - Nova Scotia Securities Commission"
"965173","Canada - Prince Edward Island, Securities Office"
"965173","Canada - Quebec, Financial Markets Authority"
"965173","Canada - Saskatchewan Financial Services Commission"
"973089","Hong Kong - Securities and Futures Commission"
"973090","Hong Kong - Securities and Futures Commission"
"972697","Sweden - Swedish Financial Supervisory Authority"
"968234","United Kingdom - Financial Conduct Authority"
"970139","Singapore - Monetary Authority of Singapore"
