"FilingID","ReferenceID","Foreign Regulatory Authority"
"1008273","149610","Brazil - Securities and Exchange Commission"
"1008264","167532","United Kingdom - Financial Conduct Authority"
"1008264","162045","Japan - Financial Services Agency"
"999060","163034","Guernsey - Guernsey Financial Services Commission"
"992011","164775","United Kingdom - Financial Conduct Authority"
"1009706","117584","Other-OFFICE OF THE COMMISSIONER OF INSURANCE (HONG KONG)"
"1009706","117608","Hong Kong - Securities and Futures Commission"
"1009706","117612","Australia - Australian Securities and Investments Commission"
"1009706","117618","United Kingdom - Financial Conduct Authority"
"1009706","155678","Japan - Financial Services Agency"
"1009706","117576","Canada - Nova Scotia Securities Commission"
"1009706","117576","Canada - Alberta Securities Commission"
"1009706","117576","Netherlands - The Netherlands Authority for the Financial Markets"
"1009706","117576","Australia - Australian Securities and Investments Commission"
"1009706","117576","Canada - British Columbia Securities Commission"
"1009706","117576","Canada - Ontario Securities Commission"
"1009706","117576","Canada - Quebec, Financial Markets Authority"
"1009706","117576","Ireland -  Central Bank of Ireland"
"1009706","117576","Canada - Manitoba Securities Commission"
"1009706","117576","Other-CANADA - NEW BRUNSWICK FINANCIAL AND CONSUMER SERVICES COMMISSION"
"1009706","117576","Other-IRELAND - IRISH FINANCIAL SERVICES REGULATORY AUTHORITY"
"1010023","138453","United Kingdom - Financial Conduct Authority"
"1010023","138453","Ireland -  Central Bank of Ireland"
"1010023","138452","Jersey - Jersey Financial Services Commission"
"1010069","203640","United Kingdom - Financial Conduct Authority"
"1010069","203640","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1010069","203635","United Kingdom - Financial Conduct Authority"
"1010069","203636","Switzerland - Swiss Financial Market Supervisory Authority"
"1010069","203637","France - Financial Markets Authority"
"1010069","203637","Germany - German Federal Financial Supervisory Agency"
"1010069","203637","Guernsey - Guernsey Financial Services Commission"
"1010069","203637","Other-CANADA OSFI (OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS)"
"1010069","203637","Other-BELGIUM - FINANCIAL SERVICES AND MARKETS AUTHORITY"
"1010069","203637","Other-CHINA - PEOPLES BANK OF CHINA AND STATE ADMINISTRATION OF FOREIGN EXCHANGE"
"1010069","203637","Other-FRANCE - AUTORITE DE CONTROLE PRUDENTIAL ET DE RESOLUTION"
"1010069","203637","Bahrain - Central Bank of Bahrain"
"1010069","203637","Cayman Islands - Cayman Islands Monetary Authority"
"1010069","203637","China, People's Republic of - China Securities Regulatory Commission "
"1010069","203637","Dubai - Dubai Financial Services Authority"
"1010069","203637","Japan - Financial Services Agency"
"1010069","203637","India - Securities and Exchange Board of India"
"1010069","203637","Hong Kong - Securities and Futures Commission"
"1010069","203637","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1010069","203637","Other-AUSTRALIA - APRA AUSTRALIAN PRUDENTIAL REGULATION AUTHORITY AND AUSTRALIAN SECURITIES AND INVESTMENT COMMISSION"
"1010069","203637","Netherlands - The Netherlands Authority for the Financial Markets"
"1010069","203637","Other-UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
"1010069","203637","South Africa - Financial Services Board"
"1010069","203637","Bahamas - Securities Commission of the Bahamas"
"1010069","203637","Other-BAHAMAS - CENTRAL BANK OF THE BAHAMAS"
"1010069","203637","Other-TAIWAN - FINANCIAL SUPERVISORY COMMISSION"
"1010069","203637","Singapore - Monetary Authority of Singapore"
"1010069","203637","Other-HONG KONG - HONG KONG MONETARY AUTHORITY"
"1010069","203637","Other-ITALY - BANK OF ITALY AND CONSOB"
"1010069","203637","Other-SPAIN - BANK OF SPAIN AND COMISION NACIONAL DEL MERCADO DEL VALORES"
"1010069","203637","Other-SWITZERLAND - SWISS FINANCIAL MARKET SUPERVISORY AUTHORITY"
"1010069","203637","Other-UNITED KINGDOM - PRUDENTIAL REGULATION AUTHORITY"
"1010069","203639","Canada - Alberta Securities Commission"
"1010069","203639","Canada - Nova Scotia Securities Commission"
"1010069","203639","Canada - Nunavut, Registrar of Securities"
"1010069","203639","Canada - Ontario Securities Commission"
"1010069","203639","Canada - Prince Edward Island, Securities Office"
"1010069","203639","Canada - Saskatchewan Financial Services Commission"
"1010069","203639","Canada - Quebec, Financial Markets Authority"
"1010069","203639","Australia - Australian Securities and Investments Commission"
"1010069","203639","Canada - New Brunswick Securities Commission"
"1010069","203639","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"1010356","137491","Other-IRISH FINANCIAL SERVICES REGULATORY AUTHORITY"
"993628","142752","Other-MALTA -- MALTA FINANCIAL SERVICES AUTHORITY"
"1010346","178487","Canada - Alberta Securities Commission"
"1010346","178487","Canada - Ontario Securities Commission"
"1010346","178489","Malaysia - Securities Commission"
"1010346","178492","United Kingdom - Financial Conduct Authority"
"1010346","178494","Mauritius, Republic of - Financial Services Commission"
