"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
"880303","MCP PRIVATE CAPITAL FUND II SCSP","805-2099598106","68847","","Luxembourg","Y","N","Y","Y","MCP PRIVATE CAPITAL FUND II SCSP","","N","","N","Private Equity Fund","","57034956","5688950","71","0","0","61","N","N","N","0","Y","Y","N","Y","Yes","N","Y","Y","0","N"
"880303","MCP PRIVATE CAPITAL FUND I SCS SICAF SIF","805-9163825970","68840","","Luxembourg","Y","N","Y","Y","MCP PRIVATE CAPITAL FUND I SCS SICAF SIF","","N","","N","Private Equity Fund","","208452732","5688950","48","0","0","8","N","N","N","0","Y","Y","N","Y","Yes","N","Y","Y","0","N"
"871933","L CAPITAL 2","805-3370983996","37785","","France","N","Y","N","N","","","N","","N","Private Equity Fund","","385233257","3969000","45","18","23","83","N","N","N","0","Y","Y","N","Y","Yes","N","Y","N","0","N"
"871933","L CAPITAL 3","805-3572914872","37837","","France","N","Y","N","N","","","N","","N","Private Equity Fund","","479142905","3969000","60","8","13","85","N","N","N","0","Y","Y","N","Y","Yes","N","Y","N","0","N"
"869016","SCALDIS CAPITAL LIMITED","805-7935820893","32890","","Jersey","Y","N","N","N","","","N","","N","Securitized Asset Fund","","799000000","1","1","0","0","100","N","N","N","0","N","Y","N","Y","Yes","N","Y","Y","0","N"
"869016","SCALDIS CAPITAL LLC","805-3289825545","32777","Delaware","United States","Y","N","N","N","","","N","","N","Securitized Asset Fund","","701000000","250000","1","0","0","0","N","N","N","0","N","Y","Y","Y","Yes","N","N","Y","0","Y"
"869016","SCALDIS CAPITAL (IRELAND) LIMITED","805-3755102161","60104","","Ireland","Y","N","N","N","","","N","","N","Securitized Asset Fund","","1015000000","1","1","0","0","100","N","N","N","0","N","Y","N","Y","Yes","N","N","Y","0","N"
"887565","CAMHZN MASTER LDC","805-8292017254","40688","","Cayman Islands","N","Y","Y","N","","","N","","N","Hedge Fund","","3123721","1000000","16","3","91","67","N","N","N","0","Y","N","Y","N","Report Not Yet Received","N","Y","Y","0","N"
"887565","CAMOFI MASTER LDC","805-8396136719","40156","","Cayman Islands","N","Y","Y","N","","","N","","N","Hedge Fund","","25674287","1000000","69","0","51","70","N","N","N","0","Y","N","Y","N","Report Not Yet Received","N","Y","Y","0","N"
"891318","SENTIENT GLOBAL RESOURCES FUND IV, L.P.","805-1157091727","40698","","Cayman Islands","N","Y","N","N","","","N","","N","Private Equity Fund","","748498448","10000000","54","2","5","64","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
"891318","SENTIENT GLOBAL RESOURCES FUND II, L.P.","805-2787670642","40638","","Cayman Islands","N","Y","N","N","","","N","","N","Private Equity Fund","","210271833","5000000","17","1","0","45","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
"891318","SENTIENT GLOBAL RESOURCES FUND I, L.P.","805-7191809685","40597","","Cayman Islands","N","Y","N","N","","","N","","N","Private Equity Fund","","192488041","5000000","11","8","0","71","N","N","N","0","Y","Y","Y","Y","Yes","N","N","N","0","N"
"891318","SENTIENT GLOBAL RESOURCES FUND III, L.P.","805-4478667592","40662","","Cayman Islands","N","Y","N","N","","","N","","N","Private Equity Fund","","712372859","5000000","37","2","6","37","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL VENTURES IV (A), L.P.","805-4809295863","59003","","Cayman Islands","Y","N","N","N","","","N","","N","Venture Capital Fund","","93389000","158934","11","1","51","1","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL VENTURES IV (B), L.P.","805-9912270751","59004","","Cayman Islands","Y","N","N","N","","","N","","N","Venture Capital Fund","","97574000","287792","19","21","30","100","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL V.C. LTD.","805-8192448014","39854","","Israel","N","Y","N","N","","","N","","N","Venture Capital Fund","","3386000","10000000","1","0","100","0","N","N","N","0","N","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL VENTURES II L.P.","805-4097856620","34359","","Cayman Islands","N","Y","N","N","","","N","","N","Venture Capital Fund","","195553000","100000","50","11","54","44","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL SOFTWARE FUND (DELAWARE) L.P.","805-3936386061","34412","Delaware","United States","Y","N","N","N","","","N","","N","Venture Capital Fund","","10208000","50000","15","0","8","0","N","N","N","0","N","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL SOFTWARE FUND (CAYMAN) L.P.","805-8586298706","34423","","Cayman Islands","Y","N","N","N","","","N","","N","Venture Capital Fund","","23439000","100000","21","14","73","99","N","N","N","0","N","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL SOFTWARE FUND (ISRAEL) L.P.","805-7392003002","34430","","Israel","Y","N","N","N","","","N","","N","Venture Capital Fund","","18901000","30000","31","26","54","90","N","N","N","0","N","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL SOFTWARE FUND GBR","805-8023976487","34443","","Germany","Y","N","N","N","","","N","","N","Venture Capital Fund","","1644000","5000000","1","0","100","100","N","N","N","0","N","Y","Y","Y","Yes","N","Y","N","0","N"
"888276","CARMEL VENTURES III L.P.","805-3949507858","34460","","Cayman Islands","Y","N","N","N","","","N","","N","Venture Capital Fund","","362653000","200000","49","11","53","42","N","N","N","0","Y","Y","Y","Y","Yes","N","Y","N","0","N"
