"FilingID","ReferenceID","Foreign Regulatory Authority"
"608608","106904","Guernsey - Guernsey Financial Services Commission"
"608608","106914","Hong Kong - Securities and Futures Commission"
"608608","106921","Singapore - Monetary Authority of Singapore"
"608608","106925","United Kingdom - Financial Services Authority"
"609361","107238","Guernsey - Guernsey Financial Services Commission"
"609361","107237","Guernsey - Guernsey Financial Services Commission"
"609361","107239","Guernsey - Guernsey Financial Services Commission"
"609361","107240","Guernsey - Guernsey Financial Services Commission"
"609361","107241","Guernsey - Guernsey Financial Services Commission"
"609361","107242","Guernsey - Guernsey Financial Services Commission"
"609361","107248","Hong Kong - Securities and Futures Commission"
"609361","107253","Singapore - Monetary Authority of Singapore"
"609361","107255","United Kingdom - Financial Services Authority"
"608607","106708","Guernsey - Guernsey Financial Services Commission"
"608607","106722","Guernsey - Guernsey Financial Services Commission"
"608607","106724","Guernsey - Guernsey Financial Services Commission"
"608607","106739","Hong Kong - Securities and Futures Commission"
"608607","106753","Singapore - Monetary Authority of Singapore"
"608607","106757","United Kingdom - Financial Services Authority"
"608607","106700","Guernsey - Guernsey Financial Services Commission"
"608607","106720","Guernsey - Guernsey Financial Services Commission"
"608607","106705","Guernsey - Guernsey Financial Services Commission"
"609407","107210","Guernsey - Guernsey Financial Services Commission"
"609407","107211","Guernsey - Guernsey Financial Services Commission"
"609407","107212","Guernsey - Guernsey Financial Services Commission"
"609407","107213","Guernsey - Guernsey Financial Services Commission"
"609407","107215","Guernsey - Guernsey Financial Services Commission"
"609407","107216","Guernsey - Guernsey Financial Services Commission"
"609407","107222","Hong Kong - Securities and Futures Commission"
"609407","107226","Singapore - Monetary Authority of Singapore"
"609407","107228","United Kingdom - Financial Services Authority"
"608872","106882","Guernsey - Guernsey Financial Services Commission"
"608872","106883","Guernsey - Guernsey Financial Services Commission"
"608872","106884","Guernsey - Guernsey Financial Services Commission"
"608872","106885","Guernsey - Guernsey Financial Services Commission"
"608872","106886","Guernsey - Guernsey Financial Services Commission"
"608872","106889","Guernsey - Guernsey Financial Services Commission"
"608872","106907","Hong Kong - Securities and Futures Commission"
"608872","106917","Singapore - Monetary Authority of Singapore"
"608872","106922","United Kingdom - Financial Services Authority"
"609336","107559","Guernsey - Guernsey Financial Services Commission"
"609336","107562","Guernsey - Guernsey Financial Services Commission"
"609336","107556","Guernsey - Guernsey Financial Services Commission"
"609336","107557","Guernsey - Guernsey Financial Services Commission"
"609336","107558","Guernsey - Guernsey Financial Services Commission"
"609336","107560","Guernsey - Guernsey Financial Services Commission"
"609024","107018","Guernsey - Guernsey Financial Services Commission"
"609024","107016","Guernsey - Guernsey Financial Services Commission"
"607351","105945","Guernsey - Guernsey Financial Services Commission"
"607351","105946","Guernsey - Guernsey Financial Services Commission"
"602155","104419","Other-CAYMAN ISLANDS MONETARY AUTHORITY"
"599618","109469","Singapore - Monetary Authority of Singapore"
"594463","102269","United Kingdom - Financial Services Authority"
"610532","110386","Brazil - Securities and Exchange Commission"
"610532","110390","Japan - Financial Services Agency"
"611358","108897","Guernsey - Guernsey Financial Services Commission"
"611358","108900","Guernsey - Guernsey Financial Services Commission"
"611358","108918","Guernsey - Guernsey Financial Services Commission"
"611358","108910","Guernsey - Guernsey Financial Services Commission"
"611358","108911","Guernsey - Guernsey Financial Services Commission"
"611358","108923","Guernsey - Guernsey Financial Services Commission"
"611358","108927","Guernsey - Guernsey Financial Services Commission"
"611358","108928","Guernsey - Guernsey Financial Services Commission"
"611358","108931","Guernsey - Guernsey Financial Services Commission"
"611358","108932","Guernsey - Guernsey Financial Services Commission"
"611358","108934","Guernsey - Guernsey Financial Services Commission"
"602917","107785","India - Securities and Exchange Board of India"
"609326","109276","United Kingdom - Financial Services Authority"
"609326","109265","China, People's Republic of - China Securities Regulatory Commission "
"609326","109257","Mauritius, Republic of - Financial Services Commission"
"609326","109288","Other-CANADA - ONTARIO SECURITIES COMMISSION & CANADA - ALBERTA SECURITIES COMMISSION"
"609326","109251","Other-KENYA - CAPITAL MARKETS AUTHORITY, KENYA - RETIREMENT BENEFITS AUTHORITY, UGANDA - CAPITAL MARKETS AUTHROITY"
"609326","109281","Other-UK - FINANCIAL SERVIES AUTHORITY, ITALY - CONSOB & BANCA D'ITALIA"
"609326","109255","Hong Kong - Securities and Futures Commission"
"609326","109286","Ireland -  Central Bank of Ireland"
"609326","109272","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"609326","110613","China, People's Republic of - China Securities Regulatory Commission "
"609326","109271","Other-TAIWAN - SECURITIES AND FUTURES BUREAU UNDER FINANCIAL SUPERVISORY COMMISSION"
"609326","109274","Dubai - Dubai Financial Services Authority"
"609326","109262","Singapore - Monetary Authority of Singapore"
"611719","110575","Cayman Islands - Cayman Islands Stock Exchange Authority"
"604031","108303","United Kingdom - Financial Services Authority"
"604031","108306","United Kingdom - Financial Services Authority"
"604031","104611","United Kingdom - Financial Services Authority"
"604031","104611","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"604031","104611","Canada - Alberta Securities Commission"
"604031","104611","Canada - Manitoba Securities Commission"
"604031","104611","Canada - Ontario Securities Commission"
"604031","104611","Canada - Quebec, Financial Markets Authority"
"604031","104612","United Kingdom - Financial Services Authority"
"604031","104611","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"604031","104610","United Kingdom - Financial Services Authority"
"590878","108771","United Kingdom - Financial Services Authority"
"590878","108772","Singapore - Monetary Authority of Singapore"
"590887","110168","Singapore - Monetary Authority of Singapore"
"609894","108877","Other-JERSEY FINANCIAL SERVICES COMMISSION"
"607890","107186","Other-CAYMAN ISLANDS MONETARY AUTHORITY--EXCLUDED PERSON"
"611309","108781","Guernsey - Guernsey Financial Services Commission"
"611309","108783","Guernsey - Guernsey Financial Services Commission"
"596712","102487","Other-BRAZILIAN CENTRAL BANK"
"596712","102488","Hong Kong - Securities and Futures Commission"
"596712","102489","Brazil - Securities and Exchange Commission"
"596712","102490","Brazil - Securities and Exchange Commission"
