"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","CRD Number"
"886617","27673","SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",""
"886617","27682","SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",""
"886617","27689","SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",""
"886617","27698","SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",""
"886617","27570","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27584","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27623","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27652","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27660","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27663","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27673","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"886617","27682","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21429","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21429","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21464","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21464","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21509","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21509","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21522","SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",""
"884961","21458","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21503","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21516","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21516","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21503","DEUTSCHE BANK (MAURITIUS) LIMITED","DEUTSCHE BANK (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","",""
"884961","21522","DEUTSCHE BANK (MAURITIUS) LIMITED","DEUTSCHE BANK (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","",""
"884961","21503","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21409","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21468","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21468","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21511","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21511","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21503","DEUTSCHE BANK AG MUMBAI","DEUTSCHE BANK AG MUMBAI","MUMBAI","","India","N","",""
"884961","21516","DEUTSCHE BANK (MAURITIUS) LIMITED","DEUTSCHE BANK (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","",""
"884961","59154","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","59154","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21462","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21462","FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",""
"884961","21458","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","21409","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","NEW YORK","New York","United States","N","8-7221","7691"
"884961","69866","DEUTSCHE BANK (MAURITIUS) LIMITED","DEUTSCHE BANK (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","",""
"885474","55520","BMO HARRIS BANK","BMO HARRIS BANK","CHICAGO","Illinois","United States","N","",""
"898444","39624","GOLDMAN, SACHS & CO.","GOLDMAN, SACHS & CO.","NEW YORK","New York","United States","N","8-129","361"
"898444","39674","GOLDMAN, SACHS & CO.","GOLDMAN, SACHS & CO.","NEW YORK","New York","United States","N","8-129","361"
"898444","39708","GOLDMAN, SACHS & CO.","GOLDMAN, SACHS & CO.","NEW YORK","New York","United States","N","8-129","361"
"891464","21732","J.P. MORGAN CLEARING CORP.","J.P. MORGAN CLEARING CORP.","BROOKLYN","New York","United States","N","8-43724","28432"
"891464","21732","FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","BOSTON","Massachusetts","United States","N","8-23292","7784"
"899134","37898","SILICON VALLEY BANK","SILICON VALLEY BANK","MENLO PARK","California","United States","N","",""
