"FilingID","Other Name","BD","RR","Pool","FCM","Real Estate","Insurance","Bank","Trust","Municipal","Swap Dealer","Swap Participant","Accountant","Lawyer","Other","Other Description"
"1010691","EDL CAPITAL (UK) LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"1022027","HOWARD AND ASSOCIATES","N","N","N","N","N","N","N","N","N","N","N","N","Y","N",""
"1026675","WEST FACE CAPITAL INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"985254","BASIS INVESTMENT GROUP, LLC","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","COMMERCIAL REAL ESTATE LENDING"
"1017733","SIMPLEX GLOBAL INVESTMENTS LIMITED","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"1017733","SIMPLEX ASSET MANAGEMENT (HK) COMPANY LTD","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",""
"1015813","B. R. E. PARTNERS GP LTD, B. R. E. PARTNERS GP LTD II LTD, B. R E MANAGER LTD, B. R E MANAGER II LTD, B. R.E. MANAGER III LTD","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","SERVING AS GENERAL PARTNER AND MANAGER OF PRIVATE FUNDS DOMICILIED OUTSIDE THE US AND CONDUCING BUSINESS OUTSIDE OF  THE US"
"1025464","WEST FACE CAPITAL INC.","Y","N","N","N","N","N","N","N","N","N","N","N","N","N",""
"988673","FROGMORE REAL ESTATE PARTNERS INVESTMENT MANAGERS LIMITED","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",""
