"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
"893907","26466","4860","RAB SPECIAL SITS LP","805-6005929502","Delaware","United States","N","Y"
"883192","58256","11756","THREE COURT FUND, LP","805-6471388247","Delaware","United States","Y","N"
"894311","5558","1677","THE ECLECTICA FUND LP","805-7842531793","Delaware","United States","N","Y"
"894311","5558","1679","THE ECLECTICA FUND","805-4311087449","","Cayman Islands","N","Y"
"894287","56323","11144","ROMULUS CAPITAL II (US) FEEDER, L.P.","805-7861119314","Delaware","United States","Y","N"
"888111","28071","5156","BROAD PEAK FUND LTD.","805-8345142320","","Cayman Islands","N","Y"
"888111","28071","5155","BROAD PEAK FUND L.P.","805-3171084462","","Cayman Islands","N","Y"
"876232","33858","6562","PARAMETRICA GLOBAL FUND, LTD.","805-6768995799","","Cayman Islands","N","Y"
"864055","65786","13435","SERENITY INVESTMENT FEEDER FUND LIMITED","805-4084263794","","Cayman Islands","N","Y"
"868510","35778","6617","PRIMAVERA CAPITAL (CAYMAN) GROUP IB L.P.","805-2793035592","","Cayman Islands","Y","N"
"868510","35778","6616","PRIMAVERA CAPITAL (CAYMAN) GROUP IA L.P.","805-1412428167","","Cayman Islands","Y","N"
"868510","69661","14258","PRIMAVERA CAPITAL (CAYMAN) GROUP 2B L.P.","805-8019671176","","Cayman Islands","Y","N"
"868510","69661","14257","PRIMAVERA CAPITAL (CAYMAN) GROUP 2A L.P.","805-1412428167","","Cayman Islands","Y","N"
"892148","8653","2237","AAC CAPITAL NEBO FEEDER II LP","805-3458517179","","United Kingdom","N","Y"
"892148","8284","2174","NEBO I FEEDER LP","805-5578243109","","United Kingdom","N","Y"
"888963","45485","8176","BERYLSON VALUE FUND LP","805-8348791059","Delaware","United States","N","Y"
"892307","64449","13070","MAKURIA CREDIT FUND LTD","805-7973696472","","Cayman Islands","N","Y"
"892307","64449","13069","MAKURIA CREDIT FUND LP","805-4574647140","Delaware","United States","N","Y"
"894114","56047","11103","ARUNDEL HEDGED OFFSHORE LTD","805-7682185314","","Cayman Islands","Y","N"
