"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"966168","60199","SWISS FINANCIAL SERVICES, INC.","NAPERVILLE","Illinois","United States","N","Yes (provided to all investors)",""
"966168","39038","SWISS FINANCIAL SERVICES, INC.","NAPERVILLE","Illinois","United States","N","Yes (provided to all investors)",""
"966168","39004","SWISS FINANCIAL SERVICES, INC.","NAPERVILLE","Illinois","United States","N","Yes (provided to all investors)",""
"966168","39231","SWISS FINANCIAL SERVICES, INC.","NAPERVILLE","Illinois","United States","N","Yes (provided to all investors)",""
"966168","39151","SWISS FINANCIAL SERVICES, INC.","NAPERVILLE","Illinois","United States","N","Yes (provided to all investors)",""
"966526","46886","CITCO FUND SERVICES","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"966436","65829","ASSURE FUND SERVICES","SALT LAKE CITY","Utah","United States","N","Yes (provided to all investors)",""
"966436","65780","ASSURE FUND SERVICES","SALT LAKE CITY","Utah","United States","Y","Yes (provided to all investors)",""
"966436","65830","ASSURE FUND SERVICES","SALT LAKE CITY","Utah","United States","Y","Yes (provided to all investors)",""
"966770","48622","SS&C GLOBEOP","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
"962290","29461","CENTAUR FUND SERVICES LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"962290","57430","CENTAUR FUND SERVICES LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"967490","68223","BROADSCOPE","PARAMUS","New Jersey","United States","N","Yes (provided to all investors)",""
"967546","57452","ADURO ADVISORS, LLC","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
"952946","65869","HEDGESERV","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"972396","167298","MORGAN STANLEY FUND SERVICES USA LLC","PURCHASE","New York","United States","N","Yes (provided to all investors)",""
"972396","167298","MORGAN STANLEY FUND SERVICES (BERMUDA) LTD","HAMILTON","","Bermuda","N","Yes (provided to all investors)",""
"977239","167143","PERENNIAL FUND SERVICES LLC","WESTLAKE VILLAGE","California","United States","N","Yes (provided to all investors)",""
"982165","46130","PORT LOUIS MANAGEMENT SERVICES","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"982165","46132","PORT LOUIS MANAGEMENT SERVICES","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"980646","111230","SS&C INC.","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"969141","69783","STATE STREET FUND SERVICES (HONG KONG) LIMITED","HONG KONG","","Hong kong","N","Yes (provided to all investors)",""
"974535","67427","OPUS FUND SERVICES","CHICAGO","Illinois","United States","N","Yes (provided to all investors)",""
"983802","120734","INTERNATIONAL FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"987635","60677","IKONIC FUND SERVICES LTD.","HAMILTON","","Bermuda","N","Yes (provided to all investors)",""
"987635","61003","IKONIC FUND SERVICES LTD.","HAMILTON","","Bermuda","N","Yes (provided to all investors)",""
"987590","76380","U.S BANK FUND SERVICES","HACKENSACK","New Jersey","United States","N","Yes (provided to all investors)",""
"987590","76378","U.S. BANK FUND SERVICES","HACKENSACK","New Jersey","United States","N","Yes (provided to all investors)",""
"987590","74122","U.S. BANKCORP FUND SERVICES LTD.","HACKENSACK","New Jersey","United States","N","Yes (provided to all investors)",""
"993934","30078","CITCO (CANADA) INC.","TORONTO","","Canada","N","Yes (provided to all investors)",""
"998013","74161","AMICORP FUND SERVICES N.V.","BRIDGETOWN","","Barbados","N","Yes (provided to all investors)",""
"998013","70373","PRAXIS FUND SERVICES LIMITED","GUERNSEY","","Guernsey","N","Yes (provided to all investors)","NOT APPLICABLE"
"992841","41803","CASCADE PORTFOLIO ADMINISTRATION, LLC","DALLAS","Texas","United States","N","No (provided to no investors)","NOT APPLICABLE"
"992841","77265","CASCADE PORTFOLIO ADMINISTRATION, LLC","DALLAS","Texas","United States","N","No (provided to no investors)","NOT APPLICABLE"
"1001034","7278","STANDISH MANAGEMENT, LLC","SANTA MONICA","California","United States","N","Yes (provided to all investors)",""
"1001034","68345","STANDISH MANAGEMENT, LLC","SANTA MONICA","California","United States","N","Yes (provided to all investors)",""
"1001034","50082","STANDISH MANAGEMENT, LLC","SANTA MONICA","California","United States","N","Yes (provided to all investors)",""
"1001034","7279","STANDISH MANAGEMENT, LLC","SANTA MONICA","California","United States","N","Yes (provided to all investors)",""
"975071","5008","SS&C TECHNOLOGIES, INC.","SKILLMAN","New Jersey","United States","N","Yes (provided to all investors)",""
"975071","47879","CITCO FUND SERVICES (CURACAO) N.V.","WILLEMSTAD","","Netherlands Antilles","N","Yes (provided to all investors)",""
"975071","5984","SS&C TECHNOLOGIES, INC.","SKILLMAN","New Jersey","United States","N","Yes (provided to all investors)",""
"975071","5005","SS&C TECHNOLOGIES, INC.","SKILLMAN","New Jersey","United States","N","Yes (provided to all investors)",""
"975071","47883","CITCO FUND SERVICES (CURACAO) N.V.","CURACAO","","Netherlands Antilles","N","Yes (provided to all investors)",""
"1000774","175203","CIM FUND SERVICES LTD","PORT LOUIS","","Mauritius","N","No (provided to no investors)","ADMINISTRATOR'S DELEGATE: DEUTSCHE INTERNATIONAL TRUST CORPORATION (MAURITIUS) LIMITED, ALSO ADMINISTRATOR'S DELEGATE TO THE FEEDER FUNDS DISCLOSED IN THIS SCHEDULE D SENDS INVESTOR ACCOUNT STATEMENTS TO INVESTORS IN SUCH FEEDER FUNDS."
"1000774","175203","DEUTSCHE INTERNATIONAL TRUST CORPORATION (MAURITIUS) LIMITED","PORT LOUIS","","Mauritius","N","Yes (provided to all investors)",""
"996733","36052","INTERNATIONAL FINANCIAL SERVICES LIMITED","EBENE","","Mauritius","Y","Yes (provided to all investors)",""
"999919","34864","CLAIRMONT CAPITAL INC.","TORONTO","","Canada","Y","Yes (provided to all investors)",""
"999919","33925","CLAIRMONT CAPITAL INC.","TORONTO","","Canada","Y","Yes (provided to all investors)",""
"996746","36159","INTERNATIONAL FINANCIAL SERVICES LIMITED","EBÈNE","","Mauritius","Y","Yes (provided to all investors)",""
"994867","69672","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","69673","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","7407","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","7393","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","7395","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","7390","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","14112","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","14097","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"994867","7394","SS&C TECHNOLOGIES, INC.","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"987957","162222","MOORE CAPITAL MANAGEMENT , LP","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"987975","55612","MORGAN STANLEY FUND SERVICES","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"965134","59765","TMF CUSTOM HOUSE FUND SERVICES (USA) LLC","CHICAGO","Illinois","United States","N","Yes (provided to all investors)",""
"975214","22144","CITCO FUND SERVICES (IRELAND) LIMITED","CORK","","Ireland","N","Yes (provided to all investors)",""
"984896","15254","APEX FUND SERVICES (BERMUDA) LTD.,","HAMILTON","","Bermuda","N","Yes (provided to all investors)",""
"984896","15253","APEX FUND SERVICES","RED BANK","New Jersey","United States","N","Yes (provided to all investors)",""
"984702","33484","ASHEN INVESTMENT MANAGEMENT, LLC","PITTSBURGH","Pennsylvania","United States","N","Yes (provided to all investors)",""
"985659","66310","SECOND CITY PE II CORPORATION","VANCOUVER, BC","","Canada","Y","Yes (provided to all investors)",""
"985659","66309","SECOND CITY PE II CORPORATION","VANCOUVER, BC","","Canada","Y","Yes (provided to all investors)",""
"989437","30249","BNY MELLON","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"989437","69216","BNY MELLON","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"986945","45323","GENE O'NEILL & COMPANY","QUINCY","Massachusetts","United States","N","Yes (provided to all investors)",""
"980953","57272","SS&C","CRANFORD","New Jersey","United States","N","Yes (provided to all investors)",""
"986306","6142","FINANCIAL SOLUTIONS ACCOUNTING AND ADMINISTRATIVE SERVICES","SAGAMORE BEACH","Massachusetts","United States","N","Yes (provided to all investors)",""
"990834","63446","YULISH & ASSOCIATES","SAN FRANCISCO","California","United States","N","No (provided to no investors)","SEA BLUFF CAPITAL, LLC"
"992844","26429","STONE COAST FUND SERVICES","PORTLAND","Maine","United States","N","Yes (provided to all investors)",""
"983315","170540","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
"983315","170541","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
"983315","39576","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
"983315","39553","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
"983315","39517","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
"983315","48651","ADURO ADVISORS, LLC","LIVERMORE","California","United States","N","Yes (provided to all investors)","N/A"
