"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
"1009619","177258","ORANGEFIELD COLUMBUS","NEW YORK","New York","United States","N","Yes (provided to all investors)",""
"1003995","40290","LEVERPOINT MANAGEMENT LLC","CLIFTON PARK","New York","United States","N","Yes (provided to all investors)",""
"1003995","40215","LEVERPOINT MANAGEMENT LLC","CLIFTON PARK","New York","United States","N","Yes (provided to all investors)",""
"1003995","40300","LEVERPOINT MANAGEMENT LLC","CLIFTON PARK","New York","United States","N","Yes (provided to all investors)",""
"1010432","177306","MUFG ALTERNATIVE FUND SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"1002879","175709","HEDGESERV (CAYMAN) LTD.","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"1020288","158918","HEDGESERV LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"1022041","166296","BNY MELLON FUND SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"1022041","47630","NORTHERN TRUST LUXEMBOURG MANAGEMENT COMPANY S.A.","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"1022804","162287","KAUFMAN ROSSIN FUND SERVICES, LLC","MIAMI","Florida","United States","N","Yes (provided to all investors)",""
"1022822","49485","NORTHERN TRUST INTERNATIONAL FUND ADMINISTRATION SERVICES (IRELAND) LIMITED","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
"1022822","39801","NORTHERN TRUST LUXEMBOURG MANAGEMENT COMPANY S.A.","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
"1025309","25644","SS&C TECHNOLOGIES, INC","MISSISSAUGA","","Canada","N","Yes (provided to all investors)",""
"1017146","41742","UBS FUND SERVICES (CAYMAN) LTD.","CAYMAN ISLANDS","","Cayman Islands","N","Yes (provided to all investors)",""
"1017146","41835","STATE STREET GLOBAL SERVICES","HONG KONG","","China","N","Yes (provided to all investors)",""
"1017146","41852","UBS FUND SERVICES (CAYMAN) LTD.","CAYMAN ISLANDS","","Cayman Islands","N","Yes (provided to all investors)",""
"1017146","49412","STATE STREET GLOBAL SERVICES","HONG KONG","","China","N","Yes (provided to all investors)",""
"1017146","41856","STATE STREET GLOBAL SERVICES","HONG KONG","","China","N","Yes (provided to all investors)",""
"1024732","32066","GLOBEOP FINANCIAL SERVICES (CAYMAN) LIMITED","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
"1024732","32149","INTERNATIONAL FUND SERVICES (IRELAND) LIMITED","DUBLIN 2","","Ireland","N","Yes (provided to all investors)",""
"1025976","64807","VIRTUS GROUP L.P.","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
"1025976","21410","VIRTUS GROUP LLC","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
"1025976","21398","BANK OF NEW YORK MELLON","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
"1025976","159014","BNP PARIBAS SECURITIES SERVICES","ST. HELIER","","Jersey","N","Yes (provided to all investors)",""
"1025976","159013","VIRTUS GROUP LP","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
"1025976","21380","BNP PARIBAS SECURITIES SERVICES","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
"1025976","21379","BNP PARIBAS SECURITIES SERVICES","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
"1025976","21374","BNP PARIBAS SECURITIES SERVICES","LONDON","","United Kingdom","N","Yes (provided to all investors)",""
