"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1047268,"BROAD REACH MASTER FUND LP",805-1555172343,180131,"","Cayman Islands","N","Y","Y","N","",,"N","","N","Hedge Fund","",138000000,1000000,1,100,0,100,"N","N","N",66,"Y","Y","N","Y","Report Not Yet Received","Y","Y","Y",100,"N"
1043841,"SERVICE PROVIDER CAPITAL FUND I LP",805-2930152089,67401,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",2995947,25000,85,2,0,0,"N","N","N",0,"Y","N","N","N","","N","N","N",0,"N"
1043841,"SERVICE PROVIDER CAPITAL MIDWEST FUND I, LP",805-1973497106,178661,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",1330000,25000,36,17,0,0,"N","N","N",0,"Y","N","N","N","","N","N","N",0,"N"
1050548,"KHROM INVESTMENTS FUND, LP",805-7927349712,58911,"Delaware","United States","Y","N","Y","N","",,"N","","N","Hedge Fund","",35284404,1000000,42,3,3,10,"N","N","N",100,"Y","Y","Y","Y","No","Y","Y","Y",100,"N"
1048334,"AQS REAL ESTATE PARTNERS EUROPE (B) L.P.",805-9356059407,177679,"","Guernsey","N","Y","N","N","",,"N","","N","Real Estate Fund","",0,10000000,1,100,0,100,"N","N","N",0,"Y","Y","N","Y","Report Not Yet Received","N","N","Y",0,"Y"
1045573,"ALTA PARK FUND ONSHORE, LP",805-1823153686,56376,"Delaware","United States","N","Y","N","Y","ALTA PARK FUND, LP",805-7951600816,"N","","N","Hedge Fund","",55558770,1000000,32,24,3,0,"N","N","N",0,"Y","Y","Y","Y","No","N","Y","Y",100,"Y"
1045573,"ALTA PARK FUND, LP",805-7951600816,56374,"","Cayman Islands","N","Y","Y","N","",,"N","","Y","Hedge Fund","",148687283,1000000,2,100,0,63,"N","N","Y",50,"Y","Y","Y","Y","No","Y","Y","Y",100,"N"
1045573,"ALTA PARK FUND OFFSHORE, LTD",805-3334098213,65810,"","Cayman Islands","N","Y","N","Y","ALTA PARK FUND, LP",805-7951600816,"N","","N","Hedge Fund","",93128512,1000000,5,1,11,99,"N","N","N",0,"Y","Y","Y","Y","No","N","Y","Y",100,"Y"
1045573,"ALTA PARK OPPORTUNITIES FUND I, LP",805-7163369964,158943,"Delaware","United States","N","Y","N","N","",,"N","","N","Hedge Fund","",18359504,1000000,14,3,63,71,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","N",0,"N"
1046353,"ENLIGHTENED HOSPITALITY INVESTMENTS, LP",805-1817871261,180061,"Delaware","United States","Y","N","Y","N","",,"N","","N","Venture Capital Fund","",0,1,47,10,0,10,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","N",0,"N"
1046699,"TRIENT GLOBAL (IRE) FUNDS",805-2401813278,46018,"","Ireland","N","Y","Y","N","",,"N","","N","Hedge Fund","",2284000,108815,2,100,0,100,"N","N","N",0,"Y","Y","Y","Y","Yes","Y","Y","Y",100,"N"
1047153,"MONTAVILLA PARTNERS, L.P.",805-2084112308,43700,"California","United States","Y","N","N","N","",,"N","","N","Hedge Fund","",0,25000,9,3,0,0,"N","N","N",0,"Y","N","Y","N","No","Y","Y","N",100,"N"
1047153,"ASTORIA CAPITAL PARTNERS, L.P.",805-6760383238,43699,"California","United States","Y","N","N","N","",,"N","","N","Hedge Fund","",5817583,1000000,37,7,0,0,"N","N","N",0,"Y","Y","N","Y","Report Not Yet Received","Y","Y","N",100,"N"
1045571,"VENTURE51 CAPITAL FUND, L.P.",805-4422273522,55483,"Delaware","United States","Y","N","Y","N","",,"N","","N","Venture Capital Fund","",10415799,50000,22,1,0,24,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 BETA FUND, L.P.",805-9605225196,68018,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",3802071,25000,27,1,0,13,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 CAPITAL PARTNERS II, L.P.",805-2564578628,68019,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",14381329,25000,35,1,12,9,"N","N","N",0,"Y","Y","Y","Y","Yes","N","Y","Y",0,"N"
1045571,"VENTURE51 CAPITAL FUND FEEDER, L.P.",805-4116369864,68021,"Delaware","United States","Y","N","N","Y","VENTURE51 CAPITAL FUND, L.P.",805-4422273522,"N","","N","Venture Capital Fund","",1467083,100000,4,0,0,8,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 GAME FUND, L.P.",805-8191408105,68022,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",2156231,25000,25,1,0,0,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 URBAN FUND, L.P.",805-5984217103,68023,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",76556,50000,17,1,0,12,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 HONK FUND, LP",805-6918388945,173953,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",387187,25000,5,1,0,78,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 RESERVE FUND, LP",805-3296496640,173955,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",1001156,25000,9,1,17,45,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"DSCV51 FUND, LP",805-7431539175,173957,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",380143,25000,8,1,0,0,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"VENTURE51 CAPITAL PARTNERS III, LP",805-6977506048,173951,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",4765755,25000,19,1,0,78,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"Y"
1045571,"RLV51 FUND, L.P.",805-1286765313,179993,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",3190246,25000,19,1,0,21,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1045571,"RLV51 FUND II, L.P.",805-5820837230,179994,"Delaware","United States","Y","N","N","N","",,"N","","N","Venture Capital Fund","",4151200,25000,14,1,0,58,"N","N","N",0,"Y","N","Y","N","Report Not Yet Received","N","Y","Y",0,"N"
1043936,"SAASTR FUND I, L.P.",805-4893363479,179891,"Delaware","United States","N","Y","N","N","",,"N","","N","Venture Capital Fund","",68225000,0,24,2,79,3,"N","N","N",0,"Y","Y","Y","Y","Report Not Yet Received","N","Y","Y",0,"N"
1045793,"H CAPITAL I, L.P.",805-6401687810,180016,"","Cayman Islands","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",435067739,0,11,11,7,79,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","N",0,"N"
1045793,"H CAPITAL III, L.P.",805-5839514903,180020,"","Cayman Islands","Y","Y","N","N","",,"N","","N","Venture Capital Fund","",520524136,0,58,1,33,32,"N","Y","N",0,"Y","Y","Y","Y","Yes","N","Y","N",0,"N"
