FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
992355,"","","","","Y","","","Y","","",
997341,"Y","","","","","","","","","",
1003697,"","","Y","","","","","","","",
1003802,"","","Y","","","","","","","",
1005761,"","","Y","","","","","","","",
1006208,"","","Y","","","","","","","",
1006321,"","","Y","","","","","","","",
1006442,"","","Y","","","","","","","",
1007712,"","","Y","","","","","","","",
1008461,"","","Y","","","","","","","",
1009266,"","","Y","","","","","","","",
1009414,"","","","","Y","","","","","",
1009987,"","","Y","","","","","","","",
1010018,"","","","","Y","","","","","",
1010249,"Y","","","","","","","","","",
1010291,"","","Y","","","","","","","",
1010349,"","","Y","","","","","","","",
1010604,"","","Y","","","","","","","",
1010987,"","","Y","","","","","","","",
1011018,"","Y","","","","","","","","",2016
1011471,"","","Y","","","","","","","",
1011556,"","","","","","","Y","","","",
1011667,"","","Y","","","","","","","",
1012077,"","","","","Y","","","","","",
1012758,"Y","","","","","","","","","",
1012975,"Y","","","","","","","","","",
1013026,"","","Y","","","","","","","",
1013358,"","","Y","","","","","","","",
1013611,"","","","Y","","","","","","",
1014152,"","","Y","","","","","","","",
1014155,"","","Y","","","","","","","",
1014363,"","","Y","","","","","","","",
1014638,"","","","","Y","","","","","",
1014840,"","","Y","","","","","","","",
1014911,"","","Y","","","","","","","",
1015244,"","","Y","","","","","","","",
1015857,"Y","","","","","","","","","Y",
1016148,"","","Y","","","","","","","",
1016166,"","","Y","","","","","","","",
1016276,"","","Y","","","","","","","",
1016307,"","","Y","","","","","","","",
1016346,"","","Y","","","","","","","",
1016435,"","","Y","","","","","","","",
1016450,"Y","","","","","","","","","",
1016526,"","","Y","","","","","","","",
1016574,"","","Y","","","","","","","",
1016605,"","","","","","","","","Y","Y",
1016803,"","","Y","","","","","","","",
1017007,"","","Y","","","","","","","",
1017216,"","Y","","","","","","","","",2015
1017226,"","","Y","","","","","","","",
1017233,"","","Y","","","","","","","",
1017255,"","","Y","","","","","","","",
1017277,"","","Y","","","","","","","",
1017344,"","","Y","","","","","","","",
1017472,"","","Y","","","","","","","",
1017485,"Y","","","","","","","","","",
1017486,"Y","","","","","","","","","",
1017618,"","","","","","","Y","","","",
1017626,"","","Y","","","","","","","",
1018088,"","","","","Y","","","Y","","",
1018140,"","","Y","","","","","","","",
1018244,"Y","","","","","","","","","",
1018264,"","","Y","","","","","","","",
1018280,"","Y","","","","","","","","",2016
1018314,"","","Y","","","","","","","",
1018350,"","","Y","","","","","","","",
1018364,"","","Y","","","","","","","",
1018414,"","","Y","","","","","","","",
1018457,"Y","","","","","","","","","Y",
1018467,"","","Y","","","","","","","",
1018537,"","","Y","","","","","","","",
1018603,"","","Y","","","","","","","",
1018758,"","","Y","","","","","","","",
1018846,"","","Y","","","","","","","",
1019364,"","","Y","","","","","","","",
1019370,"","","Y","","","","","","","",
1019419,"","","","","","","Y","","","",
1019427,"","Y","","","","","","","","",2016
1019449,"Y","","","","","","","","","",
1019632,"","","Y","","","","","","","",
1019646,"Y","","","","","","","","","",
1019673,"","","","","Y","","","","","",
1019674,"","","Y","","","","","","","",
1019743,"","","","","Y","","","Y","","",
1019808,"","","Y","","","","","","","",
1019817,"Y","","","","","","","","","",
1019861,"","","Y","","","","","","","",
1019876,"","","","","Y","","","","","",
1019897,"Y","","","","","","","","","",
1019969,"Y","","","","","","","","","",
1019991,"","","Y","","","","","","","",
1019995,"Y","","","","","","","","","Y",
1020053,"","","","","Y","","","","","",
1020102,"","","Y","","","","","","","",
1020222,"","","","","","Y","","","","",2016
1020364,"","","Y","","","","","","","",
1020417,"","","Y","","","","","","","",
1020422,"","","Y","","","","","","","",
1020428,"","","Y","","","","","","","",
1020554,"","","Y","","","","","","","",
1020569,"","","Y","","","","","","","",
1020591,"","Y","","","","","","","","",2015
1020638,"","","","","Y","","","","","",
1020751,"","","Y","","","","","","","",
1020874,"","","Y","","","","","","","",
1020875,"","","Y","","","","","","","",
1020876,"","","Y","","","","","","","",
1020877,"","","Y","","","","","","","",
1020879,"","","Y","","","","","","","",
1020880,"","","Y","","","","","","","",
1020904,"Y","","","","","","","","","",
1021120,"","","Y","","","","","","","",
1021223,"","","Y","","","","","","","",
1021260,"","Y","","","","","","","","",2015
1021328,"","","Y","","","","","","","",
1021380,"","","Y","","","","","","","",
1021381,"","","Y","","","","","","","",
1021414,"","","Y","","","","","","","",
1021503,"","","Y","","","","","","","",
1021554,"","","Y","","","","","","","",
1021565,"","","Y","","","","","","","",
1021781,"","","Y","","","","","","","",
1021803,"","","Y","","","","","","","",
1021812,"","","Y","","","","","","","",
1021813,"","","Y","","","","","","","",
1021814,"","","Y","","","","","","","",
1022019,"","Y","","","","","","","","",2016
1022039,"Y","","","","","","","","","Y",
1022040,"Y","","","","","","","","","",
1022042,"","","","","","Y","","","","",2015
1022108,"","","Y","","","","","","","",
1022139,"","","Y","","","","","","","",
1022143,"","","Y","","","","","","","",
1022396,"","","Y","","","","","","","",
1022571,"","","Y","","","","","","","",
1022586,"","","Y","","","","","","","",
1022589,"","","Y","","","","","","","",
1022596,"Y","","","","","","","","","",
1022635,"","","Y","","","","","","","",
1022648,"","","","","Y","","","","","",
1022666,"","","","","","Y","","","","",2015
1022702,"","","Y","","","","","","","",
1022737,"","Y","","","","","","","","",2016
1022783,"","","Y","","","","","","","",
1022812,"Y","","","","","","","","","",
1022813,"","","Y","","","","","","","",
1022819,"","","Y","","","","","","","",
1022892,"","","Y","","","","","","","",
1022906,"","","Y","","","","","","","",
1022935,"","","Y","","","","","","","",
1022946,"","","","","Y","","","Y","","",
1022956,"","","Y","","","","","","","",
1022972,"","","Y","","","","","","","",
1022974,"Y","","","","","","","","","",
1022985,"","","Y","","","","","","","",
1022989,"","","Y","","","","","","","",
1023011,"","","Y","","","","","","","",
1023048,"","","Y","","","","","","","",
1023051,"Y","","","","","","","","","",
1023097,"","","Y","","","","","","","",
1023100,"Y","","","","","","","","","",
1023102,"","","Y","","","","","","","",
1023118,"","","Y","","","","","","","",
1023123,"","","Y","","","","","","","",
1023220,"","","Y","","","","","","","",
1023254,"","","Y","","","","","","","",
1023295,"","","Y","","","","","","","",
1023315,"","","","","","Y","","","","",2016
1023319,"","","Y","","","","","","","",
1023332,"Y","","","","","","","","","",
1023341,"","","Y","","","","","","","",
1023342,"","","Y","","","","","","","",
1023371,"","","Y","","","","","","","",
1023393,"","","Y","","","","","","","",
1023407,"","","","","","","Y","","","",
1023418,"Y","","","","","","","","","",
1023460,"","","Y","","","","","","","",
1023493,"","","Y","","","","","","","",
1023546,"Y","","","","","","","","","",
1023548,"","","","","","","Y","","","",
1023555,"","","Y","","","","","","","",
1023573,"Y","","","","","","","","","",
1023613,"","","Y","","","","","","","",
1023621,"","","Y","","","","","","","",
1023692,"","","Y","","","","","","","",
1023699,"","","Y","","","","","","","",
1023741,"","","Y","","","","","","","",
1023770,"","","Y","","","","","","","",
1023804,"","","Y","","","","","","","",
1023805,"","","","","Y","","","","","",
1023865,"","","Y","","","","","","","",
1023897,"","","Y","","","","","","","",
1023951,"","","Y","","","","","","","",
1023959,"","","Y","","","","","","","",
1023964,"","","Y","","","","","","","",
1024054,"","","Y","","","","","","","",
1024067,"","","Y","","","","","","","",
1024073,"Y","","","","","","","","","",
1024083,"","","Y","","","","","","","",
1024096,"","","","","Y","","","","","",
1024097,"","","","","Y","","","","","",
1024134,"","","Y","","","","","","","",
1024146,"","","Y","","","","","","","",
1024180,"","","Y","","","","","","","",
1024187,"","","Y","","","","","","","",
1024194,"","","Y","","","","","","","",
1024260,"","","Y","","","","","","","",
1024264,"","","","","Y","","","","","",
1024279,"","","","","Y","","","","","",
1024328,"","","Y","","","","","","","",
1024331,"","","Y","","","","","","","",
1024358,"","Y","","","","","","","","",2016
1024369,"","","","","Y","","","","","",
1024372,"","","Y","","","","","","","",
1024374,"","","Y","","","","","","","",
1024396,"","","","","Y","","","","","",
1024398,"Y","","","","","","","","Y","Y",
1024433,"","","Y","","","","","","","",
1024447,"","","Y","","","","","","","",
1024451,"","","Y","","","","","","","",
1024457,"","","Y","","","","","","","",
1024481,"Y","","","","","","","","","",
1024494,"","","Y","","","","","","","",
1024515,"Y","","","","","","","","","",
1024526,"","","Y","","","","","","","",
1024539,"","","Y","","","","","","","",
1024553,"","","Y","","","","","","","",
1024575,"","","Y","","","","","","","",
1024576,"","","Y","","","","","","","",
1024577,"Y","","","","","","","","","",
1024605,"","","Y","","","","","","","",
1024620,"","","Y","","","","","","","",
1024622,"","","Y","","","","","","","",
1024672,"Y","","","","","","","","","",
1024700,"","","Y","","","","","","","",
1024753,"Y","","","","","","","","","",
1024759,"","","Y","","","","","","","",
1024816,"","","Y","","","","","","","",
1024825,"","","Y","","","","","","","",
1024836,"","","Y","","","","","","","",
1024849,"","","Y","","","","","","","",
1024891,"Y","","","","","","","","","",
1024907,"","","","Y","Y","","","","","",
1024919,"","","Y","","","","","","","",
1024924,"","","Y","","","","","","","",
1024939,"","","Y","","","","","","","",
1024979,"","","Y","","","","","","","",
1025019,"","","","","Y","","","","","",
1025035,"","","Y","","","","","","","",
1025042,"","","Y","","","","","","","",
1025064,"","","Y","","","","","","","",
1025066,"","","Y","","","","","","","",
1025073,"","","Y","","","","","","","",
1025103,"","","Y","","","","","","","",
1025119,"","","Y","","","","","","","",
1025155,"","","Y","","","","","","","",
1025164,"","","Y","","","","","","","",
1025184,"","","Y","","","","","","","",
1025185,"","","Y","","","","","","","",
1025199,"","","Y","","","","","","","",
1025202,"","","Y","","","","","","","",
1025233,"","","Y","","","","","","","",
1025249,"","","","","","Y","","","","",2015
1025283,"Y","","","","","","","","","Y",
1025295,"Y","","","","","","","","","",
