"FilingID","Other Products and Services","Business Name"
"638540","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"639291","NON-EXCLUSIVE DISTRIBUTOR IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS",""
"634924","THE APPLICANT HAS ARRANGEMENTS THAT ARE MATERIAL TO ITS ADVISORY OR ITS CLIENTS WITH A RELATED PERSON WHO IS AN INSURANCE AGENT.  IN THIS REGARD, DAVID SCHWARTZ IS A LICENSED INSURANCE AGENT.","FIRST CAPITAL CONSULTING, INC."
"641170","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"645560","SAME AS 6.B.(2)",""
"649029","ACTING AS ADMINISTRATIVE AGENT ON BANK LOAN AGREEMENTS",""
"644850","SEAQUE WEALTH MANAGEMENT INC. WILL PREPARE BASIC INDIVIDUAL FEDERAL TAX RETURNS AND IN - STATE TAX RETURNS, AMENDED RETURNS, ESTIMATED TAX FORMS, OR FILE FOR AN EXTENSION.",""
"649340","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"651046","SEAQUE WEALTH MANAGEMENT INC. WILL PREPARE BASIC INDIVIDUAL FEDERAL TAX RETURNS AND IN - STATE TAX RETURNS, AMENDED RETURNS, ESTIMATED TAX FORMS, OR FILE FOR AN EXTENSION.",""
"653787","SAME AS 6.B.(2)",""
"654605","SEAQUE WEALTH MANAGEMENT INC. WILL PREPARE BASIC INDIVIDUAL FEDERAL TAX RETURNS AND IN - STATE TAX RETURNS, AMENDED RETURNS, ESTIMATED TAX FORMS, OR FILE FOR AN EXTENSION.",""
"654361","LIFE INSURANCE, HEALTH INSURANCE, ANNUITIES",""
"659599","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"659686","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"659130","BANKERS SOUTH LENDING & FINANCE, A LICENSED MORTGAGE LENDER AND BROKER, ORIGINATES LOANS, SERVICES LOANS, PROVIDES UNDERWRITING AND DUE DILIGENCE SERVICES FOR THE FUNDS ASSETS.",""
