"FilingID","Other Products and Services","Business Name"
"758336","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"754780","ADVISORY",""
"760898","THE COMPANY ALSO PROVIDES FUND ADMINISTRATION SERVICES TO THE FUNDS IT ADVISES AND TO PRIVATE FUNDS ADVISED BY SCOTTISH WIDOWS INVESTMENT PARTNERSHIP (SWIP).  THESE PRIVATE FUNDS ARE REPORTED ON THE ADV 1 OF SWIP.",""
"760263","LLOYDS TSB BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA  THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"762552","MARKETING OF FUNDS OUTSIDE OF THE UNITED STATES",""
"764180","PROVIDE REAL ESTATE LOANS AND THE SALE OF REAL ESTATE SECURED MORTGAGE LOANS AND DEEDS OF TRUST",""
"763570","CORPORATE FINANCE ADVISORY SERVICES",""
"757683","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"766006","WE PROVIDE CERTAIN NON-INVESTMENT ADVISORY SERVICES TO OUR CLIENTS, INCLUDING ACCOUNTING, REPORTING, REGULATORY COMPLIANCE, TREASURY AND OPERATIONS, CORPORATE GOVERNANCE, INVESTMENT ADMINISTRATION AND GENERAL ADMINISTRATION SERVICES.",""
"768015","BANKERS SOUTH LENDING & FINANCE, A LICENSED MORTGAGE LENDER AND BROKER, ORIGINATES LOANS, SERVICES LOANS, PROVIDES UNDERWRITING AND DUE DILIGENCE SERVICES FOR THE FUNDS ASSETS.",""
"768630","PROVIDE REAL ESTATE LOANS AND THE SALE OF REAL ESTATE SECURED MORTGAGE LOANS AND DEEDS OF TRUST",""
"768200","ABERDEEN GLOBAL SERVICES SA (AGS) ALSO PROVIDES DOMICILIARY AND LISTING AGENCY SERVICES TO ALL THE FUNDS FOR WHICH IT IS APPOINTED MANAGEMENT COMPANY.",""
"772659","AIFML IS THE GLOBAL DISTRIBUTOR FOR ABERDEEN'S LUXEMBOURG DOMICILED UCITS FUNDS AND IS RESPONSIBLE FOR THE APPOINTMENT OF SUB-DISTRIBUTORS IN COUNTRIES AROUND THE WORLD FOR THE FUNDS' DISTRIBUTION.",""
"773517","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"777588","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"781637","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"783021","ACCOUNTING AND ADMINISTRATIVE SERVICES",""
"783147","LLOYDS TSB BANK PLC ALSO PROVIDES HEDGING. ADMINISTRATIVE, LETTER OF CREDIT, LIQUIDITY AND OTHER LENDING FACILITIES (WHICH MAY INCLUDE REPURCHASE ARRANGEMENTS) TO CANCARA  THE PRIVATE FUND DESCRIBED IN SECTION 7B(1)",""
"775146","BROAD MANAGEMENT, ADMINISTRATION AND DISTRIBUTION SERVICES TO A NUMBER OF PRIVATE FUND CLIENTS ALTHOUGH THE MAJORITY OF SUCH SERVICES ARE OUTSOURCED TO OTHER ENTITIES.",""
"782563","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"784639","WE PROVIDE CERTAIN NON-INVESTMENT ADVISORY SERVICES TO OUR CLIENTS, INCLUDING ACCOUNTING, REPORTING, REGULATORY COMPLIANCE, TREASURY AND OPERATIONS, CORPORATE GOVERNANCE, INVESTMENT ADMINISTRATION AND GENERAL ADMINISTRATION SERVICES.",""
"768727","CORPORATE FINANCE ADVISORY SERVICES",""
"776533","GROWTH CAPITAL- PROVIDE EQUITY AND/OR MEZZANINE CAPITAL FOR LOWER-MIDDLE MARKET COMPANIES. STRATEGIC ADVISORS- PROVIDE WIDE RANGE OF ACCOUNTING AND CORPORATE FINANCE CONSULTING. REAL ESTATE- OFFER COMPREHENSIVE REAL ESTATE SERVICES.",""
"789378","FUND ADMINISTRATION (E.G. CAPITAL CALLS AND DISTRIBUTIONS, DISTRIBUTION OF ANNUAL REPORTS AND K-1'S)","LEVERPOINT MANAGEMENT, LLC"
"788744","INVESTMENT MONITORING- AND REPORTING SERVICES, INCLUDING PERFORMANCE EVALUATIONS, MONITORING AND RECONCILIATION OF CASH FLOWS, REVIEW OF ASSET ALLOCATIONS, AND PREPARATION OF RESPECTIVE REPORTS.",""
"792457","ADVISORY",""
"793656","PROVIDE REAL ESTATE LOANS AND THE SALE OF REAL ESTATE SECURED MORTGAGE LOANS AND DEEDS OF TRUST",""
"794238","MANAGEMENT SERVICES OF FUNDS",""
"791256","BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
"789181","THE FILER (OR AN AFFILIATE) PROVIDES PROPERTY MANAGEMENT SERVICES TO ITS CLIENTS (OR SUBSIDIARIES OF ITS CLIENT).",""
"795404","REPORTING AND ADMINISTRATIVE SERVICES",""
"782618","NON-EXCLUSIVE SALES AGENT IN RESPECT OF THE SHARES AND INTERESTS (AS APPLICABLE) OF ITS CLIENTS, IN MONACO",""
"788304","OPERATIVE COMPANY CONSULTING AND RESTRUCTURING SERVICES",""
"795744","LIQUIDITY FACILITY PROVIDER, LETTER OF CREDIT PROVIDER, ADMINISTRATIVE AGENT, HEDGING AGENT, VARIABLE FUNDING NOTE AGENT, REPO COUNTERPARTY",""
"805405","THE FIRM PROVIDES REAL ESTATE UNDERWRITING SERVICES TO ITS INVESTMENT ADVISORY CLIENTS",""
"805824","OUR CLIENTS ARE PRIVATE FUNDS AND IN ADDITION TO PROVIDING THEM WITH INVESTMENT ADVICE, WE PROVIDE BOOKKEEPING, ACCOUNTING AND GENERAL ADMINISTRATION SERVICES TO THEM.",""
