"FilingID","ReferenceID","Foreign Regulatory Authority"
"964122","15847","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964122","15840","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964122","15888","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964122","15923","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964122","66626","Cayman Islands - Cayman Islands Monetary Authority"
"964122","66625","Cayman Islands - Cayman Islands Monetary Authority"
"964122","66624","Cayman Islands - Cayman Islands Monetary Authority"
"964122","15784","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"955958","56370","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"955958","54744","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964903","59539","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","59536","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48803","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48519","Australia - Australian Securities and Investments Commission"
"964903","48518","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48514","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48503","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48502","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48501","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48497","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48496","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48495","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48498","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48493","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48492","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48491","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48490","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48471","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48466","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","48454","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68664","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68692","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68691","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68690","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68683","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68680","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68671","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68670","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"964903","68059","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"965640","167529","Cayman Islands - Cayman Islands Monetary Authority"
"965640","167527","Cayman Islands - Cayman Islands Monetary Authority"
"965640","57975","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"965640","57974","Cayman Islands - Cayman Islands Monetary Authority"
"965640","57661","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"965640","48040","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"965640","64985","Cayman Islands - Cayman Islands Monetary Authority"
"965640","48039","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"964301","166355","Cayman Islands - Cayman Islands Monetary Authority"
"964301","166354","Cayman Islands - Cayman Islands Monetary Authority"
"966566","69616","Cayman Islands - Cayman Islands Monetary Authority"
"966566","68875","Cayman Islands - Cayman Islands Monetary Authority"
"957695","60593","Cayman Islands - Cayman Islands Monetary Authority"
"967117","65967","Cayman Islands - Cayman Islands Monetary Authority"
"967117","1944","Cayman Islands - Cayman Islands Monetary Authority"
"966918","27695","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"966918","27701","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"967149","72695","Cayman Islands - Cayman Islands Monetary Authority"
"967149","66878","Cayman Islands - Cayman Islands Monetary Authority"
"967149","25839","Cayman Islands - Cayman Islands Monetary Authority"
"967149","29610","Cayman Islands - Cayman Islands Monetary Authority"
"966754","66409","Cayman Islands - Cayman Islands Monetary Authority"
"966754","66412","Cayman Islands - Cayman Islands Monetary Authority"
"966754","66410","Cayman Islands - Cayman Islands Monetary Authority"
"961005","16018","Cayman Islands - Cayman Islands Monetary Authority"
"961005","60697","Cayman Islands - Cayman Islands Monetary Authority"
"967199","76317","Cayman Islands - Cayman Islands Monetary Authority"
"967290","76317","Cayman Islands - Cayman Islands Monetary Authority"
"956734","65778","Cayman Islands - Cayman Islands Monetary Authority"
"961689","70112","Cayman Islands - Cayman Islands Monetary Authority"
"961689","70103","Cayman Islands - Cayman Islands Monetary Authority"
"961689","70091","Cayman Islands - Cayman Islands Monetary Authority"
"961689","70089","Cayman Islands - Cayman Islands Monetary Authority"
"961689","70084","Cayman Islands - Cayman Islands Monetary Authority"
"961689","70082","Cayman Islands - Cayman Islands Monetary Authority"
"961689","17865","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18420","Cayman Islands - Cayman Islands Monetary Authority"
"961689","65216","Cayman Islands - Cayman Islands Monetary Authority"
"961689","65215","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18391","Cayman Islands - Cayman Islands Monetary Authority"
"961689","47122","Cayman Islands - Cayman Islands Monetary Authority"
"961689","46060","Cayman Islands - Cayman Islands Monetary Authority"
"961689","56187","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18509","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18502","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18360","Cayman Islands - Cayman Islands Monetary Authority"
"961689","46059","Cayman Islands - Cayman Islands Monetary Authority"
"961689","17838","Bermuda - Bermuda Monetary Authority"
"961689","18648","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18314","Cayman Islands - Cayman Islands Monetary Authority"
"961689","47121","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18202","Cayman Islands - Cayman Islands Monetary Authority"
"961689","18124","Cayman Islands - Cayman Islands Monetary Authority"
"961689","17966","Cayman Islands - Cayman Islands Monetary Authority"
"961689","56184","Cayman Islands - Cayman Islands Monetary Authority"
"964702","62341","Ireland -  Central Bank of Ireland"
"964702","50972","Ireland -  Central Bank of Ireland"
"964702","44923","Ireland -  Central Bank of Ireland"
"964702","70312","Ireland -  Central Bank of Ireland"
"964702","44925","Ireland -  Central Bank of Ireland"
