"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1037521,179300,118188,"Cayman Islands - Cayman Islands Monetary Authority"
1043081,18045,4646,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1043081,24538,4609,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1026384,170430,116649,"Cayman Islands - Cayman Islands Monetary Authority"
1026384,170428,116648,"Cayman Islands - Cayman Islands Monetary Authority"
1020102,21599,4184,"Cayman Islands - Cayman Islands Monetary Authority"
1020102,59593,12033,"Cayman Islands - Cayman Islands Monetary Authority"
1032429,13187,2827,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1033557,57393,11442,"Cayman Islands - Cayman Islands Monetary Authority"
1039649,57156,11399,"Cayman Islands - Cayman Islands Monetary Authority"
1040596,170579,116677,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1040631,170579,116677,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1040634,170579,116677,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1020417,5002,2440,"Cayman Islands - Cayman Islands Monetary Authority"
1020417,4621,2448,"Cayman Islands - Cayman Islands Monetary Authority"
1041926,60593,12242,"Cayman Islands - Cayman Islands Monetary Authority"
1042180,27368,5049,"Bermuda - Bermuda Monetary Authority"
1043330,1019,1019,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1043330,1007,1001,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1043330,1007,1001,"Sweden - Swedish Financial Supervisory Authority"
1043330,1007,1001,"Finland - Financial Supervision Authority"
1043330,1007,1001,"Norway - The Banking, Insurance and Securities Commission"
1043330,1007,1001,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1043362,55098,12798,"Sweden - Swedish Financial Supervisory Authority"
1043362,55098,12798,"Netherlands - The Netherlands Authority for the Financial Markets"
1043362,55098,12798,"United Kingdom - Financial Conduct Authority"
1043362,55098,12798,"Finland - Financial Supervision Authority"
1043362,55098,12798,"Bermuda - Bermuda Monetary Authority"
1043362,32724,6011,"Singapore - Monetary Authority of Singapore"
1043362,32724,6011,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1043362,32724,6011,"Netherlands - The Netherlands Authority for the Financial Markets"
1043362,32724,6011,"United Kingdom - Financial Conduct Authority"
1043362,32724,6011,"Sweden - Swedish Financial Supervisory Authority"
1043362,56987,11340,"Netherlands - The Netherlands Authority for the Financial Markets"
1043362,56987,11340,"Cayman Islands - Cayman Islands Monetary Authority"
1043362,56987,11340,"Sweden - Swedish Financial Supervisory Authority"
1043362,56987,11340,"United Kingdom - Financial Conduct Authority"
1043362,56987,11340,"Finland - Financial Supervision Authority"
1028740,62694,12733,"Cayman Islands - Cayman Islands Monetary Authority"
1029348,169377,116306,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029348,24474,4794,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029954,25023,4647,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY (CIMA)"
1022040,177998,117954,"Cayman Islands - Cayman Islands Monetary Authority"
1033693,3210,9281,"Other - CIMA - CAYMAN ISLANDS MONETARY AUTHORITY"
1038835,7082,6108,"Singapore - Monetary Authority of Singapore"
1038835,7082,6108,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1038835,7082,6108,"Other - KOREA- FINANCIAL SUPERVISORY SERVICE"
1038835,7201,6266,"Other - KOREA- FINANCIAL SUPERVISORY SERVICE"
1038835,166643,115654,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1038835,73172,32372,"Singapore - Monetary Authority of Singapore"
1038835,73172,32372,"Cayman Islands - Cayman Islands Monetary Authority"
1038835,50248,9333,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1027440,19317,3862,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1026970,16645,3319,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1026970,16645,3318,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1026970,60959,12330,"Cayman Islands - Cayman Islands Monetary Authority"
1026970,16669,3322,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1026970,16669,3323,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1029487,172019,117868,"Cayman Islands - Cayman Islands Monetary Authority"
1034567,30806,5806,"Bermuda - Bermuda Monetary Authority"
1034567,36551,6788,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1034567,36551,6790,"Bermuda - Bermuda Monetary Authority"
1034567,36551,6792,"Australia - Australian Securities and Investments Commission"
1034567,36670,6804,"Bermuda - Bermuda Monetary Authority"
1034567,30778,5782,"Bermuda - Bermuda Monetary Authority"
1034567,30818,5793,"Bermuda - Bermuda Monetary Authority"
1034567,30500,5802,"Bermuda - Bermuda Monetary Authority"
1034567,54551,10743,"Bermuda - Bermuda Monetary Authority"
1035865,73287,34406,"Cayman Islands - Cayman Islands Monetary Authority"
1035865,33767,6222,"Cayman Islands - Cayman Islands Monetary Authority"
1035865,33782,6230,"Cayman Islands - Cayman Islands Monetary Authority"
1034548,170607,116685,"Cayman Islands - Cayman Islands Monetary Authority"
1034548,170611,116686,"Cayman Islands - Cayman Islands Monetary Authority"
1034548,170611,116687,"Cayman Islands - Cayman Islands Monetary Authority"
1035458,19630,3851,"Other - REGISTRAR OF COMPANIES, CAYMAN ISLANDS"
1035316,177689,117894,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,177629,117875,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,11609,10990,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,46870,8490,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,46861,8488,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,11294,2636,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,11513,2672,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,11636,2686,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,11692,2704,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,11804,2712,"Cayman Islands - Cayman Islands Monetary Authority"
1035316,166384,115627,"Cayman Islands - Cayman Islands Monetary Authority"
1028036,56235,11133,"Cayman Islands - Cayman Islands Monetary Authority"
1017626,60289,12184,"Cayman Islands - Cayman Islands Monetary Authority"
1017626,26937,12191,"Singapore - Monetary Authority of Singapore"
1035319,179197,118164,"Cayman Islands - Cayman Islands Monetary Authority"
1036726,40344,12676,"Cayman Islands - Cayman Islands Monetary Authority"
1036726,40758,12677,"Cayman Islands - Cayman Islands Monetary Authority"
1036726,41951,12678,"Cayman Islands - Cayman Islands Monetary Authority"
1036726,40605,12661,"Cayman Islands - Cayman Islands Monetary Authority"
1036726,40548,12662,"Cayman Islands - Cayman Islands Monetary Authority"
1027904,56093,11107,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1003697,9608,14043,"Cayman Islands - Cayman Islands Monetary Authority"
1035440,175501,117501,"Cayman Islands - Cayman Islands Monetary Authority"
1035440,47235,8614,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1032568,22890,38383,"Cayman Islands - Cayman Islands Monetary Authority"
1032568,22890,12202,"Cayman Islands - Cayman Islands Monetary Authority"
1032568,22890,10606,"Cayman Islands - Cayman Islands Monetary Authority"
1032568,22890,9261,"Cayman Islands - Cayman Islands Monetary Authority"
1038741,163161,110568,"Ireland -  Central Bank of Ireland"
1038741,167162,115803,"Ireland -  Central Bank of Ireland"
1038741,23846,4432,"Ireland -  Central Bank of Ireland"
1038716,63717,12916,"Cayman Islands - Cayman Islands Monetary Authority"
1038716,17711,3582,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1038716,17714,3589,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1040817,66123,13519,"Cayman Islands - Cayman Islands Monetary Authority"
1040817,176086,117644,"United Kingdom - Financial Conduct Authority"
1040817,176086,117644,"Ireland -  Central Bank of Ireland"
1040817,176086,117644,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1040817,176086,117644,"Netherlands - The Netherlands Authority for the Financial Markets"
1040817,176086,117644,"Canada - New Brunswick Securities Commission"
1040817,66112,13516,"Cayman Islands - Cayman Islands Monetary Authority"
1040817,73954,40364,"United Kingdom - Financial Conduct Authority"
1040817,73954,40364,"Ireland -  Central Bank of Ireland"
1040817,73954,40364,"Norway - The Banking, Insurance and Securities Commission"
1040817,73954,40364,"Sweden - Swedish Financial Supervisory Authority"
1040817,73954,40364,"Netherlands - The Netherlands Authority for the Financial Markets"
1041173,13187,2827,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1042134,55610,10985,"Cayman Islands - Cayman Islands Monetary Authority"
1042134,57717,11601,"Cayman Islands - Cayman Islands Monetary Authority"
1030825,55098,12798,"Sweden - Swedish Financial Supervisory Authority"
1030825,55098,12798,"Netherlands - The Netherlands Authority for the Financial Markets"
1030825,55098,12798,"United Kingdom - Financial Conduct Authority"
1030825,55098,12798,"Finland - Financial Supervision Authority"
1030825,55098,12798,"Bermuda - Bermuda Monetary Authority"
1030825,32724,6011,"Singapore - Monetary Authority of Singapore"
1030825,32724,6011,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1030825,32724,6011,"Netherlands - The Netherlands Authority for the Financial Markets"
1030825,32724,6011,"United Kingdom - Financial Conduct Authority"
1030825,32724,6011,"Sweden - Swedish Financial Supervisory Authority"
1025199,49080,11792,"Netherlands - The Netherlands Authority for the Financial Markets"
1019674,29347,5345,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1028172,24430,4513,"Other - CAYMAN ISLANDS MONITORY AUTHORITY (CIMA)"
1028172,24524,4752,"Other - CAYMAN ISLANDS REGISTRAR OF COMPANIES (EXEMPTED)"
1034477,42004,7679,"Other - CAYMAN ISLANDS: CAYMAN ISLANDS MONETARY AUTHORITY"
1034477,42533,7703,"Other - CAYMAN ISLANDS / CAYMAN ISLANDS MONETARY AUTHORITY"
1033972,57043,11588,"Cayman Islands - Cayman Islands Monetary Authority"
1034731,7470,2039,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1038057,167597,115877,"Cayman Islands - Cayman Islands Monetary Authority"
1035855,179150,118166,"Cayman Islands - Cayman Islands Monetary Authority"
1042259,35477,14205,"Cayman Islands - Cayman Islands Monetary Authority"
1042259,35477,14207,"Cayman Islands - Cayman Islands Monetary Authority"
1042259,35477,14208,"Cayman Islands - Cayman Islands Monetary Authority"
1042259,35477,14209,"Cayman Islands - Cayman Islands Monetary Authority"
1040134,61692,12490,"Cayman Islands - Cayman Islands Monetary Authority"
1028200,3257,117194,"Cayman Islands - Cayman Islands Monetary Authority"
1028200,3256,117195,"Cayman Islands - Cayman Islands Monetary Authority"
1029320,35198,12539,"Cayman Islands - Cayman Islands Monetary Authority"
1029320,35170,12564,"Cayman Islands - Cayman Islands Monetary Authority"
1010249,177287,117833,"Cayman Islands - Cayman Islands Monetary Authority"
1029486,24723,4585,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1030688,167340,115839,"Cayman Islands - Cayman Islands Monetary Authority"
1030688,167346,115840,"Cayman Islands - Cayman Islands Monetary Authority"
1030688,167352,115841,"Cayman Islands - Cayman Islands Monetary Authority"
1037965,65626,39365,"Cayman Islands - Cayman Islands Monetary Authority"
1037965,25344,4735,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037965,25905,4769,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1037965,176461,117730,"Cayman Islands - Cayman Islands Monetary Authority"
1037965,179321,118193,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1039277,49508,9133,"Other - THE CAYMAN ISLANDS MONETARY AUTHORITY"
1038318,1810,1110,"Cayman Islands - Cayman Islands Monetary Authority"
1040010,3899,9243,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040010,3899,9244,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040010,8028,2125,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040010,8002,6492,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040010,8002,6493,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040010,3899,6503,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1040010,3899,6504,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1041139,26523,5396,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041139,26528,5401,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041139,56779,11271,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041139,26504,5403,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1041139,26551,5407,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1030825,56987,11340,"Netherlands - The Netherlands Authority for the Financial Markets"
1030825,56987,11340,"Cayman Islands - Cayman Islands Monetary Authority"
1030825,56987,11340,"Sweden - Swedish Financial Supervisory Authority"
1030825,56987,11340,"United Kingdom - Financial Conduct Authority"
1030825,56987,11340,"Finland - Financial Supervision Authority"
1036510,8280,2172,"Other - CAYMAN ISLAND MONETARY AUTHORITY"
