"FilingID","Full Legal Name","CIK Number"
593232,"EATON VANCE CORP.",350797
593257,"WELLS FARGO AND COMPANY",105598
593264,"EATON VANCE CORP.",350797
590006,"LEGG MASON, INC.",704051
593236,"THE CHARLES SCHWAB CORPORATION",316709
593278,"JPMORGAN CHASE & CO.",19617
593285,"JPMORGAN CHASE & CO.",19617
593289,"JPMORGAN CHASE & CO.",19617
593298,"JPMORGAN CHASE & CO.",19617
593304,"JPMORGAN CHASE & CO.",19617
593347,"WELLS FARGO AND COMPANY",105598
589043,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
593365,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
591495,"JPMORGAN CHASE & CO.",19617
593270,"CBRE GROUP, INC.",1138118
593263,"CBRE GROUP, INC.",1138118
592318,"ING GROEP NV",1039765
593156,"NATIONAL HOLDINGS CORPORATION",1023844
592590,"UMPQUA HOLDINGS CORP",1077771
593598,"BERTHEL FISHER & COMPANY FINANCIAL SERVICES, INC",8016222
593692,"WELLS FARGO AND COMPANY",105598
590421,"MORGAN STANLEY",895421
590421,"CITIGROUP INC.",831001
593725,"WELLS FARGO AND COMPANY",105598
588754,"KEYCORP",91576
592329,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
592329,"AXA EQUITABLE LIFE INSURANCE CO.",727920
593785,"AON CORPORATION",315293
590432,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
593809,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
590113,"LADENBURG THALMANN FINANCIAL SERVICES, INC.",1029730
593825,"LADENBURG THALMANN FINANCIAL SERVICES, INC.",1029730
593808,"THE BLACKSTONE GROUP L.P.",1393818
593822,"THE BLACKSTONE GROUP L.P.",1393818
593890,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
593902,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
593279,"PRESERVATION TRUST ADVISORS, LLC",1502000
593802,"SLM CORPORATION",1032033
593958,"PRESERVATION TRUST ADVISORS, LLC",1502000
592580,"LADENBURG THALMANN FINANCIAL SERVICES, INC",1029730
593230,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
593717,"MARSH & MCLENNAN COMPANIES, INC.",62709
590361,"LADENBURG THALMANN FINANCIAL SERVICES INC",1029730
590980,"LADENBURG THALMANN FINANCIAL SERVICES INC.",1029730
593991,"KEYCORP",91576
593950,"WADDELL & REED FINANCIAL, INC.",1052100
589312,"THE CHARLES SCHWAB CORPORATION",316709
593967,"ING GROEP N.V.",1039765
591808,"INVESTORS CAPITAL HOLDINGS, LTD.",1001871
594088,"DST SYSTEMS, INC.",714603
594164,"MERRILL LYNCH & CO., INC.",65100
594164,"BANK OF AMERICA CORPORATION",70858
594118,"WELLS FARGO & COMPANY",740906
593031,"LINCOLN NATIONAL CORPORATION",59558
589825,"AMEGY BANK NATIONAL ASSOCIATION",1033476
589825,"ZIONS BANCORPORATION",109380
590507,"CITY NATIONAL CORPORATION",201461
594361,"HSBC HOLDINGS PLC",1089113
593973,"BNP PARIBAS",310732
594574,"CREDIT SUISSE AG",1053092
594369,"JPMORGAN CHASE & CO.",19617
594379,"JPMORGAN CHASE & CO.",19617
594376,"JPMORGAN CHASE & CO.",19617
594371,"JPMORGAN CHASE & CO.",19617
594381,"JPMORGAN CHASE & CO.",19617
594646,"DEUTSCHE BANK AG",948046
592301,"HSBC HOLDINGS PLC",1089113
591998,"LENDINGCLUB CORPORATION",1409970
594655,"BNP PARIBAS",310732
594703,"MORGAN STANLEY",895421
594703,"CITIGROUP INC.",831001
594337,"USAA CAPITOL CORPORATION",847940
594337,"UNITED SERVICES AUTOMOBILE ASSOCIATION",1021249
594789,"PROVIDENT NEW YORK BANCORP",1070154
594779,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
594132,"SPROTT INC.",1512920
594884,"SPROTT INC.",1512920
589555,"CREDIT SUISSE GROUP AG",1159510
595128,"CREDIT SUISSE AG",1053092
595137,"BNP PARIBAS",310732
592813,"N/A",1
595023,"BANK OF NEW YORK MELLON CORPORATION",1390777
595194,"N/A",1
595123,"WADDELL & REED FINANCIAL, INC.",1052100
595064,"CITIGROUP INC.",831001
589179,"AFFILIATED MANAGERS GROUP, INC.",1004434
595223,"MARSH & MCLENNAN COMPANIES, INC.",62709
595256,"WELLS FARGO AND COMPANY",105598
595266,"MORGAN STANLEY",895421
595266,"CITIGROUP INC.",831001
594177,"PIPER JAFFRAY COMPANIES",1230245
593051,"AMERICAN FINANCIAL GROUP, INC.",1042046
595480,"DEUTSCHE BANK AG",948046
595263,"GAMCO INVESTORS, INC.",1060349
593379,"THE SAVANNAH BANCORP, INC.",860519
590406,"LEHMAN BROTHERS HOLDINGS INC.",806085
595766,"WELLS FARGO AND COMPANY",105598
595945,"WELLS FARGO AND COMPANY",105598
596010,"MERRILL LYNCH & CO., INC.",65100
596010,"BANK OF AMERICA CORPORATION",70858
595155,"GAMCO INVESTORS, INC.",1060349
596032,"H & R BLOCK, INC.",12659
596053,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
593546,"STIFEL FINANCIAL CORP.",720672
589583,"INVESCO LTD",914208
596302,"*CANADIAN IMPERIAL BANK OF COMMERCE",16847
596309,"CANADIAN IMPERIAL BANK OF COMMERCE",16847
596227,"MANULIFE FINANCIAL CORPORATION",1086888
596323,"MANULIFE FINANCIAL CORPORATION",1086888
590798,"LPL INVESTMENT HOLDINGS INC.",1397911
596378,"LPL INVESTMENT HOLDINGS INC.",1397911
596382,"LPL INVESTMENT HOLDINGS INC.",1397911
596147,"BB&T CORPORATION",92230
595949,"WESTWOOD HOLDINGS GROUP, INC.",1165002
596532,"MERRILL LYNCH & CO., INC.",65100
596532,"BANK OF AMERICA CORPORATION",70858
596456,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
596278,"LEGG MASON, INC.",704051
592974,"WELLS FARGO & COMPANY",72971
596598,"LEGG MASON, INC.",704051
596595,"JOHN HANCOCK LIFE INSURANCE CO. (U.S.A.)",1073894
596595,"MANUFACTURERS LIFE INSURANCE COMPANY",928047
596595,"JOHN HANCOCK LIFE INSURANCE CO. (U.S.A.)",1073894
596595,"MANULIFE FINANCIAL CORPORATION",1086888
596628,"JOHN HANCOCK LIFE INSURANCE CO. (U.S.A.)",1073894
596628,"MANUFACTURERS LIFE INSURANCE COMPANY",928047
596628,"JOHN HANCOCK LIFE INSURANCE CO. (U.S.A.)",1073894
596628,"MANULIFE FINANCIAL CORPORATION",1086888
596635,"LEGG MASON, INC.",704051
596688,"WELLS FARGO & COMPANY",105598
596691,"WELLS FARGO & COMPANY",105598
596523,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
595815,"U.S. BANCORP",36104
596758,"U.S. BANCORP",36104
595630,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
596778,"J.P. MORGAN CHASE & CO.",19617
596728,"BANK OF NEW YORK MELLON CORPORATION",1390777
596780,"J.P. MORGAN CHASE & CO.",19617
596853,"DEUTSCHE BANK AG",948046
596739,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
596944,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
592620,"INVESCO LTD.",914208
596777,"BEACON AQUISITION PARTNERS",73556102
596877,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
597094,"BANK OF NEW YORK MELLON CORPORATION",1390777
593632,"CAPITAL ONE FINANCIAL CORP",927628
597095,"LINCOLN NATIONAL CORPORATION",59558
595584,"ROYAL BANK OF CANADA",1000275
594642,"MVC CAPITAL INC.",1099941
596907,"ENVESTNET, INC.",1337619
597182,"STIFEL FINANCIAL CORP.",720672
597242,"LINCOLN NATIONAL CORPORATION",59558
596238,"THE MCGRAW-HILL COMPANIES, INC.",64040
597271,"THE MCGRAW-HILL COMPANIES, INC.",64040
597355,"LPL INVESTMENT HOLDINGS INC.",1397911
591072,"T. ROWE PRICE GROUP, INC.",1113169
597414,"STIFEL FINANCIAL CORP.",720672
597408,"MERRILL LYNCH & CO., INC.",65100
597408,"BANK OF AMERICA CORPORATION",70858
597433,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
