"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
"1004248","176626","67671","Y","PINNACLE INVESTMENTS, LLC","801-67860","142910","SYRACUSE","New York","United States","N"
"1004248","53085","26845","Y","PINNACLE INVESTMENTS, LLC","801-67860","142910","SYRACUSE","New York","United States","N"
"1007707","65964","51599","N","THOMAS CAPITAL GROUP, INC.","8-50986","45180","GIG HARBOR","Washington","United States","N"
"1007707","65940","51598","N","THOMAS CAPITAL GROUP, INC.","8-50986","45180","GIG HARBOR","Washington","United States","N"
"1010972","175984","67168","Y","GOLDMAN SACHS (SINGAPORE) PTE.","","","SINGAPORE","","Singapore","N"
"1010972","175984","67167","Y","GOLDMAN SACHS (ASIA) L.L.C.","","","HONG KONG","","Hong kong","N"
"1010972","175984","67171","Y","GOLDMAN SACHS ASSET MANAGEMENT, L.P.","801-37591","107738","NEW YORK","New York","United States","N"
"1010972","175996","67184","Y","GOLDMAN SACHS (SINGAPORE) PTE.","","","SINGAPORE","","Singapore","N"
"1010972","175996","67183","Y","GOLDMAN SACHS (ASIA) L.L.C.","","","HONG KONG","","Hong kong","N"
"1010972","175996","67182","Y","GOLDMAN SACHS ASSET MANAGEMENT, L.P.","801-37591","107738","NEW YORK","New York","United States","N"
"1010972","175996","67181","Y","GOLDMAN SACHS JAPAN CO., LTD.","","","TOKYO","","Japan","N"
"1010972","175996","67180","Y","GOLDMAN SACHS PARIS INC. ET CIE","","","PARIS","","France","N"
"1010972","175996","67179","Y","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","N"
"1010972","175996","67178","Y","GOLDMAN SACHS AUSTRALIA PTY LTD","","","MELBOURNE","","Australia","N"
"1010972","175996","67177","Y","GOLDMAN SACHS ASSET MANAGEMENT INTERNATIONAL","801-38157","107715","LONDON","","United Kingdom","N"
"1010972","175984","67174","Y","GOLDMAN SACHS JAPAN CO., LTD.","","","TOKYO","","Japan","N"
"1010972","175984","67175","Y","GOLDMAN SACHS PARIS INC. ET CIE","","","PARIS","","France","N"
"1010972","175984","67173","Y","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","N"
