"FilingID","Full Legal Name","CIK Number"
"1012297","CULLEN/FROST BANKERS, INC.","39263"
"1011565","PRUDENTIAL PLC","1116578"
"1008450","CBRE GROUP, INC.","1138118"
"1009970","MEDLEY MANAGEMENT INC.","1611110"
"1012282","TIPTREE FINANCIAL INC.","1393726"
"1010813","THE GOLDMAN SACHS GROUP,INC.","886982"
"1010779","ROYAL BANK OF CANADA","1000275"
"1012469","SUNTRUST BANKS, INC.","750556"
"1012903","BANK OF AMERICA CORPORATION","70858"
"1012916","BANK OF AMERICA CORPORATION","70858"
"1011370","JONES LANG LASALLE INCORPORATED","1037956"
"1012963","PRUDENTIAL PLC","1116578"
"1013054","VOYA FINANCIAL INC.","1535929"
"1013143","KEYCORP","91576"
"1013267","WADDELL & REED FINANCIAL INC.","1052100"
"1013271","WADDELL & REED FINANCIAL INC.","1052100"
"1013344","EATON VANCE CORP.","350797"
"1011381","EATON VANCE CORP","350797"
"1012551","BNP PARIBAS S.A.","310732"
"1012551","NATIONAL BANK OF CANADA","926171"
"1013142","J.P. MORGAN CHASE & CO.","19617"
"1004465","THE BANK OF NEW YORK MELLON CORPORATION","1390777"
"1013556","E.I. DUPONT DENEMOURS & CO","30554"
"1013636","BB&T CORPORATION","92230"
"1013695","FINANCIAL INSTITUTIONS, INC.","862831"
"1013702","AFFILIATED MANAGERS GROUP, INC.","1004434"
"1013740","THE BLACKSTONE GROUP L.P.","1393818"
"1013910","CREDIT SUISSE (USA), INC.","29646"
"1013933","CREDIT SUISSE (USA), INC.","29646"
"1013822","BNP PARIBAS S.A.","310732"
"1013822","NATIONAL BANK OF CANADA","926171"
"1014316","LPL FINANCIAL HOLDINGS INC.","1397911"
"1014306","PROVIDENT FINANCIAL SERVICES, INC.","1178970"
"1013555","INVESCO LTD","914208"
"1013560","KCAP FINANCIAL, INC.","1372807"
"1014603","JANUS CAPITAL GROUP INC.","1065865"
"1014796","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"1014232","XL GROUP PLC","875159"
"1015122","INVESCO LTD","914208"
"994047","HUNTINGTON BANCSHARES INC","49196"
"1015238","WADDELL & REED FINANCIAL INC.","1052100"
"1015412","THE BLACKSTONE GROUP L.P.","1393818"
"1015192","COLUMBIA PACIFIC ADVISORS, LLC","80167453"
"1015466","M&T BANK CORPORATION","36270"
"1015483","M&T BANK CORPORATION","36270"
"1015185","MANULIFE FINANCIAL CORPORATION","1086888"
"1015504","PRINCIPAL FINANCIAL GROUP, INC.","1126328"
"1015240","MORGAN STANLEY","895421"
"1010448","LEGG MASON, INC.","704051"
"1012393","NORDEA INVESTMENT MANAGEMENT AB","1218210"
"1015931","NORDEA INVESTMENT MANAGEMENT AB","1218210"
"1016130","WELLS FARGO & COMPANY","105598"
"1016167","WELLS FARGO & COMPANY","105598"
"1016171","GOLDMAN SACHS GROUP, INC.","886982"
"1016232","THE GOLDMAN SACHS GROUP, INC.","886982"
"1016315","HORACE MANN EDUCATORS CORPORATION","850141"
"1016325","UMB FINANCIAL CORPORATION","101382"
"1016443","ROYAL BANK OF CANADA","1000275"
"1016334","THE BLACKSTONE GROUP L.P.","1393818"
"1016417","SUNTRUST BANKS, INC.","750556"
"1016806","VOYA FINANCIAL, INC.","1535929"
"1016808","VOYA FINANCIAL, INC.","1535929"
"1016416","AMERIPRISE FINANCIAL, INC","820027"
"1016661","ROYAL BANK OF CANADA","1000275"
"1016950","LPL FINANCIAL HOLDINGS INC.","1397911"
"1016412","INVESCO LTD","914208"
"1017010","S&P GLOBAL INC.","64040"
"1017067","HRG GROUP INC.","109177"
"1015847","HRG GROUP INC.","109177"
"1017142","THE BLACKSTONE GROUP L.P.","1393818"
