"FilingID","Representation 1","Representation 2"
19154,"Y","Y"
19408,"Y","Y"
18697,"Y","Y"
19427,"Y","Y"
16348,"Y","Y"
18684,"Y","Y"
19630,"Y","Y"
19633,"Y","Y"
19170,"Y","Y"
19572,"Y","Y"
19647,"Y","Y"
19393,"Y","Y"
19573,"Y","Y"
12993,"Y","Y"
19684,"Y","Y"
19798,"Y","Y"
19884,"Y","Y"
15552,"Y","Y"
19865,"Y","Y"
19559,"Y","Y"
18534,"Y","Y"
19673,"Y","Y"
20123,"Y","Y"
19879,"Y","Y"
20215,"Y","Y"
20403,"Y","Y"
19804,"Y","Y"
18921,"Y","Y"
20668,"Y","Y"
18380,"Y","Y"
19385,"Y","Y"
20268,"Y","Y"
19104,"Y","Y"
20881,"Y","Y"
20857,"Y","Y"
20972,"Y","Y"
20987,"Y","Y"
20673,"Y","Y"
21057,"Y","Y"
20691,"Y","Y"
21122,"Y","Y"
19844,"Y","Y"
17687,"Y","Y"
21142,"Y","Y"
20323,"Y","Y"
21182,"Y","Y"
19374,"Y","Y"
21262,"Y","Y"
21320,"Y","Y"
21321,"Y","Y"
21008,"Y","Y"
18244,"Y","Y"
19883,"Y","Y"
13463,"Y","Y"
21717,"Y","Y"
21202,"Y","Y"
21515,"Y","Y"
18569,"Y","Y"
20504,"Y","Y"
22041,"Y","Y"
19361,"Y","Y"
22540,"Y","Y"
22690,"Y","Y"
22472,"Y","Y"
22379,"Y","Y"
18303,"Y","Y"
22574,"Y","Y"
22570,"Y","Y"
22569,"Y","Y"
22921,"Y","Y"
22874,"Y","Y"
22977,"Y","Y"
20054,"Y","Y"
20351,"Y","Y"
23309,"Y","Y"
19263,"Y","Y"
23958,"Y","Y"
23937,"Y","Y"
23340,"Y","Y"
23801,"Y","Y"
24138,"Y","Y"
24141,"Y","Y"
21098,"Y","Y"
24276,"Y","Y"
24333,"Y","Y"
22707,"Y","Y"
24452,"Y","Y"
24347,"Y","Y"
21555,"Y","Y"
23756,"Y","Y"
24558,"Y","Y"
24559,"Y","Y"
24591,"Y","Y"
22793,"Y","Y"
24582,"Y","Y"
24518,"Y","Y"
23173,"Y","Y"
24680,"Y","Y"
16641,"Y","Y"
24037,"Y","Y"
25073,"Y","Y"
22786,"Y","Y"
21144,"Y","Y"
23132,"Y","Y"
22094,"Y","Y"
25315,"Y","Y"
25386,"Y","Y"
24746,"Y","Y"
25341,"Y","Y"
22845,"Y","Y"
25525,"Y","Y"
25648,"Y","Y"
24012,"Y","Y"
25220,"Y","Y"
24393,"Y","Y"
25204,"Y","Y"
26376,"Y","Y"
26489,"Y","Y"
25463,"Y","Y"
23311,"Y","Y"
23250,"Y","Y"
26961,"Y","Y"
26911,"Y","Y"
27057,"Y","Y"
26450,"Y","Y"
26348,"Y","Y"
27530,"Y","Y"
26362,"Y","Y"
22251,"Y","Y"
27191,"Y","Y"
25352,"Y","Y"
24664,"Y","Y"
27792,"Y","Y"
28054,"Y","Y"
22830,"Y","Y"
28589,"Y","Y"
28598,"Y","Y"
28630,"Y","Y"
27912,"Y","Y"
26933,"Y","Y"
28706,"Y","Y"
28879,"Y","Y"
28929,"Y","Y"
27774,"Y","Y"
25676,"Y","Y"
29081,"Y","Y"
28871,"Y","Y"
28674,"Y","Y"
28979,"Y","Y"
29234,"Y","Y"
28292,"Y","Y"
29639,"Y","Y"
29645,"Y","Y"
29726,"Y","Y"
29744,"Y","Y"
25134,"Y","Y"
29461,"Y","Y"
30063,"Y","Y"
30005,"Y","Y"
29074,"Y","Y"
29920,"Y","Y"
30318,"Y","Y"
30029,"Y","Y"
26748,"Y","Y"
28626,"Y","Y"
31130,"Y","Y"
30721,"Y","Y"
30131,"Y","Y"
22613,"Y","Y"
31219,"Y","Y"
30991,"Y","Y"
31110,"Y","Y"
31152,"Y","Y"
31190,"Y","Y"
31288,"Y","Y"
31868,"Y","Y"
31997,"Y","Y"
30458,"Y","Y"
31408,"Y","Y"
32173,"Y","Y"
27250,"Y","Y"
32279,"Y","Y"
24706,"Y","Y"
28611,"Y","Y"
31638,"Y","Y"
28534,"Y","Y"
32604,"Y","Y"
31459,"Y","Y"
32717,"Y","Y"
32777,"Y","Y"
32999,"Y","Y"
33181,"Y","Y"
31690,"Y","Y"
33537,"Y","Y"
33698,"Y","Y"
33904,"Y","Y"
32978,"Y","Y"
33962,"Y","Y"
33953,"Y","Y"
26211,"Y","Y"
33810,"Y","Y"
34305,"Y","Y"
33226,"Y","Y"
34329,"Y","Y"
33217,"Y","Y"
34271,"Y","Y"
34592,"Y","Y"
34340,"Y","Y"
33512,"Y","Y"
34705,"Y","Y"
34325,"Y","Y"
31167,"Y","Y"
34294,"Y","Y"
35339,"Y","Y"
34051,"Y","Y"
35388,"Y","Y"
35384,"Y","Y"
35413,"Y","Y"
35303,"Y","Y"
35662,"Y","Y"
32518,"Y","Y"
35962,"Y","Y"
36085,"Y","Y"
36179,"Y","Y"
36264,"Y","Y"
36336,"Y","Y"
29546,"Y","Y"
35169,"Y","Y"
36585,"Y","Y"
36688,"Y","Y"
36894,"Y","Y"
27135,"Y","Y"
37024,"Y","Y"
32786,"Y","Y"
35769,"Y","Y"
35635,"Y","Y"
35101,"Y","Y"
36700,"Y","Y"
34580,"Y","Y"
36218,"Y","Y"
37389,"Y","Y"
33371,"Y","Y"
37584,"Y","Y"
37314,"Y","Y"
33228,"Y","Y"
38061,"Y","Y"
38431,"Y","Y"
38146,"Y","Y"
37718,"Y","Y"
33419,"Y","Y"
38261,"Y","Y"
32709,"Y","Y"
39119,"Y","Y"
36150,"Y","Y"
37913,"Y","Y"
36691,"Y","Y"
34992,"Y","Y"
39572,"Y","Y"
39629,"Y","Y"
39668,"Y","Y"
39691,"Y","Y"
40051,"Y","Y"
40006,"Y","Y"
40633,"Y","Y"
35139,"Y","Y"
40775,"Y","Y"
34359,"Y","Y"
41065,"Y","Y"
41079,"Y","Y"
39529,"Y","Y"
40801,"Y","Y"
40921,"Y","Y"
38692,"Y","Y"
19038,"Y","Y"
41851,"Y","Y"
38173,"Y","Y"
34280,"Y","Y"
36953,"Y","Y"
41596,"Y","Y"
39739,"Y","Y"
36861,"Y","Y"
42588,"Y","Y"
37236,"Y","Y"
40315,"Y","Y"
42735,"Y","Y"
35108,"Y","Y"
41686,"Y","Y"
41679,"Y","Y"
43104,"Y","Y"
42749,"Y","Y"
42993,"Y","Y"
42517,"Y","Y"
42950,"Y","Y"
43070,"Y","Y"
43318,"Y","Y"
42168,"Y","Y"
25209,"Y","Y"
43224,"Y","Y"
43353,"Y","Y"
13885,"Y","Y"
42732,"Y","Y"
43680,"Y","Y"
43732,"Y","Y"
43763,"Y","Y"
43326,"Y","Y"
43782,"Y","Y"
43934,"Y","Y"
43632,"Y","Y"
43214,"Y","Y"
44030,"Y","Y"
43806,"Y","Y"
44059,"Y","Y"
42679,"Y","Y"
44096,"Y","Y"
43660,"Y","Y"
39161,"Y","Y"
41350,"Y","Y"
44284,"Y","Y"
44091,"Y","Y"
37423,"Y","Y"
43954,"Y","Y"
44865,"Y","Y"
44248,"Y","Y"
44150,"Y","Y"
45052,"Y","Y"
45172,"Y","Y"
45210,"Y","Y"
44077,"Y","Y"
43100,"Y","Y"
45484,"Y","Y"
44183,"Y","Y"
43749,"Y","Y"
45763,"Y","Y"
45490,"Y","Y"
45832,"Y","Y"
44195,"Y","Y"
45926,"Y","Y"
43245,"Y","Y"
46201,"Y","Y"
46205,"Y","Y"
46210,"Y","Y"
46110,"Y","Y"
46327,"Y","Y"
46332,"Y","Y"
46021,"Y","Y"
46094,"Y","Y"
45847,"Y","Y"
46449,"Y","Y"
44104,"Y","Y"
46457,"Y","Y"
46689,"Y","Y"
45421,"Y","Y"
46834,"Y","Y"
44750,"Y","Y"
46843,"Y","Y"
46849,"Y","Y"
46882,"Y","Y"
44958,"Y","Y"
47001,"Y","Y"
46999,"Y","Y"
47019,"Y","Y"
47016,"Y","Y"
45664,"Y","Y"
47195,"Y","Y"
47098,"Y","Y"
47259,"Y","Y"
47262,"Y","Y"
47275,"Y","Y"
46655,"Y","Y"
47300,"Y","Y"
47127,"Y","Y"
47014,"Y","Y"
47471,"Y","Y"
47100,"Y","Y"
46973,"Y","Y"
47580,"Y","Y"
47364,"Y","Y"
47647,"Y","Y"
47670,"Y","Y"
46638,"Y","Y"
47237,"Y","Y"
47739,"Y","Y"
46323,"Y","Y"
47057,"Y","Y"
44510,"Y","Y"
48019,"Y","Y"
44251,"Y","Y"
48122,"Y","Y"
48191,"Y","Y"
47520,"Y","Y"
48261,"Y","Y"
48347,"Y","Y"
48166,"Y","Y"
47159,"Y","Y"
48535,"Y","Y"
48596,"Y","Y"
47386,"Y","Y"
48677,"Y","Y"
48827,"Y","Y"
46527,"Y","Y"
48846,"Y","Y"
48295,"Y","Y"
44986,"Y","Y"
48631,"Y","Y"
48960,"Y","Y"
46542,"Y","Y"
46222,"Y","Y"
47541,"Y","Y"
48155,"Y","Y"
48955,"Y","Y"
49337,"Y","Y"
47945,"Y","Y"
48016,"Y","Y"
47718,"Y","Y"
49529,"Y","Y"
48331,"Y","Y"
48446,"Y","Y"
49184,"Y","Y"
49173,"Y","Y"
49732,"Y","Y"
44801,"Y","Y"
49915,"Y","Y"
48698,"Y","Y"
50251,"Y","Y"
48696,"Y","Y"
50010,"Y","Y"
47764,"Y","Y"
50438,"Y","Y"
48367,"Y","Y"
50873,"Y","Y"
50796,"Y","Y"
50524,"Y","Y"
50727,"Y","Y"
50353,"Y","Y"
50164,"Y","Y"
50769,"Y","Y"
48109,"Y","Y"
49255,"Y","Y"
51123,"Y","Y"
51298,"Y","Y"
50440,"Y","Y"
51364,"Y","Y"
50767,"Y","Y"
51308,"Y","Y"
51423,"Y","Y"
51213,"Y","Y"
48961,"Y","Y"
49726,"Y","Y"
51504,"Y","Y"
51502,"Y","Y"
51553,"Y","Y"
49332,"Y","Y"
51127,"Y","Y"
51137,"Y","Y"
50248,"Y","Y"
51654,"Y","Y"
51735,"Y","Y"
51809,"Y","Y"
51742,"Y","Y"
51838,"Y","Y"
51851,"Y","Y"
48504,"Y","Y"
51932,"Y","Y"
51969,"Y","Y"
51571,"Y","Y"
52023,"Y","Y"
52159,"Y","Y"
52176,"Y","Y"
52204,"Y","Y"
51990,"Y","Y"
51487,"Y","Y"
51927,"Y","Y"
52187,"Y","Y"
52063,"Y","Y"
51884,"Y","Y"
52337,"Y","Y"
52156,"Y","Y"
52356,"Y","Y"
52292,"Y","Y"
52730,"Y","Y"
52769,"Y","Y"
52101,"Y","Y"
52065,"Y","Y"
52015,"Y","Y"
49510,"Y","Y"
52563,"Y","Y"
52741,"Y","Y"
48243,"Y","Y"
52055,"Y","Y"
51167,"Y","Y"
52559,"Y","Y"
52943,"Y","Y"
52921,"Y","Y"
44122,"Y","Y"
53094,"Y","Y"
52934,"Y","Y"
53148,"Y","Y"
53108,"Y","Y"
53157,"Y","Y"
53208,"Y","Y"
52840,"Y","Y"
51939,"Y","Y"
43854,"Y","Y"
53092,"Y","Y"
53525,"Y","Y"
52511,"Y","Y"
53641,"Y","Y"
53649,"Y","Y"
53677,"Y","Y"
53726,"Y","Y"
52926,"Y","Y"
53836,"Y","Y"
53956,"Y","Y"
53527,"Y","Y"
53634,"Y","Y"
53365,"Y","Y"
50924,"Y","Y"
53951,"Y","Y"
54150,"Y","Y"
54195,"Y","Y"
54165,"Y","Y"
54238,"Y","Y"
54331,"Y","Y"
54507,"Y","Y"
51637,"Y","Y"
53898,"Y","Y"
53838,"Y","Y"
54723,"Y","Y"
54179,"Y","Y"
54781,"Y","Y"
49572,"Y","Y"
54816,"Y","Y"
54417,"Y","Y"
54136,"Y","Y"
54861,"Y","Y"
54897,"Y","Y"
54235,"Y","Y"
54107,"Y","Y"
55091,"Y","Y"
54599,"Y","Y"
55196,"Y","Y"
55228,"Y","Y"
55241,"Y","Y"
53603,"Y","Y"
55116,"Y","Y"
55437,"Y","Y"
55418,"Y","Y"
55019,"Y","Y"
55634,"Y","Y"
55637,"Y","Y"
55648,"Y","Y"
55638,"Y","Y"
55690,"Y","Y"
55431,"Y","Y"
55719,"Y","Y"
55946,"Y","Y"
55875,"Y","Y"
56020,"Y","Y"
53331,"Y","Y"
55678,"Y","Y"
55543,"Y","Y"
56294,"Y","Y"
55155,"Y","Y"
56534,"Y","Y"
56659,"Y","Y"
56379,"Y","Y"
56483,"Y","Y"
54421,"Y","Y"
56971,"Y","Y"
57091,"Y","Y"
57084,"Y","Y"
55433,"Y","Y"
57187,"Y","Y"
57192,"Y","Y"
56997,"Y","Y"
57466,"Y","Y"
55572,"Y","Y"
57772,"Y","Y"
57779,"Y","Y"
57885,"Y","Y"
54014,"Y","Y"
57736,"Y","Y"
51250,"Y","Y"
57157,"Y","Y"
57605,"Y","Y"
58141,"Y","Y"
55398,"Y","Y"
58062,"Y","Y"
57761,"Y","Y"
58306,"Y","Y"
58294,"Y","Y"
58376,"Y","Y"
58437,"Y","Y"
58395,"Y","Y"
58442,"Y","Y"
58260,"Y","Y"
58042,"Y","Y"
58604,"Y","Y"
58630,"Y","Y"
58153,"Y","Y"
58011,"Y","Y"
58638,"Y","Y"
58360,"Y","Y"
57636,"Y","Y"
58879,"Y","Y"
58225,"Y","Y"
58499,"Y","Y"
59061,"Y","Y"
59179,"Y","Y"
59185,"Y","Y"
59273,"Y","Y"
59381,"Y","Y"
57107,"Y","Y"
52815,"Y","Y"
58663,"Y","Y"
59510,"Y","Y"
56086,"Y","Y"
59647,"Y","Y"
59688,"Y","Y"
59767,"Y","Y"
59872,"Y","Y"
56983,"Y","Y"
60045,"Y","Y"
59705,"Y","Y"
60210,"Y","Y"
60583,"Y","Y"
58328,"Y","Y"
60582,"Y","Y"
58955,"Y","Y"
60722,"Y","Y"
58529,"Y","Y"
59567,"Y","Y"
60995,"Y","Y"
58353,"Y","Y"
59643,"Y","Y"
61222,"Y","Y"
61228,"Y","Y"
59008,"Y","Y"
61216,"Y","Y"
61411,"Y","Y"
60871,"Y","Y"
61531,"Y","Y"
58691,"Y","Y"
60390,"Y","Y"
58070,"Y","Y"
61185,"Y","Y"
61668,"Y","Y"
61851,"Y","Y"
60584,"Y","Y"
56929,"Y","Y"
60120,"Y","Y"
60012,"Y","Y"
52723,"Y","Y"
61928,"Y","Y"
62036,"Y","Y"
62138,"Y","Y"
61857,"Y","Y"
62173,"Y","Y"
62151,"Y","Y"
62162,"Y","Y"
61125,"Y","Y"
