"FilingID","Full Legal Name","CIK Number"
"964657","NORDEA INVESTMENT MANAGEMENT AB","1218210"
"965047","NORDEA INVESTMENT MANAGEMENT AB","1218210"
"965044","PRINCIPAL FINANCIAL GROUP, INC.","1126328"
"965048","NORDEA INVESTMENT MANAGEMENT AB","1218210"
"963910","UMB FINANCIAL CORPORATION","101382"
"963012","UMPQUA HOLDINGS CORP","1077771"
"951121","WELLS FARGO AND COMPANY","105598"
"965095","RCS CAPITAL CORPORATION","1568832"
"965020","AMERICAN INTERNATIONAL GROUP","5272"
"965143","MORGAN STANLEY","895421"
"961316","PIPER JAFFRAY COMPANIES","724683"
"964702","TIPTREE FINANCIAL INC.","1393726"
"965141","AMERICAN INTERNATIONAL GROUP","5272"
"965250","PIPER JAFFRAY COMPANIES","1230245"
"965258","OM ASSET MANAGEMENT PLC","1611702"
"965285","MB FINANCIAL, INC.","113981"
"965315","M&T BANK CORPORATION","36270"
"964870","PRINCIPAL FINANCIAL GROUP, INC","1126328"
"965009","AFFILIATED MANAGERS GROUP, INC.","1004434"
"965078","AFFILIATED MANAGERS GROUP, INC.","1004434"
"965363","MB FINANCIAL, INC.","113981"
"964877","MANULIFE FINANCIAL CORPORATION","1086888"
"965419","MARSH & MCLENNAN COMPANIES, INC.","62709"
"965460","HORACE MANN EDUCATORS CORPORATION","850141"
"964895","T. ROWE PRICE GROUP, INC.","1113169"
"964901","T. ROWE PRICE GROUP, INC.","1113169"
"964902","T. ROWE PRICE GROUP, INC.","1113169"
"964903","T. ROWE PRICE GROUP, INC.","1113169"
"964947","APOLLO GLOBAL MANAGEMENT, LLC","1411494"
"964904","T. ROWE PRICE GROUP, INC.","1113169"
"964905","T. ROWE PRICE GROUP, INC.","1113169"
"946249","PROVIDENT FINANCIAL SERVICES, INC.","1178970"
"964822","AFFILIATED MANAGERS GROUP, INC.","1004434"
"964867","METLIFE, INC.","109921"
"965633","COMMUNITY BANK SYSTEM, INC","723188"
"965686","THE CHARLES SCHWAB CORPORATION","316709"
"965848","LEGG MASON, INC","704051"
"965767","AFFILIATED MANAGERS GROUP, INC.","1004434"
"965892","LINCOLN NATIONAL CORPORATION","59558"
"964178","MORNINGSTAR, INC.","1146203"
"965607","STIFEL FINANCIAL CORP","720672"
"965951","LINCOLN NATIONAL CORPORATION","59558"
"966015","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"966103","BANK OF AMERICA CORPORATION","70858"
"966187","RCS CAPITAL CORPORATION","1568832"
"956045","ENVESTNET, INC.","1337619"
"965636","PRUDENTIAL FINANCIAL, INC.","1137774"
"966237","WELLS FARGO AND COMPANY","105598"
"966232","WELLS FARGO AND COMPANY","105598"
"966176","MANULIFE FINANCIAL CORPORATION","1086888"
"965846","MARSH & MCLENNAN COMPANIES, INC.","62709"
"966451","DEUTSCHE BANK AG","948046"
"962490","DEUTSCHE BANK AG","948046"
"966414","MARSH & MCLENNAN COMPANIES, INC.","62709"
"963730","THE CARLYLE GROUP L.P.","1527166"
"966566","THE BLACKSTONE GROUP L.P.","1393818"
"966779","BANK OF AMERICA CORPORATION","70858"
"963144","AEGON NV","895233"
"966758","THE GOLDMAN SACHS GROUP, INC.","886982"
"957695","STATE STREET CORPORATION","93751"
"966957","MARSH & MCLENNAN COMPANIES, INC.","62709"
"965360","THE JONES FINANCIAL COMPANIES, L.L.L.P.","815917"
"966910","GENERAL MOTORS COMPANY","1467858"
"963973","PRUDENTIAL FINANCIAL, INC.","1137774"
"967220","CITIGROUP INC.","831001"
"967228","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"966754","THE BLACKSTONE GROUP L.P.","1393818"
"963086","J.P. MORGAN CHASE & CO.","19617"
"967451","PRIMERICA, INC.","147592"
"966196","PRUDENTIAL FINANCIAL INC.","1137774"
"967498","THE BLACKSTONE GROUP L.P.","1393818"
"967382","THE HARTFORD FINANCIAL SERVICES GROUP, INC.","874766"
"967606","J.P. MORGAN CHASE & CO.","19617"
"967660","BANK OF AMERICA CORPORATION","70858"
"965597","VIRTUS INVESTMENT PARTNERS, INC.","883237"
"954874","MORGAN STANLEY","89542"
"967737","WELLS FARGO & COMPANY","72971"
"967726","OPPENHEIMER HOLDINGS INC.","791963"
"967386","AFFILIATED MANAGERS GROUP, INC.","1004434"
"967852","BANCO SANTANDER, S.A.","891478"
"967857","THE CARLYLE GROUP, L.P.","1527166"
"967888","THE CARLYLE GROUP, L.P.","1527166"
"967893","MARSH & MCLENNAN COMPANIES, INC.","62709"
"966191","PRUDENTIAL FINANCIAL, INC.","1137774"
"966679","PRUDENTIAL FINANCIAL INC","1137774"
"967943","THE BANK OF NEW YORK MELLON CORPORATION","1390777"
"968025","LADENBURG THALMANN FINANCIAL SERVICES, INC.","1029730"
"968041","BERTHEL FISHER & COMPANY FINANCIAL SERVICES, INC","8016222"
"966544","PRUDENTIAL FINANCIAL, INC.","1137774"
"968075","UWHARRIE CAPITAL CORP","898171"
"967600","PRUDENTIAL FINANCIAL INC","1137774"
"967428","BB&T CORP","92230"
"967936","HFA HOLDINGS LTD","1424483"
"968233","LPL FINANCIAL HOLDINGS INC.","1397911"
"968232","LPL FINANCIAL HOLDINGS INC.","1397911"
"968366","INVESCO LTD","914208"
"967747","PRUDENTIAL PLC","1116578"
"968051","FORTRESS INVESTMENT GROUP LLC","1380393"
"968533","DIAMOND HILL INVESTMENT GROUP, INC.","909108"
"968647","VOYA FINANCIAL, INC.","1535929"
"967779","CAPITAL ONE FINANCIAL CORPORATION","927628"
"968776","BANK OF AMERICA CORPORATION","70858"
"966644","PRUDENTIAL FINANCIAL, INC","1137774"
"968921","THE GOLDMAN SACHS GROUP, INC.","886982"
"967944","INVESCO LTD.","914208"
"969001","MORGAN STANLEY","895421"
"969024","MB FINANCIAL, INC.","1139812"
"969095","LPL FINANCIAL HOLDINGS INC.","1397911"
"968819","WRIGHT INVESTORS' SERVICE HOLDINGS, INC.","1279715"
"968824","WRIGHT INVESTORS' SERVICE HOLDINGS, INC.","1279715"
"969124","WRIGHT INVESTORS' SERVICE HOLDINGS, INC.","1279715"
"969167","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"969175","J.P. MORGAN CHASE & CO.","19617"
"969057","PRUDENTIAL PLC","1116578"
"969248","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"969275","LADENBURG THALMANN FINANCIAL SERVICES INC.","1029730"
"968157","PRUDENTIAL FINANCIAL, INC.","1137774"
"969398","J.P. MORGAN CHASE & CO.","19617"
"966023","PAULSON CAPITAL CORPORATION","704159"
"969900","BLUCORA, INC.","1068875"
"969965","PRINCIPAL FINANCIAL GROUP, INC.","1126328"
"960385","SUMITOMO MITSUI TRUST BANK LTD","1046017"
"965588","SUNTRUST BANKS, INC.","750556"
"969352","PRUDENTIAL FINANCIAL, INC.","1137774"
"969279","KB FINANCIAL GROUP INC.","53445"
"970015","PROVIDENT FINANCIAL SERVICES, INC.","1178970"
"970585","AEGON N.V.","769218"
"968916","PRUDENTIAL PLC","1116578"
"970999","WELLS FARGO AND COMPANY","105598"
"971010","CREDIT SUISSE (USA), INC.","29646"
"971127","BANK OF MONTREAL","927971"
"971169","AMERICAN INTERNATIONAL GROUP INC.","5272"
"971240","AMERIPRISE FINANCIAL, INC.","820027"
"971363","MANULIFE FINANCIAL CORPORATION","1086888"
"971669","BANCO SANTANDER, S.A.","891478"
"971771","MANULIFE FINANCIAL CORPORATION","1086888"
"965778","THE TORONTO-DOMINION BANK","947263"
"972004","NOMURA HOLDINGS, INC. (FORMERLY THE NOMURA SECURITIES CO., LTD.)","1163653"
"972247","THE BLACKSTONE GROUP L.P.","1393818"
"966740","AFFILIATED MANAGERS GROUP, INC.","1004434"
"972719","BANK OF MONTREAL","9622"
"967261","THE BLACKSTONE GROUP L.P.","1393818"
"972670","DEUTSCHE BANK AG","948046"
"972859","THE BLACKSTONE GROUP L.P.","1393818"
"972577","CITIZENS FINANCIAL GROUP","759944"
"972886","BROOKFIELD ASSET MANAGEMENT INC.","1001085"
"955590","JPMORGAN CHASE & CO.","19617"
"969703","AMERICAN INTERNATIONAL GROUP, INC","5272"
"973167","LEGG MASON, INC","704051"
"963963","PRINCIPAL FINANCIAL GROUP, INC.","1126328"
"973432","STATE STREET CORPORATION","93751"
"956365","ROYAL BANK OF CANADA","1000275"
"973479","MORNINGSTAR, INC.","1289419"
"971413","ROYAL BANK OF CANADA","1000275"
"968811","MARSH & MCLENNAN COMPANIES, INC.","62709"
"973017","HP INC.","47217"
"961186","BANK OF MONTREAL","927971"
"971076","ROYAL BANK OF CANADA","1000275"
"973512","DEUTSCHE BANK AG","948046"
"972674","AMERICAN INTERNATIONAL GROUP","5272"
"965583","BANK OF MONTREAL","927971"
"973645","PAULSON CAPITAL CORPORATION","704159"
"973633","REGIONS FINANCIAL CORPORATION","1281761"
"970990","NORTHSTAR ASSET MANAGEMENT GROUP INC.","1597503"
"973686","TORONTO-DOMINION BANK","947263"
"968293","EATON VANCE CORP.","350797"
"968371","THE CARLYLE GROUP L.P.","1527166"
"973788","TORONTO-DOMINION BANK","947263"
"973812","RCS CAPITAL HOLDINGS, LLC","1568832"
"973792","EATON VANCE CORP.","350797"
"971251","EATON VANCE CORP.","350797"
"973863","WELLS FARGO & COMPANY","105598"
"971248","CANADIAN IMPERIAL BANK OF COMMERCE","16847"
"973805","BIMINI CAPITAL MANAGEMENT, INC.","1275477"
"972400","EATON VANCE CORP.","350797"
"974025","WADDELL & REED FINANCIAL, INC.","1052100"
"974241","ZIONS BANCORPORATION","109380"
"974230","WELLS FARGO AND COMPANY","105598"
"974323","LADENBURG THALMANN FINANCIAL SERVICES, INC","1029730"
"974330","FINANCIAL ENGINES, INC.","1430592"
"974547","SUMITOMO MITSUI TRUST BANK LTD","1046017"
"973945","FINANCIAL ENGINES, INC.","1430592"
"973943","FINANCIAL ENGINES, INC.","1430592"
"966042","FRANKLIN RESOURCES, INC.","38777"
"974983","WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY","1140536"
"975054","FINANCIAL ENGINES, INC.","1430592"
"975061","FINANCIAL ENGINES, INC.","1430592"
"975078","WELLS FARGO & COMPANY","740906"
