"FilingID","Country/Authority"
1028422,"Switzerland - Swiss Financial Market Supervisory Authority"
1025283,"Switzerland - Swiss Financial Market Supervisory Authority"
1033223,"United Kingdom - Financial Conduct Authority"
1033223,"India - Securities and Exchange Board of India"
1033223,"Other: KINGDOM OF SAUDI ARABIA - CAPITAL MARKET AUTHORITY"
1027758,"Australia - Australian Securities and Investments Commission"
1033218,"Cayman Islands - Cayman Islands Monetary Authority"
1033827,"United Kingdom - Financial Conduct Authority"
1035564,"United Kingdom - Financial Conduct Authority"
1036361,"Mauritius, Republic of - Financial Services Commission"
1036361,"Singapore - Monetary Authority of Singapore"
1041938,"United Kingdom - Financial Conduct Authority"
1041938,"Finland - Financial Supervision Authority"
1041938,"Sweden - Swedish Financial Supervisory Authority"
1041938,"Netherlands - The Netherlands Authority for the Financial Markets"
1041975,"United Kingdom - Financial Conduct Authority"
1041975,"Canada - Ontario Securities Commission"
1042049,"Canada - Manitoba Securities Commission"
1042049,"Canada - Alberta Securities Commission"
1042049,"Canada - British Columbia Securities Commission"
1042049,"Canada - Ontario Securities Commission"
1042049,"Canada - Saskatchewan Financial Services Commission"
1028714,"Canada - Ontario Securities Commission"
1036605,"Canada - Alberta Securities Commission"
1036605,"Canada - Ontario Securities Commission"
1036605,"Other: DUBAI - DUBAI MERCANTILE EXCHANGE"
1036605,"Canada - Quebec, Financial Markets Authority"
1036605,"Canada - British Columbia Securities Commission"
1036272,"Other: ITAU USA ASSET MANAGEMENT INC. IS EXEMPT FROM REGISTERING AS AN INVESTMENT ADVISER IN CANADA"
1036272,"Ireland -  Central Bank of Ireland"
1032505,"India - Securities and Exchange Board of India"
1038996,"Canada - Ontario Securities Commission"
1038996,"Ireland -  Central Bank of Ireland"
1041176,"United Kingdom - Financial Conduct Authority"
1041176,"Australia - Australian Securities and Investments Commission"
1041176,"Denmark - Danish Financial Supervisory Authority"
1041176,"Sweden - Swedish Financial Supervisory Authority"
1041176,"Finland - Financial Supervision Authority"
1041176,"Netherlands - The Netherlands Authority for the Financial Markets"
1041176,"Liechtenstein - Financial Market Authority"
1041176,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1041176,"France - Financial Markets Authority"
1041176,"Germany - German Federal Financial Supervisory Agency"
1041176,"Austria - Financial Market Authority"
1041176,"Belgium - Banking, Finance and Insurance Commission"
1041176,"Other: FINANTSINSPEKTSIOON, ESTONIA"
1041176,"Italy - National Stock Exchange Commission"
1041176,"Spain - National Commission of Securities Markets"
1041176,"Ireland -  Central Bank of Ireland"
1041176,"Portugal - Securities Market Commission"
1041176,"Norway - The Banking, Insurance and Securities Commission"
1041176,"Dubai - Dubai Financial Services Authority"
1029742,"Ireland -  Central Bank of Ireland"
1029742,"Canada - Alberta Securities Commission"
1029742,"Canada - British Columbia Securities Commission"
1029742,"Canada - Manitoba Securities Commission"
1029742,"Canada - Quebec, Financial Markets Authority"
1029742,"Canada - Ontario Securities Commission"
1030647,"United Kingdom - Financial Conduct Authority"
1020876,"Other: SOUTH KOREA - FINANCIAL SERVICES COMMISSION/FINANCIAL SUPERVISORY SERVICE"
1020876,"India - Securities and Exchange Board of India"
1030841,"Other: COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS"
1030841,"Other: GOVERNMENT OF GUAM - DEPARTMENT OF REVENUE AND TAXATION"
1033954,"Canada - Ontario Securities Commission"
1034544,"Australia - Australian Securities and Investments Commission"
1034544,"Canada - Quebec, Financial Markets Authority"
1034544,"Canada - Ontario Securities Commission"
1034544,"Canada - Alberta Securities Commission"
1034544,"Canada - British Columbia Securities Commission"
1034544,"Canada - Manitoba Securities Commission"
1034544,"Canada - New Brunswick Securities Commission"
1034544,"Canada - Nova Scotia Securities Commission"
1032901,"United Kingdom - Financial Conduct Authority"
1038764,"Ireland -  Central Bank of Ireland"
1038732,"Canada - Ontario Securities Commission"
1038732,"Singapore - Monetary Authority of Singapore"
1038433,"United Kingdom - Financial Conduct Authority"
1038554,"Sweden - Swedish Financial Supervisory Authority"
1039842,"Germany - German Federal Financial Supervisory Agency"
1039842,"Ireland -  Central Bank of Ireland"
1039842,"United Kingdom - Financial Conduct Authority"
1039842,"Sweden - Swedish Financial Supervisory Authority"
1039842,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1039842,"Other: NORWAY- FINANCIAL SUPERVISORY AUTHORITY"
1040039,"Canada - Ontario Securities Commission"
1040039,"Ireland -  Central Bank of Ireland"
1040039,"Australia - Australian Securities and Investments Commission"
1040039,"Canada - Quebec, Financial Markets Authority"
1040039,"Canada - British Columbia Securities Commission"
1040039,"Canada - Alberta Securities Commission"
1040039,"Netherlands - The Netherlands Authority for the Financial Markets"
1040039,"Other: IRELAND - IRISH FINANCIAL SERVICES REGULATORY AUTHORITY"
1040039,"Canada - Nova Scotia Securities Commission"
1040039,"Canada - Manitoba Securities Commission"
1040039,"Other: CANADA - NEW BRUNSWICK FINANCIAL AND CONSUMER SERVICES COMMISSION"
1040039,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1041919,"Other: VEREIN ZUR QUALITATSSICHERUNG VON FINANZDIENSTLEISTUNGEN (VQF) ADDRESS: BAARERSTRASSE 112 6300 ZUG, SWITZERLAND"
1042025,"India - Securities and Exchange Board of India"
1041744,"Canada - Quebec, Financial Markets Authority"
1041744,"Canada - Ontario Securities Commission"
1041744,"Canada - British Columbia Securities Commission"
1041744,"Canada - Nova Scotia Securities Commission"
1041744,"Canada - New Brunswick Securities Commission"
1041744,"Canada - Alberta Securities Commission"
1041430,"Hong Kong - Securities and Futures Commission"
1042866,"Ireland -  Central Bank of Ireland"
1034334,"Hong Kong - Securities and Futures Commission"
1035635,"United Kingdom - Financial Conduct Authority"
1034278,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1038867,"Canada - British Columbia Securities Commission"
1038867,"Canada - Alberta Securities Commission"
1038867,"Canada - Manitoba Securities Commission"
1038867,"Canada - New Brunswick Securities Commission"
1038867,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1038867,"Canada - Northwest Territories, Office of the Registrar of Securities"
1038867,"Canada - Nova Scotia Securities Commission"
1038867,"Canada - Nunavut, Registrar of Securities"
1038867,"Canada - Ontario Securities Commission"
1038867,"Canada - Prince Edward Island, Securities Office"
1038867,"Canada - Quebec, Financial Markets Authority"
1038867,"Canada - Saskatchewan Financial Services Commission"
1038867,"Canada - Yukon Territories, Registrar of Securities"
1038895,"Ireland -  Central Bank of Ireland"
1037791,"Canada - Ontario Securities Commission"
1037791,"Canada - Quebec, Financial Markets Authority"
1029933,"Australia - Australian Securities and Investments Commission"
1030052,"Ireland -  Central Bank of Ireland"
1030052,"China, People's Republic of - China Securities Regulatory Commission "
1034567,"Bermuda - Bermuda Monetary Authority"
1040677,"Switzerland - Swiss Financial Market Supervisory Authority"
1042329,"United Kingdom - Financial Conduct Authority"
1022819,"Canada - Nova Scotia Securities Commission"
1022819,"United Kingdom - Financial Conduct Authority"
1022819,"Canada - Ontario Securities Commission"
1022819,"Canada - Quebec, Financial Markets Authority"
1022819,"Ireland -  Central Bank of Ireland"
1022819,"Australia - Australian Securities and Investments Commission"
1031151,"Japan - Financial Services Agency"
1033166,"South Africa - Financial Services Board"
1033166,"United Kingdom - Financial Conduct Authority"
1030232,"Ireland -  Central Bank of Ireland"
1036332,"United Kingdom - Financial Conduct Authority"
1036332,"Ireland -  Central Bank of Ireland"
1041157,"Australia - Australian Securities and Investments Commission"
1041157,"Ireland -  Central Bank of Ireland"
1041157,"India - Securities and Exchange Board of India"
1041157,"China, People's Republic of - China Securities Regulatory Commission "
1041157,"Canada - Ontario Securities Commission"
1041157,"Canada - British Columbia Securities Commission"
1041157,"United Kingdom - Financial Conduct Authority"
1041157,"Canada - Alberta Securities Commission"
1041157,"Canada - Quebec, Financial Markets Authority"
1041157,"Other: KOREA FINANCIAL SERVICES COMMISSION"
1041157,"Canada - Nova Scotia Securities Commission"
1041157,"South Africa - Financial Services Board"
1043081,"Hong Kong - Securities and Futures Commission"
1043081,"United Kingdom - Financial Conduct Authority"
1043087,"United Kingdom - Financial Conduct Authority"
