"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
"975922","4011","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"975922","4145","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"975922","4011","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"975922","125733","UBS SECURITIES LLC","8-22651","7654","NEW YORK","New York","United States","Y"
"975922","169743","INTERACTIVE BROKERS","","","CHICAGO","Illinois","United States","Y"
"1003434","48787","JEFFERIES LLC","8-15074","2347","SAN FRANCISCO","California","United States","Y"
"1003434","36686","JEFFERIES LLC","8-15074","2347","SAN FRANCISCO","California","United States","Y"
"989875","6529","WELLS FARGO ADVISORS, LLC","8-37180","19616","GREEWICH","Connecticut","United States","Y"
"989875","6529","CREDIT SUISSE SECURITIES (USA) LLC","8-422","816","NEW YORK","New York","United States","Y"
"967888","20868","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"967888","20868","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
"967888","20868","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"967888","20868","J.P. MORGAN CHASE BANK N.A.","","","NEW YORK","New York","United States","Y"
"967888","20868","J.P. MORGAN CLEARING CORP.","8-43724","28432","BROOKLYN","New York","United States","Y"
"967888","20868","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"967888","20383","GOLDMAN SACHS INTERNATIONAL","","","LONDON","","United Kingdom","Y"
"967888","20383","PERSHING LLC","8-17574","7560","JERSEY CITY","New Jersey","United States","Y"
"967888","20383","BNP PARIBAS PRIME BROKERAGE, INC.","8-40490","24962","NEW YORK","New York","United States","Y"
"967888","20383","J.P. MORGAN CHASE BANK N.A.","","","NEW YORK","New York","United States","Y"
"967888","20383","J.P. MORGAN CLEARING CORP.","8-43724","28432","BROOKLYN","New York","United States","Y"
"967888","20383","GOLDMAN, SACHS & CO.","8-129","361","NEW YORK","New York","United States","Y"
"969088","167318","TD AMERITRADE, INC.","8-23395","7870","FORT WORTH","Texas","United States","Y"
"964239","56439","COWEN PRIME SERVICES LLC","8-68531","153397","GARDEN CITY","New York","United States","N"
