"FilingID","Representation 1","Representation 2"
"967810","Y","Y"
"972680","Y","Y"
"976324","Y","Y"
"989156","Y","Y"
"990202","Y","Y"
"987117","Y","Y"
"1000796","Y","Y"
"996976","Y","Y"
"977392","Y","Y"
"982727","Y","Y"
"983070","Y","Y"
"983086","Y","Y"
"989392","Y","Y"
"976195","Y","Y"
"954320","Y","Y"
"984692","Y","Y"
"980861","Y","Y"
"981058","Y","Y"
"987667","Y","Y"
"988322","Y","Y"
"987358","Y","Y"
"973368","Y","Y"
"998884","Y","Y"
"999393","Y","Y"
"998349","Y","Y"
"980429","Y","Y"
"968054","Y","Y"
"969163","Y","Y"
"979657","Y","Y"
"986011","Y","Y"
"1006270","Y","Y"
"1006489","Y","Y"
"1006279","Y","Y"
"1002847","Y","Y"
"1006069","Y","Y"
"1006274","Y","Y"
"986134","Y","Y"
"999468","Y","Y"
"997196","Y","Y"
"994397","Y","Y"
"992541","Y","Y"
"992830","Y","Y"
"992839","Y","Y"
"992819","Y","Y"
"994026","Y","Y"
