"FilingID","ReferenceID","Form D File Number"
"1004248","53085","021-181510"
"1007660","53983","021-8888"
"1007660","45205","021-61872"
"1007660","40933","021-999999999"
"1007660","15411","021-98603"
"1007660","54060","021-8888"
"1007660","54062","021-8888"
"1007707","7579","021-80742"
"1007707","65940","021-221419"
"1007707","65964","021-221419"
"1007707","7628","021-167637"
"1007707","7624","021-167637"
"1007707","7614","021-137625"
"1007707","7609","021-137612"
"1007707","7586","021-100475"
"1007745","43651","021-145499"
"1007833","68944","021-210249"
"1007833","5087","021-154954"
"1011188","11829","021-120119"
"1011188","11851","021-142503"
"1011188","11511","021-102388"
"1010972","175956","021-999999"
"1010972","175851","021-999999"
"1010972","176180","021-116285"
"1010972","176143","021-88698"
"1010972","176062","021-123561"
"1010972","176051","021-108692"
"1010972","176109","021-99408"
"1010972","175976","021-139249"
"1010972","175962","021-999999"
"1010972","175965","021-999999"
"1010972","175944","021-104408"
"1010972","175952","021-117617"
"1010972","175931","021-104408"
"1010972","176117","021-88668"
"1010972","175916","021-98729"
"1010972","175915","021-98731"
"1010972","175892","021-75438"
"1010972","175887","021-178964"
"1010972","175884","021-178965"
"1010972","176153","021-85528"
"1010972","176054","021-121117"
"1010972","176132","021-88697"
"1010972","176099","021-104102"
"1010972","175896","021-75437"
"1010972","176013","021-999999"
"1010972","176020","021-108692"
"1010972","175935","021-999999"
"1010972","175991","021-123897"
"1010972","175875","021-999999"
"1010972","175986","021-93921"
"1010972","176000","021-244600"
"1010972","175849","021-999999"
"1010972","175979","021-233131"
"1010972","175912","021-98730"
"1010972","176425","021-210437"
"1010972","176420","021-210415"
"1010972","176416","021-109597"
"1010972","176320","021-110409"
"1010972","176293","021-110410"
"1010972","176209","021-110408"
"1010972","176427","021-91639"
"1010972","176414","021-109493"
"1010972","176336","021-222007"
"1010972","176325","021-222006"
"1010972","176201","021-101491"
"1010972","175794","021-999999"
"1010972","175801","021-161750"
"1010972","175762","021-194377"
"1010972","175807","021-85954"
"1010972","175837","021-119983"
"1010972","175771","021-87206"
"1010972","175813","021-111827"
"1010972","176092","021-104592"
"1010972","176044","021-108304"
"1010972","176034","021-108304"
"1010972","175880","021-178965"
"1010972","175983","021-93899"
"1010972","175977","021-93920"
"1010972","175966","021-999999"
"1010972","175923","021-77482"
"1010972","175920","021-77478"
"1010972","175910","021-98707"
"1010972","175903","021-101492"
"1010682","167718","021-251270"
"1010912","65623","021-225488"
"1010912","65623","021-225492"
"1010912","65623","021-246544"
"1009713","177278","021-205228"
"1009713","177277","021-99188"
"1009713","172141","021-23518"
"1009713","60116","021-205226"
"1009713","60113","021-205227"
"1009713","60112","021-205225"
"1009713","2923","021-98431"
"1009713","2926","021-99190"
"1009713","2927","021-99191"
"1009713","2921","021-7071347"
"1009713","72576","021-226784"
"1008343","8306","021-156331"
"1011214","175956","021-999999"
"1011214","175851","021-999999"
"1011214","176180","021-116285"
"1011214","176143","021-88698"
"1011214","176062","021-123561"
"1011214","176051","021-108692"
"1011214","176109","021-99408"
"1011214","175976","021-139249"
"1011214","175962","021-999999"
"1011214","175965","021-999999"
"1011214","175944","021-104408"
"1011214","175952","021-117617"
"1011214","175931","021-104408"
"1011214","176117","021-88668"
"1011214","175916","021-98729"
"1011214","175915","021-98731"
"1011214","175892","021-75438"
"1011214","175887","021-178964"
"1011214","175884","021-178965"
"1011214","176153","021-85528"
"1011214","176054","021-121117"
"1011214","176132","021-88697"
"1011214","176099","021-104102"
"1011214","175896","021-75437"
"1011214","176013","021-999999"
"1011214","176020","021-108692"
"1011214","175935","021-999999"
"1011214","175991","021-123897"
"1011214","175875","021-999999"
"1011214","175986","021-93921"
"1011214","176000","021-244600"
"1011214","175849","021-999999"
"1011214","175979","021-233131"
"1011214","175912","021-98730"
"1011214","176425","021-210437"
"1011214","176420","021-210415"
"1011214","176416","021-109597"
"1011214","176320","021-110409"
"1011214","176293","021-110410"
"1011214","176209","021-110408"
"1011214","176427","021-91639"
"1011214","176414","021-109493"
"1011214","176336","021-222007"
"1011214","176325","021-222006"
"1011214","176201","021-101491"
"1011214","175794","021-999999"
"1011214","175801","021-161750"
"1011214","175762","021-194377"
"1011214","175807","021-85954"
"1011214","175837","021-119983"
"1011214","175771","021-87206"
"1011214","175813","021-111827"
"1011214","176092","021-104592"
"1011214","176044","021-108304"
"1011214","176034","021-108304"
"1011214","175880","021-178965"
"1011214","175983","021-93899"
"1011214","175977","021-93920"
"1011214","175966","021-999999"
"1011214","175923","021-77482"
"1011214","175920","021-77478"
"1011214","175910","021-98707"
"1011214","175903","021-101492"
"1011079","14917","021-131016"
"1011079","14917","021-136012"
"1011283","11970","021-99999"
"1011283","12003","021-170857"
"1011283","9589","021-108682"
"1011283","11878","021-60459"
"1011283","59590","021-210758"
"1011283","173517","021-253195"
"1015920","173915","021-242201"
"1015920","11422","021-175010"
"1015920","53234","021-180848"
"1015920","11411","021-169711"
"1015920","11388","021-107705"
"1015920","11379","021-98989"
"1015920","11358","021-62158"
"1015980","15297","021-156851"
"1015980","14924","021-129358"
"1015980","14924","021-239292"
"1015980","5834","021-129358"
"1015980","5834","021-239292"
"1015980","15264","021-156818"
"1015980","17531","021-46476"
"1015980","17531","021-46649"
"1015901","170064","021-251780"
"1015901","167590","021-90246"
"1015901","167591","021-90244"
"1015901","167588","021-204566"
"1015901","43847","021-89269"
"1015901","167592","021-120180"
"1012229","173297","021-243538"
"1012229","63828","021-199977"
"1012229","63832","021-170453"
"1012229","21839","021-157172"
"1012229","63829","021-196454"
"1012229","63833","021-174671"
"1012229","177426","021-261566"
"1012229","177427","021-261569"
"1016073","55791","021-206272"
"1016073","55791","021-202979"
"1016097","61611","021-196607"
"1016097","47318","021-159768"
"1016097","47315","021-159768"
"1016097","47317","021-159768"
"1016097","47316","021-159768"
"1017133","173897","021-228732"
"1017133","173892","021-228733"
"1017133","173642","021-236820"
"1016677","52559","021-193476"
"1017612","6457","021-64285"
"1017612","6456","021-88992"
"1017612","6450","021-94605"
"1017612","6349","021-61876"
"1017612","6421","021-93048"
"1017612","6462","021-121918"
"1017612","6380","021-61888"
"1017612","71247","021-218187"
"1017612","71245","021-218197"
"1017612","6452","021-9999999999"
"1017612","6383","021-61920"
"1017612","6466","021-156499"
"1017884","7474","021-129144"
"1017884","7474","021-118385"
"1017884","7469","021-56654"
"1017884","7468","021-151397"
"1017884","7467","021-134041"
"1017884","7460","021-122182"
"1017884","7455","021-134038"
"1017884","7454","021-121297"
"1017884","7441","021-134042"
"1017884","7440","021-142788"
"1017884","46858","021-178890"
"1017884","50737","021-166573"
"1017884","53870","021-188772"
"1017884","7475","021-200369"
"1017884","46858","021-178889"
"1017884","9621","021-157330"
"1017884","45774","021-130597"
"1017884","45774","021-130598"
"1017884","7440","021-142789"
"1017884","9621","021-157331"
"1017884","63968","021-215436"
"1017884","120619","021-236749"
"1017884","63968","021-215435"
"1017884","63967","021-213779"
"1017884","67712","021-208969"
"1017884","67712","021-232033"
"1017884","67716","021-227639"
"1017884","57864","021-232033"
"1017884","120624","021-239670"
"1017884","120623","021-239677"
"1017884","120685","021-236748"
"1017884","120613","021-235993"
"1017884","120620","021-236751"
"1017884","120618","021-236030"
"1017884","166488","021-242689"
"1017884","67720","021-229956"
"1017884","67718","021-229944"
"1017884","66344","021-225339"
"1017884","63966","021-211507"
"1017884","56505","021-201424"
"1017884","56445","021-200948"
"1017884","55502","021-196100"
"1017884","53872","021-193413"
"1017884","45691","021-179242"
"1017884","27601","021-130598"
"1017884","9639","021-144288"
"1017884","9633","021-90125"
"1017884","65101","021-217146"
