"FilingID","Representation 1","Representation 2"
"998682","Y","Y"
"1017211","Y","Y"
"1007412","Y","Y"
"1007753","Y","Y"
"1007530","Y","Y"
"1007954","Y","Y"
"1016059","Y","Y"
"1015540","Y","Y"
"1015575","Y","Y"
"1020229","Y","Y"
"1016738","Y","Y"
"1017079","Y","Y"
"1023719","Y","Y"
"1023594","Y","Y"
"1025738","Y","Y"
"1025468","Y","Y"
"1025731","Y","Y"
"1025869","Y","Y"
"1025928","Y","Y"
"1026942","Y","Y"
"1026684","Y","Y"
"1026623","Y","Y"
"1027015","Y","Y"
"1011962","Y","Y"
"1014446","Y","Y"
"1022330","Y","Y"
"1021911","Y","Y"
"1021891","Y","Y"
"1016282","Y","Y"
"1016483","Y","Y"
"1016658","Y","Y"
"1016606","Y","Y"
"1023206","Y","Y"
"1027172","Y","Y"
"1006723","Y","Y"
"1006754","Y","Y"
"1008486","Y","Y"
"1025340","Y","Y"
"1025356","Y","Y"
"1013734","Y","Y"
"1017995","Y","Y"
"1021037","Y","Y"
"1020628","Y","Y"
"1019719","Y","Y"
"1011091","Y","Y"
"1011112","Y","Y"
"1011312","Y","Y"
"1009218","Y","Y"
"1017656","Y","Y"
"1023240","Y","Y"
"1020203","Y","Y"
"1023038","Y","Y"
"1020545","Y","Y"
"1020308","Y","Y"
"1007409","Y","Y"
"1002846","Y","Y"
"1023268","Y","Y"
"1016399","Y","Y"
"1008760","Y","Y"
"1008585","Y","Y"
"1024879","Y","Y"
"1007832","Y","Y"
"1015875","Y","Y"
"1015908","Y","Y"
"1021770","Y","Y"
"1012345","Y","Y"
"1015175","Y","Y"
"1018416","Y","Y"
"1011430","Y","Y"
"1021508","Y","Y"
"1021028","Y","Y"
"1022343","Y","Y"
"1023113","Y","Y"
"1025266","Y","Y"
"1023631","Y","Y"
"1025419","Y","Y"
"991371","Y","Y"
"1020201","Y","Y"
"1008228","Y","Y"
"1022065","Y","Y"
"1022076","Y","Y"
"1012329","Y","Y"
"1018042","Y","Y"
"1017748","Y","Y"
"1020158","Y","Y"
"1007426","Y","Y"
"1007967","Y","Y"
"1014105","Y","Y"
"1014504","Y","Y"
"1017953","Y","Y"
"1018141","Y","Y"
"1016378","Y","Y"
"1013393","Y","Y"
"1022552","Y","Y"
"1026479","Y","Y"
"1026519","Y","Y"
"1026504","Y","Y"
"1010566","Y","Y"
"1010591","Y","Y"
"1010327","Y","Y"
"1019033","Y","Y"
"1018718","Y","Y"
"1013153","Y","Y"
"1013397","Y","Y"
"1012902","Y","Y"
"1024436","Y","Y"
"1009449","Y","Y"
"1009579","Y","Y"
"1009952","Y","Y"
"1024738","Y","Y"
"995032","Y","Y"
"1026707","Y","Y"
"991177","Y","Y"
"1014680","Y","Y"
"1015329","Y","Y"
"1023754","Y","Y"
"1024317","Y","Y"
"1017719","Y","Y"
"1025223","Y","Y"
"1022479","Y","Y"
"1026426","Y","Y"
"991221","Y","Y"
"1008560","Y","Y"
"1016488","Y","Y"
"1021955","Y","Y"
"1022976","Y","Y"
"1024221","Y","Y"
"1012374","Y","Y"
"1013176","Y","Y"
"1019442","Y","Y"
"1024571","Y","Y"
"1009229","Y","Y"
"1021716","Y","Y"
"1013940","Y","Y"
"1024677","Y","Y"
"1007763","Y","Y"
"1010514","Y","Y"
"1018401","Y","Y"
"1023898","Y","Y"
"1025355","Y","Y"
"1007656","Y","Y"
"1012542","Y","Y"
"981594","Y","Y"
"1016153","Y","Y"
"1025418","Y","Y"
"997428","Y","Y"
"1009345","Y","Y"
"1017188","Y","Y"
"1024043","Y","Y"
"1015996","Y","Y"
"1017677","Y","Y"
"1018967","Y","Y"
"1023609","Y","Y"
"1008796","Y","Y"
"1011143","Y","Y"
"1011036","Y","Y"
"1008720","Y","Y"
"1009624","Y","Y"
"1013145","Y","Y"
"1015643","Y","Y"
"1015709","Y","Y"
"1016901","Y","Y"
"1017570","Y","Y"
"1009361","Y","Y"
"1012232","Y","Y"
"1018334","Y","Y"
"1024154","Y","Y"
"1021797","Y","Y"
"1015576","Y","Y"
"980426","Y","Y"
"1019108","Y","Y"
"1012931","Y","Y"
"1019873","Y","Y"
"1019890","Y","Y"
"1017392","Y","Y"
"1017361","Y","Y"
"1018643","Y","Y"
"1021348","Y","Y"
"975725","Y","Y"
"1013427","Y","Y"
"1018908","Y","Y"
"1022808","Y","Y"
"1010339","Y","Y"
"998985","Y","Y"
"1009810","Y","Y"
"1012887","Y","Y"
"1013005","Y","Y"
"1013043","Y","Y"
"1015570","Y","Y"
"1018307","Y","Y"
"1022963","Y","Y"
"1024949","Y","Y"
"1024958","Y","Y"
"1007444","Y","Y"
"1017279","Y","Y"
"1010087","Y","Y"
"1014392","Y","Y"
"1017936","Y","Y"
"1017044","Y","Y"
"1019615","Y","Y"
"1015876","Y","Y"
"1019885","Y","Y"
"1020738","Y","Y"
"1020331","Y","Y"
"1021487","Y","Y"
"1021498","Y","Y"
"1022580","Y","Y"
"1019922","Y","Y"
"1018053","Y","Y"
"1022863","Y","Y"
"1023717","Y","Y"
"1021951","Y","Y"
"1023174","Y","Y"
"1023253","Y","Y"
"1022500","Y","Y"
"1023321","Y","Y"
"1023693","Y","Y"
"1023710","Y","Y"
"1023718","Y","Y"
"1008265","Y","Y"
"1014118","Y","Y"
"1017650","Y","Y"
"1009631","Y","Y"
"1019080","Y","Y"
"1017368","Y","Y"
"1021816","Y","Y"
"1027142","Y","Y"
"1012173","Y","Y"
"1017345","Y","Y"
"1018531","Y","Y"
"1017287","Y","Y"
"1018475","Y","Y"
"1022644","Y","Y"
"1023434","Y","Y"
"1022231","Y","Y"
"1021971","Y","Y"
"1016147","Y","Y"
"1017405","Y","Y"
"1017161","Y","Y"
"1018211","Y","Y"
"1009283","Y","Y"
"1018239","Y","Y"
"1021736","Y","Y"
"1018668","Y","Y"
"1020103","Y","Y"
"1016834","Y","Y"
"1023715","Y","Y"
"1025348","Y","Y"
"1007252","Y","Y"
"1016572","Y","Y"
"1016942","Y","Y"
"1016865","Y","Y"
"1019569","Y","Y"
"1022988","Y","Y"
"1023643","Y","Y"
"1024021","Y","Y"
"1010034","Y","Y"
"1014508","Y","Y"
"1016163","Y","Y"
"1016274","Y","Y"
"1016344","Y","Y"
"1016390","Y","Y"
"1021500","Y","Y"
"1011061","Y","Y"
"1002101","Y","Y"
"1012143","Y","Y"
"1015156","Y","Y"
"1012742","Y","Y"
"1018114","Y","Y"
"1024952","Y","Y"
"1026666","Y","Y"
"1017765","Y","Y"
"1017832","Y","Y"
"1022779","Y","Y"
"1024455","Y","Y"
"981873","Y","Y"
"1022734","Y","Y"
"1027285","Y","Y"
"1010180","Y","Y"
"1018056","Y","Y"
"1018886","Y","Y"
"1022735","Y","Y"
"1008881","Y","Y"
"1009226","Y","Y"
"1010253","Y","Y"
"1006091","Y","Y"
"1010764","Y","Y"
"1014582","Y","Y"
"1011332","Y","Y"
"1021492","Y","Y"
"1022653","Y","Y"
"1017960","Y","Y"
"1025426","Y","Y"
"1025478","Y","Y"
"1026312","Y","Y"
"1008608","Y","Y"
"1012005","Y","Y"
"1022289","Y","Y"
"1027231","Y","Y"
"1020898","Y","Y"
"1023993","Y","Y"
"1024295","Y","Y"
"1025108","Y","Y"
"1026022","Y","Y"
"1026050","Y","Y"
