"FilingID","ReferenceID","SubreferenceID","Foreign  
Regulatory Authority"
"887030","8350","12154","Cayman Islands - Cayman Islands Monetary Authority"
"887030","8299","2180","Cayman Islands - Cayman Islands Monetary Authority"
"887030","8342","2182","Cayman Islands - Cayman Islands Monetary Authority"
"887030","8347","12150","Cayman Islands - Cayman Islands Monetary Authority"
"886754","1383","1071","Other  
- CAYMAN ISLANDS/THE CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","1393","1074","Other  
- CAYMAN ISLANDS/THE CAYMAN ISLANDS MONETARY AUTHORITY"
"884255","25121","4701","British Virgin Islands - British Virgin Islands Financial Services Commission"
"884255","25574","4710","British Virgin Islands - British Virgin Islands Financial Services Commission"
"891112","57574","11565","Cayman Islands - Cayman Islands Monetary Authority"
"894902","14019","11289","Cayman Islands - Cayman Islands Monetary Authority"
"894902","14019","11291","Cayman Islands - Cayman Islands Monetary Authority"
"894902","52605","11292","Cayman Islands - Cayman Islands Monetary Authority"
"880457","44408","10018","Cayman Islands - Cayman Islands Stock Exchange Authority"
"881050","25138","7152","Cayman Islands - Cayman Islands Stock Exchange Authority"
"877803","20236","3945","Other  
- CAYMAN ISLANDS MONETARY FUND"
"877803","69628","14247","Other  
- CAYMAN ISLANDS MONETARY FUND"
"895275","43379","7839","Other  
- CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","45534","8187","Other  
- CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","45534","8188","Other  
- CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","1245","1052","Other  
- CAYMAN ISLANDS/THE CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","1371","1065","Other  
- CAYMAN ISLANDS/THE CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","1374","1067","Other  
- CAYMAN ISLANDS/THE CAYMAN ISLANDS MONETARY AUTHORITY"
"886754","1378","1069","Other  
- CAYMAN ISLANDS/THE CAYMAN ISLANDS MONETARY AUTHORITY"
"881052","57679","11597","Cayman Islands - Cayman Islands Monetary Authority"
"883129","68341","13968","Cayman Islands - Cayman Islands Monetary Authority"
"883129","7607","3871","Other  
- CAYMAN ISLAND MONETARY AUTHORITY"
