"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1048906,37586,6969,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1051063,1170,1046,"Cayman Islands - Cayman Islands Monetary Authority"
1052597,55217,117926,"Cayman Islands - Cayman Islands Monetary Authority"
1052597,177870,117924,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,177870,117925,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,166920,117928,"Cayman Islands - Cayman Islands Monetary Authority"
1052597,177871,117927,"Cayman Islands - Cayman Islands Monetary Authority"
1052597,45643,8238,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,45643,8239,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,177872,117929,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,45643,8335,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,55217,10899,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,55217,10902,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,33903,6272,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052597,177872,117930,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1046557,167718,115911,"Cayman Islands - Cayman Islands Monetary Authority"
1049325,67416,13803,"Cayman Islands - Cayman Islands Monetary Authority"
1035661,24874,5610,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1035661,23845,9816,"Cayman Islands - Cayman Islands Monetary Authority"
1035661,64959,117096,"Cayman Islands - Cayman Islands Monetary Authority"
1052814,46741,8466,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1052814,26880,10416,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1052814,66937,13712,"Cayman Islands - Cayman Islands Monetary Authority"
1052814,166567,116617,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1052814,65585,13387,"Cayman Islands - Cayman Islands Monetary Authority"
1052814,26490,4866,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1052814,26375,4838,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052814,26386,4843,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052814,126734,89461,"Cayman Islands - Cayman Islands Monetary Authority"
1052814,56970,11329,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1052814,46673,8443,"Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
1052814,27131,4986,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052814,27131,4987,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052814,25981,4787,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1052814,66925,13702,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1052753,58856,26366,"United Kingdom - Financial Conduct Authority"
1052753,58856,26372,"United Kingdom - Financial Conduct Authority"
1052753,58856,26369,"United Kingdom - Financial Conduct Authority"
1052753,58856,26371,"United Kingdom - Financial Conduct Authority"
1052753,41546,7578,"United Kingdom - Financial Conduct Authority"
1052753,36314,7560,"United Kingdom - Financial Conduct Authority"
1052753,49593,9140,"United Kingdom - Financial Conduct Authority"
1046396,57679,11597,"Cayman Islands - Cayman Islands Monetary Authority"
1047946,180210,118320,"Cayman Islands - Cayman Islands Monetary Authority"
1047946,180210,118321,"Cayman Islands - Cayman Islands Monetary Authority"
1047946,180209,118319,"Cayman Islands - Cayman Islands Monetary Authority"
1057382,169492,116364,"Cayman Islands - Cayman Islands Monetary Authority"
1057897,178888,118114,"Cayman Islands - Cayman Islands Monetary Authority"
1050397,163161,110568,"Ireland -  Central Bank of Ireland"
1050397,167162,115803,"Ireland -  Central Bank of Ireland"
1050397,23846,4432,"Ireland -  Central Bank of Ireland"
1051656,40637,7821,"Cayman Islands - Cayman Islands Monetary Authority"
1051656,41995,7828,"Cayman Islands - Cayman Islands Monetary Authority"
1051656,41995,7830,"Cayman Islands - Cayman Islands Monetary Authority"
1051656,41029,7865,"Cayman Islands - Cayman Islands Monetary Authority"
