"FilingID","Wrap Fee Program","Sponsor"
"875017","MANAGED ACCOUNT PROGRAM","EDWARD JONES"
"875017","PRIVATE MONEY MANAGER","GV FINANCIAL"
"875017","ADVISER'S ACCOUNT PROGRAM","JANNEY MONTGOMERY SCOTT"
"875017","INVESTMENT CONSULTANT SERVICES","LADENBURG THALMANN"
"875017","MANAGER SELECT ACCOUNT","LPL ADVISORS"
"875017","LOCKWOOD SPONSORED PROGRAM","LOCKWOOD ADVISORS, INC."
"875017","CONSULTS","MERRILL LYNCH"
"875017","CES","MORGAN STANLEY SMITH BARNEY LLC"
"875017","FIDUCIARY SERVICES","MORGAN STANLEY SMITH BARNEY LLC"
"875017","PROAM PROGRAM","NBC SECURITIES, INC."
"875017","NPA ASSET MANAGEMENT SEPARATELY MANAGED ACCOUNTS","NPA ASSET MANAGEMENT, LLC"
"875017","OUTSIDE MANAGER PROGRAM (OSM)","RAYMOND JAMES"
"875017","CONSULTING SOLUTIONS","RBC WEALTH MANAGEMENT"
"875017","MANAGED ACCOUNT PROGRAM","RBC WEALTH MANAGEMENT"
"875017","ICS PREFERRED PROGRAM","ROBERT W. BAIRD"
"875017","OPPORTUNITY PROGRAM","STIFEL NICOLAUS"
"875017","ACCESS","UBS FINANCIAL SERVICES"
"875017","STRATEGIC WEALTH PORTFOLIOS","UBS FINANCIAL SERVICES"
"875017","GUIDED MANAGED ASSET PROGRAM","WEDBUSH MORGAN"
"875017","DMA PROGRAM","WELLS FARGO"
"875017","MASTERS PROGRAM","WELLS FARGO"
"875017","IMS","MORGAN STANLEY WEALTH MANAGEMENT"
"883734","MANAGED ACCOUNTS CONSULTING  - WRAP","UBS FINANCIAL SERVICES, INC."
"883734","VISION PROGRAM","MORGAN STANLEY SMITH BARNEY LLC"
"883734","MANAGED ACCOUNT SERVICE","MERRILL LYNCH"
"883734","LATM INVESTMENT CONSULTING SERVICES  (ICS)","LADENBURG THALMAN ASSET MANAGEMENT"
"869684","PAN - PRIVATE ADVISOR NETWORK","WELLS FARGO"
"869684","TD SELECT/SEPARATE ACCOUNT EXCHANGE","TD AMERITRADE"
"869684","MAC RESEARCHED","UBS"
