"FilingID","Wrap Fee Program","Sponsor"
"905868","ADVISER SELECT AND ADVISORY TRUST SERVICES","DEUTSCHE BANK ALEX BROWN"
"905868","SCHWAB MANAGED ACCOUNT ACCESS PROGRAM","CHARLES SCHWAB & CO., INC."
"905868","STRATEGIC INVESTMENT SERVICES (STRATIS)","JP MORGAN CHASE"
"905868","MERRILL LYNCH CONSULTS/ UMA, U.S. TRUST SPS/MERRILL LYNCH ONE","BANK OF AMERICA MERRILL LYNCH/ U.S. TRUST"
"905868","FIDUCIARY SERVICES PROGRAM","MORGAN STANLEY SMITH BARNEY, LLC"
"905868","MANAGED DIVERSIFIED PORTFOLIO","WELLS FARGO WEALTH MANAGEMENT"
"905868","ACCESS ADVISORY PROGRAM","UBS FINANCIAL SERVICES, INC."
"905868","STRATEGIC WEALTH PROGRAM","UBS FINANCIAL SERVICES, INC."
"905868","FIDUCIARY SERVICES PROGRAM","CITI PRIVATE BANK"
"882392","MORGAN STANLEY INVESTMENT MANAGEMENT SERVICES (IMS)","MORGAN STANLEY"
"882392","LOCKWOOD FINANCIAL SERVICES INC","LOCKWOOD"
"882392","WILLIAM BLAIR COMPREHENSIVE FEE PROGRAM","WILLIAM BLAIR AND COMPANY, L.L.C."
"882392","SCHWAB ACCESS PROGRAM","CHARLES SCHWAB"
"882392","MORGAN STANLEY CONSULTING & EVALUATION SERVICES (CES)","MORGAN STANLEY"
"882392","WILLIAM BLAIR COMPREHENSIVE MUTUAL FUND FEE PROGRAM","WILLIAM BLAIR & COMPANY, L.L.C."
"882392","WILLIAM BLAIR INVESTIBLE MODEL PORTFOLIO PROGRAM","WILLIAM BLAIR & COMPANY, L.L.C."
"882392","CITI PRIVATE BANK CITI PERSONAL WEALTH MANAGEMENT","LOCKWOOD PERSHING"
"882392","GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN, SACHS & CO."
"890301","WELLS FARGO FAMILY WEALTH PROGRAM","WELLS FARGO BANK N.A."
"899942","CORNERSTONE PORTFOLIO SOLUTIONS","CORNERSTONE CAPITAL INVESTMENT MANAGEMENT"
"905858","NWAM CHOICE SOLUTIONS","NWAM, LLC"
"905881","CAMDEN WEALTH ADVISOR'S WRAP FEE PROGRAM","CAMDEN WEALTH ADVISORS LLC"
"893453","MANAGED ACCOUNTS PROGRAM","STEPHENS INC."
"893453","SMA PROGRAM","ENVESTNET ASSET MANAGEMENT, INC."
"893453","S-MAP","INVESTORS CAPITAL ADVISORY"
"901172","ADVISORY SERVICES NETWORK LLC WRAP FEE PROGRAM","ADVISORY SERVICES NETWORK LLC"
"896536","WEALTH MANAGEMENT PROGRAM","VISION2020 WEALTH MANAGEMENT CORP."
"895423","INVESTMENT MANAGEMENT SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"895423","UBS MANAGED ACCOUNTS CONSULTING PROGRAM","UBS FINANCIAL SERVICES, INC."
"895423","SEPARATE ACCOUNT PROGRAM","CONCORD TRUST & WEALTH SOLUTIONS, A DIVISION OF LPL FINANCIAL"
"895423","UBS ACCESS PROGRAM","UBS FINANCIAL SERVICES, INC."
"895423","DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS, LLC"
"895423","EDWARD JONES MANAGED ACCOUNT PROGRAM","EDWARD D. JONES AND CO., L.P."
"895423","FIDUCIARY SERVICES PROGRAM","MORGAN STANLEY WEALTH MANAGEMENT"
"895423","BRINKER CAPITAL MANAGER OF MANAGERS PROGRAM","BRINKER CAPITAL, INC."
"895423","WEALTH MANAGEMENT SOLUTIONS","ENVESTNET, INC."
"895423","AMERIPRISE PREMIER PORTFOLIO SERVICES PROGRAM","AMERIPRISE FINANCIAL SERVICES INC."
"895423","GENESSEE VALLEY TRUST COMPANY PROGRAM","GENESSEE VALLEY TRUST COMPANY"
"895423","LINSCO PRIVATE LEDGER MANAGER SELECT PROGRAM","LINSCO/PRIVATE LEDGER CORP."
"895423","WELLS SELECT MASTERS PROGRAM","WELLS FARGO ADVISORS, LLC"
"895423","WELLS FARGO STRATEGIC TRUST PROGRAM","WELLS FARGO INVESTMENTS, LLC"
"895423","MERRILL LYNCH STRATEGIC PORTFOLIO ADVISORS PROGRAM","MERRILL LYNCH, INC."
"895423","CONSULTING AND EVALUATION SERVICES","MORGAN STANLEY WEALTH MANAGEMENT"
"899738","CURIAN CUSTOM STYLE PORTFOLIO SOLICITOR PROGRAM","CURIAN CAPITAL, LLC"
"890793","TOTAL PORTFOLIO","RBC CAPITAL MARKETS CORPORATION"
"890793","STIFEL UNISON PROGRAM (SUP)","STIFEL, NICOLAUS & COMPANY INCORPORATED"
"890793","THIRD PARTY MODELS PROGRAM","ENVESTNET ASSET MANGEMENT, INC."
"890793","ADVISORY SOLUTIONS UNIFIED MANAGED ACCOUNT PROGRAM","EDWARD P. JONES & CO., L.P."
"890793","MANAGED ACCOUNT PROGRAM","CITIGROUP GLOBAL MARKETS INC."
"890793","SELECTS PORTFOLIO SOLUTIONS","MANAGED ACCOUNT ADVISORS LLC"
"890793","MANAGERS SELECT ACCOUNT","LINSCO/PRIVATE LEDGER CORP."
"890793","INVESTMENT MANAGEMENT SERVICES (""IMS"")","MORGAN STANLEY SMITH BARNEY LLC"
"890793","ACCESS","CHARLES SCHWAB"
"890793","INVESTMENT ADVISORY SERVICE PROGRAM","OPPENHEIMER ASSET MANAGEMENT INC."
"890793","MANAGED ACCOUNT LINK","LOCKWOOD ADVISORS, INC."
"890793","ACCESS","UBS FINANCIAL SERVICES, INC."
"890793","MERRILL LYNCH CONSULTS - MAA","MANAGED ACCOUNT ADVISORS LLC"
"890793","STIFEL MANAGED ASSETS PROGRAM OPPORTUNITY","STIFEL, NICOLAUS & COMPANY, INCORPORATED"
"890793","AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL INC."
"890793","MANAGER OF MANAGERS","BRINKER CAPITAL, INC."
"890793","DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS LLC"
"890793","SIGNATURE SERIES SMA PROGRAM","RICHARDSON GMP LTD."
"890793","WEALTH MANAGEMENT SOLUTIONS UMA","PRUDENTIAL INVESTMENTS LLC"
"890793","MANAGED ACCOUNT ADVISOR","LOCKWOOD ADVISORS, INC."
"890793","MERRILL LYNCH UMA","MANAGED ACCOUNT ADVISORS LLC"
"890793","MASTERS","WELLS FARGO ADVISORS LLC"
"890793","RAYMOND JAMES CONSULTING SERVICES PROGRAM","RAYMOND JAMES & ASSOCIATES, INC."
"890793","FIDUCIARY SERVICES","MORGAN STANLEY SMITH BARNEY LLC"
"890793","SELECT UMA","MORGAN STANLEY SMITH BARNEY LLC"
"890793","UMA","OPPENHEIMER ASSET MANAGMENT INC."
"890793","MODEL ONLY","TD PREMIER MANAGED PORTFOLIOS"
"890793","MANAGED ACCOUNT PROGRAM","LOCKWOOD ADVISORS, INC."
"890793","PRUDENTIAL MANAGED ACCOUNT CONSULTING SERVICES (MACS)","PRUDENTIAL INVESTMENTS, LLC"
"890793","CONSULTING SOLUTIONS","RBC WEALTH MANAGEMENT"
"890793","MANAGED ACCOUNT CONSULTING","UBS FINANCIAL SERVICES, INC."
"890793","MERRILL LYNCH, SELECT PORTFOLIO ADVISOR (SPA)","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED"
"890793","STAR","OPPENHEIMER ASSET MANAGEMENT INC."
"890793","MARKETPLACE","CHARLES SCHWAB"
"890793","NETWORK","WELLS FARGO ADVISORS"
"890793","MANAGED DIVERSIFIED PORTFOLIOS","WELLS FARGO WEALTH MANAGEMENT/WELLS FARGO BANK, N.A."
"890793","UNIFIED MANAGED ACCOUNT PROGRAM","LOCKWOOD ADVISORS, INC."
"890793","SEPARATELY MANAGED ACCOUNT PROGRAM","LOCKWOOD ADVISORS, INC."
"890793","FIDELITY PERSONALIZED PORTFOLIOS","STRATEGIC ADVISERS, INC."
"890793","DYNAMIC ALLOCATION PORTFOLIO - UMA PROGRAM","CITIGROUP GLOBAL MARKETS, INC."
"890793","SEPARATE ACCOUNT NETWORK","FIDELITY"
"890793","CES","MORGAN STANLEY SMITH BARNEY LLC"
"890793","STRATEGIC WEALTH PORTFOLIO (SWP)","UBS FINANCIAL SERVICES, INC."
"890793","ADVISOR TECHNOLOGIES","FOLIODYNAMIX"
"890793","GLOBAL MANAGER STRATEGIES","GOLDMAN, SACHS & CO."
"890793","MERRILL LYNCH INVESTMENT ADVISORY PROGRAM","MANAGED ACCOUNT ADVISORS LLC"
"890793","UMA","FOLIODYNAMIX"
"890793","WEALTH MANAGEMENT SOLUTIONS","ENVESTNET ASSET MANGEMENT, INC."
"897295","MANAGED ACCOUNT CONNECTION","CHARLES SCHWAB & CO., INC."
"897295","MANAGED ACCOUNT ACCESS","CHARLES SCHWAB & CO., INC."
"897295","SELECT UMA","MORGAN STANLEY / SMITH BARNEY"
"897295","CONSULTING & EVALUATION SERVICES","MORGAN STANLEY / SMITH BARNEY"
"897295","FIDUCIARY SERVICES","MORGAN STANLEY / SMITH BARNEY"
"904731","PREMIER ADVANTAGE PLUS","FSW ADVISORY SERVICES, INC."
"904731","PREMIER ADVANTAGE","FSW ADVISORY SERVICES, INC."
"876458","WEALTHCORE","STERNE AGEE"
"876458","UBS MANAGED ACCOUNT CONSULTING","UBS"
"876458","SCHWAB SELECT","CHARLES SCHWAB"
"896124","NORTHERN LIGHTS FUND, TRUST III","NORTHERN LIGHTS"
"884565","SEE SCHEDULE D - MISCELLANEOUS AT ITEM 5I(2)","SEE ABOVE"
"898547","SAM","WEALTH AND TAX ADVISORY"
"898547","OUTSIDE MANAGED PROGRAM","RAYMOND JAMES"
"898547","SEPARATE ACCOUNT NETWORK","FIDELITY INVESTMENTS"
"901187","STIFEL SOLUTIONS PROGRAM","STIFEL, NICOLAUS & COMPANY, INCORPORATED"
"864983","MCMAHON FINANCIAL ADVISORS WRAP FEE PROGRAM","MCMAHON FINANCIAL ADVISORS, LLC"
"903497","BRINKER SEPARATELY MANAGED ACCOUNT PROGRAM","MILL CREEK CAPITAL ADVISORS, LLC."
"903497","SEPARATE ACCOUNT PROGRAM","MAI WEALTH ADVISORS, LLC."
"885707","GUGGENHEIM WEALTH MANAGEMENT","GUGGENHEIM INVESTMENT ADVISORS, LLC"
"890622","THE VISION2020 ADVISOR MANAGED PORTFOLIOS PROGRAM","FSC SECURITIES CORPORATION"
"905967","MANAGED ACCOUNT CONNECTION","CHARLES SCHWAB & CO., INC."
"905967","MANAGED ACCOUNT ACCESS","CHARLES SCHWAB & CO., INC."
"905967","SELECT UMA","MORGAN STANLEY / SMITH BARNEY"
"905967","CONSULTING & EVALUATION SERVICES","MORGAN STANLEY / SMITH BARNEY"
"905967","FIDUCIARY SERVICES","MORGAN STANLEY / SMITH BARNEY"
"890725","CLEARBRIDGE WRAP PROGRAM","CLEARBRIDGE WEALTH MANAGEMENT"
"904791","PRIVATE INVESTMENT MANAGEMENT","CARY STREET PARTNERS INVESTMENT ADVISORY LLC"
"905978","WEALTHCORE","STERNE AGEE"
"905978","UBS MANAGED ACCOUNT CONSULTING","UBS"
"905978","SCHWAB SELECT","CHARLES SCHWAB"
"904766","UBS MAC WRAP","UNION BANK OF SWITZERLAND"
"904766","RBC WEALTH MANAGEMENT WRAP PROGRAM","ROYAL BANK OF CANANDA"
"892344","PERSIMMON CAPITAL WRAP PROGRAM","PERSIMMON CAPITAL MANAGEMENT, LP"
"892344","R.W BAIRD & CO.","R.W. BAIRD & CO."
"892344","FIELDPOINT BANK & TRUST","FIELDPOINT BANK & TRUST"
"892344","STIFEL, NICOLAUS & CO. INC.","STIFEL, NICOLAUS & CO. INC."
"904988","BCM WRAP FEE PROGRAM","BEACON CAPITAL MANAGEMENT, INC."
"903135","LOCKWOOD MASTER MANAGER AGREEMENT","LOCKWOOD ADVISORS, INC."
"903135","STIFEL MANAGED ASSET PROGRAM","STIFEL NICOLAUS"
"903135","THIRD PARTY MODELS PROGRAM","ENVESTNET"
"903135","WILLIAM BLAIR SELECT INVESTMENT PARTNERS","WILLIAM BLAIR & CO."
"905916","MALTIN WEALTH MANAGEMENT WRAP FEE PROGRAM","MALTIN WEALTH MANAGEMENT, INC."
"905977","HOLMES & TURNER WRAP PROGRAM","HOLMES & TURNER FINANCIAL SERVICES, INC."
"882525","THIRD PARTY MODELS PROGRAM","ENVESTNET ASSET MANAGEMENT"
"882525","PREFERRED ADVISORS PROGRAM","CREDIT SUISSE SECURITIES (USA) LLC"
"905994","PERSIMMON CAPITAL WRAP PROGRAM","PERSIMMON CAPITAL MANAGEMENT, LP"
"905994","R.W BAIRD & CO.","R.W. BAIRD & CO."
"905994","FIELDPOINT BANK & TRUST","FIELDPOINT BANK & TRUST"
"905994","STIFEL, NICOLAUS & CO. INC.","STIFEL, NICOLAUS & CO. INC."
"873580","MAC","UBS"
"873580","PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS"
"873580","MASTERS","WELLS FARGO ADVISORS"
"873580","CONSULTS","MERRILL LYNCH, BANK OF AMERICA"
"873580","SEPARATE ACCOUNT NETWORK","FIDELITY INVESTMENTS"
"873580","ACCESS","UBS"
"873580","SPA","BANK OF AMERICA/MERRILL LYNCH"
"873580","UMA","BANK OF AMERICA/MERRILL LYNCH"
"873580","CES","MORGAN STANLEY SMITH BARNEY"
"873580","FIDUCIARY SERVICES","MORGAN STANLEY SMITH BARNEY"
"873580","SELECT UMA","MORGAN STANLEY SMITH BARNEY"
"873580","OSM","RAYMOND JAMES"
"873580","ACCESS","SCHWAB"
"873580","MARKETPLACE","SCHWAB"
"873580","DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS"
"873580","STRATEGIC WEALTH PORTFOLIO","UBS"
"873580","MA RESOURCE","ENVESTNET"
"873580","UNIFIED MANAGEMENT OVERLAY PROGRAM","FOLIODYNAMIX"
"897861","BMO HARRIS STRATEGIC FUND PORTFOLIO (SFP)","BMO HARRIS FINANCIAL ADVISORS"
"897861","BMO HARRIS CHOICE","BMO HARRIS FINANCIAL ADVISORS"
"897861","QUADRANT","BMO HARRIS FINANCIAL ADVISORS"
"897861","SEI MODELS STRATEGIES","BMO HARRIS FINANCIAL ADVISORS"
"897861","RUSSELL MODEL STRATEGIES","BMO HARRIS FINANCIAL ADVISORS"
"897861","SIGMA MUTUAL FUND WRAP (""MFW"")","BMO HARRIS FINANCIAL ADVISORS"
"897861","MANAGED ASSET ALLOCATION PROGRAM","BMO HARRIS FINANCIAL ADVISORS"
"897861","MANAGED ASSET ALLOCATION PROGRAM PLUS MANAGERS","BMO HARRIS FINANCIAL ADVISORS"
"897861","BMO FLEX PROGRAM","BMO HARRIS FINANCIAL ADVISORS"
"897861","BMO FLEX PLUS MANAGERS PROGRAM","BMO HARRIS FINANCIAL ADVISORS"
"889543","STRATEGIC ADVISOR SOLUTIONS PROGRAM (SASP)","ING FINANCIAL PARTNERS"
"889543","PERSHING ADVISOR SOLUTIONS","PERSHING LLC"
"889543","SELECT ADVISOR SERIES PROGRAM - FOLIO DYNAMIX","VOYA"
"889543","LOCKWOOD","PERSHING LLC"
"889543","SEPARATE ACCOUNT EXCHANGE","TD AMERITRADE"
"889543","ADVISORY CHOICE","ROBERT W. BAIRD"
"889543","PRIVATE ADVISOR NETWORK","WELLS FARGO"
"889543","STRATEGIC PORTFOLIO ADVISER","MERRILL LYNCH"
"889543","MANAGED ACCOUNTS CONSULTING","UBS FINANCIAL"
"889543","CONSULTING GROUP","MORGAN STANLEY"
"889543","MANAGER SELECT","LPL FINANCIAL"
"889543","MANAGER ACCESS SELECT","LPL FINANCIAL"
"889543","MANAGED ACCOUNT PROGRAM","RBC"
"889543","HORIZON","STIFEL"
"889543","SCHWAB ONE","CHARLES SCHWAB"
"898505","UBS ACCESS ADVISORY","UBS FINANCIAL SERVICES"
"898505","MANAGER SELECT","LINSCO/PRIVATE LEDGER CORP."
"898505","WACHOVIA MSP","WACHOVIA"
"898505","MORGAN STANLEY ACCESS PROGRAM","MORGAN STANLEY DW INC."
"898505","GLOBAL MANAGER STRATEGIES SEPARATE ACCOUNT PROGRAM","GOLDMAN, SACHS & COMPANY"
"905516","MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB & CO., INC."
"905516","SEPERATE ACCOUNT NETWORK (SAN)","FIDELITY CAPITAL MARKETS SERVICES"
"905516","SEPERATE ACCOUNT EXCHANGE (SAE)","TD AMERITRADE INSTITUTIONAL"
"890657","VISION 2020 ADVISOR MANAGED PORTFOLIOS","WOODBURY FINANCIAL SERVICES, INC."
"890816","FIRST REPUBLIC MODEL PORTFOLIOS","FIRST REPUBLIC INVESTMENT MANAGEMENT, INC."
"890816","LUMINOUS CAPITAL, LLC PROGRAM","LUMINOUS CAPITAL (A DIVISION OF FRIM)"
"889892","INVESTMENT MANAGEMENT SERVICES PROGRAM","MORGAN STANLEY WEALTH MANAGEMENT"
"889892","PRIVATE ADVISOR NETWORK","WELLS FARGO ADVISORS, LLC"
"873008","FOCUS ASSET MANAGEMENT PROGRAM","SANDERS MORRIS HARRIS INC."
"873008","MANAGED ASSET PROGRAM - ELITE TRADE","SANDERS MORRIS HARRIS INC."
"904762","GUIDED PORTFOLIO SOLUTIONS (GPS)","MONEY CONCEPTS ADVISORY SERVICE"
"896802","STEPHENS ADVISOR - NON DISCRETIONARY PROGRAM","STEPHENS INC."
"896802","STEPHENS CAPITAL MANAGMENT DISCRETIONARY PROGRAM","STEPHENS INC."
"896802","STEPHENS FIXED INCOME MANAGMENT","STEPHENS INC."
"896802","STEPHENS ALLOCATION STRATIGIES PROGRAM","STEPHENS INC."
"896802","STEPHENSCHOICE","STEPHENS INC."
"896802","STEPHENS MANAGED ASSETS PROGRAM","STEPHENS INC."
"896802","STEPHENS CAPITAL MANAGEMENT NON-DISCRETIONARY","STEPHENS INC."
"896802","STEPHENS REAL RETURN STRATEGY","STEPHENS INC."
"896802","STEPHENS CAPITAL MANAGEMENT - HEALTH MANAGEMENT TRUST","STEPHENS INC."
"896802","PROFESSIONAL WEALTH MANAGEMENT","STEPHENS INC."
"896802","STEPHENS CAPITAL MANAGEMENT FIXED INCOME STRATEGY","STEPHENS INC."
"896802","STEPHENS CAPITAL MANAGEMENT ASSET ALLOCATION & ADVISORY SERVICES","STEPHENS INC."
"896802","STEPHENS SMALL-MID CAP CORE GROWTH PROGRAM","STEPHENS INC."
"896802","STEPHENS CAPITAL MANAGEMENT - PENSION MANAGEMENT TRUST PROGRAM","STEPHENS INC."
"896802","STEPHENS SPECTRUM 401K","STEPHENS INC."
"885414","STRATIS","J.P. MORGAN SECURITIES LLC"
"885856","CONSULTING SOLUTIONS PROGRAM","RBC WEALTH MANAGEMENT"
"906009","LOCKWOOD SPONSORED WRAP PROGRAM","LOCKWOOD ADVISORS, INC."
"905939","RDAFN WRAP FEE PROGRAM","RDA FINANCIAL NETWORK"
"888155","STAR","OPPENHEIMER & CO."
"888155","LINCOLN MANAGED ASSETS","LINCOLN FINANCIAL ADVISORS AND INDEPENDENT PORTFOLIO CONSULTANTS"
"888155","MANAGED ACCOUNT COMMAND/MANAGED ACCOUNT LINK/ UMA","LOCKWOOD FINANCIAL SERVICES, INC."
"888155","EAGLE MANAGED ASSETS","EAGLE STRATEGIES CORP & INDEPENDENT PORTFOLIO CONSULTANTS"
"888155","INDEPENDENT MANAGED ASSETS","INDEPENDENT PORTFOLIO CONSULTANTS, INC."
"888155","ICS","JP MORGAN"
"888155","MAS/SPA","MERRILL LYNCH"
"888155","MANAGED ACCOUNTS CONSULTING","UBS FINANCIAL SERVICES"
"888155","ASSET MGMT SERVICES PREFERRED SERVICES PROGRAM","RAYMOND JAMES & ASSOCIATES"
"888155","IMS/UMA/FS","MORGAN STANLEY SMITH BARNEY, LLC"
"888155","PREMIER ASSET MANAGEMENT, PRIVATE WEALTH MANAGEMENT, UMA MARKETPLACE","ENVESTNET  PLACEMARK ASSET MANAGEMENT, INC."
"888155","DIVERSIFIED MANAGED ALLOCATIONS/MASTERS/NETWORK","WELLS FARGO ADVISORS"
"888155","PORTFOLIO MANAGER PROGRAM","CHASE INVESTMENT SERVICES CORP."
"888155","MANAGER ACCESS SELECT/MANAGER SELECT","LINSCO/PRIVATE LEDGER CORP."
"888155","MARKETPLACE","CHARLES SCHWAB"
"888155","SELECT MANAGED ASSETS","SELECT MANAGED ASSETS AND INDEPENDENT PORTFOLIO CONSULTANTS, INC."
"888155","PROFESSIONAL MANAGED ASSETS","PROFESSIONAL MANAGED ASSETS AND INDEPENDENT PORTFOLIO CONSULTANTS, INC."
"888155","MANAGED ACCOUNT PROGRAM","RBC WEALTH MANAGEMENT"
"905142","PERSONALIZED MANAGED ACCOUNT PROGRAM","ARGENTUS ADVISORS, LLC."
"895932","STRATEGIC SOLUTIONS","FLEXIBLE PLAN INVESTMENTS LTD"
"895932","GVCM PERSONALIZED MANAGED ACCOUNT PROGRAM","GLOBAL VIEW CAPITAL MANAGEMENT"
"884517","MANAGER SELECT","LPL FINANCIAL, LLC"
"884517","INDEPENDENT PORTFOLIO CONSULTANTS, INC. MANAGED ASSETS PROGRAM","INDEPENDENT PORTFOLIO CONSULTANTS, INC."
"884517","MANAGER ASSET SELECT","LPL FINANCIAL, LLC"
"884517","STIFEL HORIZON PROGRAM","STIFEL, NICOLAUS & COMPANY, INCORPORATED"
"884517","STIFEL OPPORTUNITY PROGRAM","STIFEL, NICOLAUS & COMPANY, INCORPORATED"
"886349","J.P. MORGAN SECURITIES STRATEGIC INVESTMENT SERVICES (STRATIS) PROGRAM","J.P. MORGAN SECURITIES LLC"
"886349","LOCKWOOD MANAGED ACCOUNT LINK","LOCKWOOD ADVISORS, INC."
"886349","RAYMOND JAMES CONSULTING SERVICES","RAYMOND JAMES & ASSOCIATES, INC."
"886349","SELECT MANAGERS","WILLIAM BLAIR & COMPANY, L.L.C."
"886349","SEPARATE ACCOUNT MANAGEMENT PROGRAM","D.A. DAVIDSON & CO."
"902959","ORION INVESTMENT ADVISORS WRAP FEE PROGRAM","ORION INVESTMENT ADVISORS, LLC"
"905495","ENVESTNET ASSET MANAGEMENT","J.P. TURNER & COMPANY CAPITAL MANAGEMENT, LLC"
"905495","JPTCM MANAGED ACCOUNT PROGRAM","J.P. TURNER & COMPANY CAPITAL MANAGEMENT LLC"
"905495","THE SEPARATE ACCOUNT EXCHANGE PROGRAM","TD AMERITRADE INSTITUTIONAL"
"905495","ASSETMARK PROGRAMS","ASSETMARK PROGRAMS"
"866041","MANAGED PORTFOLIO PROGRAM","M FINANCIAL ASSET MANAGEMENT, INC."
"903220","ENVESTNET SEPARATE MANAGED ACCOUNT PROGRAM AND FUND STRATEGIST PORTFOLIOS","ENVESTNET"
"899042","KEYBANK MANAGED ACCOUNT SERVICES","KEYBANK NATIONAL ASSOCIATION"
"899042","MARSHALL MANAGED ASSET SERVICES","LOCKWOOD ADVISORS, INC."
"899042","BLUEPRINT PROGRAM / ARCHITECT","BMO NESBITT BURNS INC."
"899042","PLACEMARK","PLACEMARK"
"899042","ENVESTNET- THIRD PARTY MODELS PROGRAM","ENVESTNET"
"899042","AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES, INC."
"905384","UNITED MANAGED ACCOUNT PROGRAM","MERRILL LYNCH"
"905384","MANAGED ACCOUNT PROGRAM","SEI INVESTMENTS"
"905384","ENVESTNET","ENVESTNET ASSET MANAGEMENT"
"905384","ASSETMARK PLATFORM","ASSETMARK, INC."
"905148","MANAGER SELECT PROGRAM","LINSCO / PRIVATE LEDGER FINANCIAL SERVICES"
"894190","WRAP FEE PROGRAM","SIGFIG WEALTH MANAGEMENT LLC"
"897326","PERSONAL WEALTH PORTFOLIOS","LPL FINANCIAL"
"897326","OPTIMUM MARKET PORTFOLIOS","LPL FINANCIAL"
"897326","MODEL WEALTH PORTFOLIOS","LPL FINANCIAL"
"890572","VISION 2020 ADVISOR MANAGED PORTFOLIOS","ROYAL ALLIANCE ASSOCIATES, INC."
"888205","FORTIGENT ACCESS PROGRAM","FORTIGENT, LLC"
"888205","PARAMOUNT CHOICE WRAP FEE PROGRAM","FIRST CITIZENS INVESTOR SERVICES, INC."
"882079","MANAGED ACCOUNT SELECT PROGRAM","CHARLES SCHWAB & CO, INC."
"882079","MERRILL LYNCH CONSULTS SERVICE","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED"
"882079","MORGAN STANLEY SMITH BARNEY FIDUCIARY SERVICES","MORGAN STANLEY SMITH BARNEY LLC"
"882079","CALLAN UNIFIED MANAGED ACCOUNT PROGRAM (THROUGH NATIXIS ASSET MANAGEMENT ADVISORS, L.P.; MANAGED PORTFOLIO ADVISORS)","CALLAN ASSOCIATES INC."
"882079","MANAGED DIVERSIFIED PORTFOLIOS","WELLS FARGO BANK, N.A."
"882079","UNIFIED MANAGED ACCOUNT WRAP PROGRAM(S)","MORGAN STANLEY SMITH BARNEY LLC"
"882079","PERSONAL WEALTH PORTFOLIOS PROGRAM","LPL FINANCIAL CORPORATION"
"882079","MORGAN STANLEY SMITH BARNEY VISION III","MORGAN STANLEY SMITH BARNEY LLC"
"882079","PNCA'S INTEGRATED APPROACH","PNC BANK, NATIONAL ASSOCIATION; PNC BANK, DELAWARE"
"882079","MERRILL LYNCH MANAGED ACCOUNT SERVICE","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED"
"882079","AMERIPRISE SELECT SEPARATE ACCOUNT PROGRAM","AMERIPRISE FINANCIAL SERVICES, INC."
"882079","RAYMOND JAMES FREEDOM UNIFIED MANAGED ACCOUNT PROGRAM","ASSET MANAGEMENT SERVICES, A DIVISION OF RAYMOND JAMES FINANCIAL, INC."
"882079","UNIFIED MANAGED ACCOUNT PROGRAM","PNC BANK, NATIONAL ASSOCIATION; PNC DELAWARE TRUST COMPANY"
"882079","MANAGER SELECTION PROGRAM","CITI PRIVATE BANK"
"882079","DYNAMIC ALLOCATION PORTFOLIOS UMA","CITI PRIVATE BANK"
"882079","SELECTS PROGRAM (THROUGH MANAGED ACCOUNT ADVISORS LLC)","BANC OF AMERICA INVESTMENT ADVISORS, INC."
"882079","MANAGED ACCOUNT MARKETPLACE","CHARLES SCHWAB & CO., INC."
"882079","MANAGER SELECT PROGRAM","LPL FINANCIAL CORPORATION"
"882079","RAYMOND JAMES CONSULTING SERVICES SEPARATELY MANAGED ACCOUNT WRAP FEE PROGRAM","RAYMOND JAMES CONSULTING SERVICES"
"882079","UNIFIED MANAGED ACCOUNTS","THE NORTHERN TRUST COMPANY"
"882079","MANAGED ACCOUNTS CONSULTING SERVICES","PRUCO SECURITIES, LLC"
"882079","MANAGED ASSETS PROGRAM","AMERITAS INVESTMENT CORPORATION"
"882079","WEALTH ADVISORY SERVICES","THE NORTHERN TRUST COMPANY"
"882079","MULTI-FIRM CONSULTS DIVERSIFIED PORTFOLIOS (THROUGH MANAGED ACCOUNT ADVISORS LLC)","MERRILL LYNCH, PIERCE, FENNER & SMITH, INCORPORATED"
"882079","UNIFIED MANAGED ACCOUNT PROGRAM (THROUGH MANAGED ACCOUNT ADVISORS LLC)","MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED"
"882079","DIVERSIFIED MANAGED ALLOCATIONS","WELLS FARGO ADVISORS, LLC"
"882079","MORGAN STANLEY SMITH BARNEY PERSONAL PORTFOLIO PROGRAM","MORGAN STANLEY SMITH BARNEY LLC"
"882079","MASTERS MANAGERS INVESTMENT CONSULTING SERVICE (FORMERLY KNOWN AS MANAGED ACCOUNTS CONSULTING SERVICES)","WELLS FARGO ADVISORS, LLC"
"882079","MANAGED ASSETS PROGRAM","FSC SECURITIES CORPORATION"
