"FilingID","Country/Authority"
"893886","China, People's Republic of - China Securities Regulatory Commission "
"893886","Taiwan - Financial Supervisory Commission"
"893886","Other: THE CENTRAL BANK OF REPUBLIC OF CHINA"
"893886","Other: SUPERINTENDENCIA FINANCIERA DE COLOMBIA"
"893886","Canada - Nova Scotia Securities Commission"
"893953","Other: SOUTH KOREA FINANCIAL SERVICES COMMISSION"
"891312","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"891312","India - Securities and Exchange Board of India"
"892182","United Kingdom - Financial Conduct Authority"
"894007","Canada - Ontario Securities Commission"
"894007","Canada - Quebec, Financial Markets Authority"
"890519","United Kingdom - Financial Conduct Authority"
"886505","Cayman Islands - Cayman Islands Stock Exchange Authority"
"893230","Canada - Ontario Securities Commission"
"879727","Other: UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
"879727","Dubai - Dubai Financial Services Authority"
"879727","Netherlands - The Netherlands Authority for the Financial Markets"
"879727","Spain - National Commission of Securities Markets"
"879727","Sweden - Swedish Financial Supervisory Authority"
"879727","Other: SOUTH KOREA - FINANCIAL SERVICES COMMISSION / FINANCIAL SUPERVISORY SERVICE"
"879727","Germany - German Federal Financial Supervisory Agency"
"879727","Other: ROMANIA/ROMANIAN NATIONAL SECURITIES COMMISSION"
"879165","Canada - Quebec, Financial Markets Authority"
"879165","Canada - Ontario Securities Commission"
"879165","Canada - Alberta Securities Commission"
"879165","Canada - Manitoba Securities Commission"
"879165","Denmark - Danish Financial Supervisory Authority"
"879165","Canada - British Columbia Securities Commission"
"879165","Ireland -  Central Bank of Ireland"
"894508","Canada - British Columbia Securities Commission"
"894508","Canada - Alberta Securities Commission"
"894508","Canada - Manitoba Securities Commission"
"894508","Canada - Nova Scotia Securities Commission"
"894508","Canada - Ontario Securities Commission"
"894508","Canada - Quebec, Financial Markets Authority"
"876417","Netherlands - The Netherlands Authority for the Financial Markets"
"886549","Switzerland - Swiss Financial Market Supervisory Authority"
"890516","Singapore - Monetary Authority of Singapore"
"890516","China, People's Republic of - China Securities Regulatory Commission "
"890516","Other: BRUNEI / AUTORITI MONETARI BRUNEI DARUSSALAM"
"886802","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"894794","Canada - Alberta Securities Commission"
"894794","Canada - British Columbia Securities Commission"
"894794","Canada - Quebec, Financial Markets Authority"
"894794","Canada - Manitoba Securities Commission"
"894794","Canada - Ontario Securities Commission"
"894794","Canada - Nova Scotia Securities Commission"
"891875","Ireland -  Central Bank of Ireland"
"875768","United Kingdom - Financial Conduct Authority"
"879951","United Kingdom - Financial Conduct Authority"
"895276","Canada - Alberta Securities Commission"
"895276","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"895276","Canada - Manitoba Securities Commission"
"895276","Canada - New Brunswick Securities Commission"
"895276","Canada - Ontario Securities Commission"
"895276","Canada - Nova Scotia Securities Commission"
"895276","Australia - Australian Securities and Investments Commission"
"895276","Canada - Prince Edward Island, Securities Office"
"895276","Canada - Saskatchewan Financial Services Commission"
"895276","Canada - Quebec, Financial Markets Authority"
"895276","Canada - British Columbia Securities Commission"
"895275","Other: CAYMAN ISLANDS MONETARY AUTHORITY"
"892199","Switzerland - Swiss Financial Market Supervisory Authority"
"895506","France - Financial Markets Authority"
"895594","Canada - British Columbia Securities Commission"
"895594","Canada - Alberta Securities Commission"
"895594","Canada - Quebec, Financial Markets Authority"
"895594","Canada - Ontario Securities Commission"
"895594","Other: DUBAI - DUBAI MERCANTILE EXCHANGE"
"890181","Ireland -  Central Bank of Ireland"
"895721","Other: UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
"869703","Canada - Ontario Securities Commission"
"869703","Canada - Nova Scotia Securities Commission"
"869703","Canada - Manitoba Securities Commission"
"869703","Canada - British Columbia Securities Commission"
"869703","Canada - Alberta Securities Commission"
"869703","Canada - Saskatchewan Financial Services Commission"
"869703","Canada - Quebec, Financial Markets Authority"
"869703","Netherlands - The Netherlands Authority for the Financial Markets"
"869703","Canada - New Brunswick Securities Commission"
"869703","Canada - Prince Edward Island, Securities Office"
"869703","Canada - Newfoundland and Labrador, Financial Services Regulation Division"
"895848","Canada - British Columbia Securities Commission"
"895848","Canada - Alberta Securities Commission"
"895848","Canada - Quebec, Financial Markets Authority"
"895848","Canada - Ontario Securities Commission"
"895848","Other: DUBAI - DUBAI MERCANTILE EXCHANGE"
"894973","Canada - Ontario Securities Commission"
"867950","Ireland -  Central Bank of Ireland"
"867950","Cayman Islands - Cayman Islands Monetary Authority"
"873960","Brazil - Securities and Exchange Commission"
"873960","Other: BRAZIL - ANBIMA (BRAZILIAN FINANCIAL AND CAPITAL MARKETS ASSOCIATION)"
"884759","Ireland -  Central Bank of Ireland"
"896394","Australia - Australian Securities and Investments Commission"
"887480","Hong Kong - Securities and Futures Commission"
"884457","India - Securities and Exchange Board of India"
"884457","Hong Kong - Securities and Futures Commission"
"875727","Singapore - Monetary Authority of Singapore"
"864512","Other: FINANCIAL CONDUCT AUTHORITY AND PRUDENTIAL REGULATION AUTHORITY"
"896587","Canada - Ontario Securities Commission"
"896587","Australia - Australian Securities and Investments Commission"
"880973","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"889257","United Kingdom - Financial Conduct Authority"
"884238","Bahamas - Securities Commission of the Bahamas"
"896767","Belgium - Banking, Finance and Insurance Commission"
"880174","Switzerland - Swiss Financial Market Supervisory Authority"
"896839","Hong Kong - Securities and Futures Commission"
"896839","Ireland -  Central Bank of Ireland"
"864083","Canada - Ontario Securities Commission"
"877209","Australia - Australian Securities and Investments Commission"
"890134","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"896939","Canada - Ontario Securities Commission"
"896939","Canada - New Brunswick Securities Commission"
"896939","Canada - Manitoba Securities Commission"
"895492","Other: THE NETHERLANDS AUTHORITY FOR THE FINANCIAL MARKETS"
"856809","Australia - Australian Securities and Investments Commission"
"891813","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"891813","United Kingdom - Financial Conduct Authority"
"890942","Canada - Ontario Securities Commission"
"886059","United Kingdom - Financial Conduct Authority"
"892102","Hong Kong - Securities and Futures Commission"
"892102","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"897559","Hong Kong - Securities and Futures Commission"
"883602","Brazil - Securities and Exchange Commission"
"889729","India - Securities and Exchange Board of India"
"889729","Singapore - Monetary Authority of Singapore"
"894797","India - Securities and Exchange Board of India"
"888163","Israel - Israel Securities Authority"
"878772","Ireland -  Central Bank of Ireland"
"895066","Other: ITALY - BANK OF ITALY"
"895066","Other: ITALY - THE ITALIAN COMPANIES AND STOCK EXCHANGE COMMISSION (CONSOB)"
"895511","Netherlands - The Netherlands Authority for the Financial Markets"
"895511","United Kingdom - Financial Conduct Authority"
"878048","Cayman Islands - Cayman Islands Monetary Authority"
"888843","Ireland -  Central Bank of Ireland"
"884893","Canada - Ontario Securities Commission"
"886895","Australia - Australian Securities and Investments Commission"
"858315","Hong Kong - Securities and Futures Commission"
