"FilingID","ReferenceID","Foreign Regulatory Authority"
"998698","50123","Canada - Ontario Securities Commission"
"1011188","11829","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1010682","167718","Cayman Islands - Cayman Islands Monetary Authority"
"1011079","14917","Cayman Islands - Cayman Islands Monetary Authority"
"1010413","173425","Cayman Islands - Cayman Islands Monetary Authority"
"1015980","5834","Cayman Islands - Cayman Islands Monetary Authority"
"1015980","17531","Cayman Islands - Cayman Islands Monetary Authority"
"1015980","14924","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","173300","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","173293","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","173292","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","56631","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","63830","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","173297","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","173298","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","59816","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","65219","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","22955","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","63832","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","63828","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","63834","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","177428","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","177430","Cayman Islands - Cayman Islands Monetary Authority"
"1012229","177427","Cayman Islands - Cayman Islands Monetary Authority"
"1016073","55791","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1016097","47317","Ireland -  Central Bank of Ireland"
"1016097","47316","Ireland -  Central Bank of Ireland"
"1016097","61611","Cayman Islands - Cayman Islands Monetary Authority"
"1016097","47315","Ireland -  Central Bank of Ireland"
"1016097","47318","Ireland -  Central Bank of Ireland"
"1017884","7496","British Virgin Islands - British Virgin Islands Financial Services Commission"
"1008363","170629","United Kingdom - Financial Conduct Authority"
"1008363","168002","United Kingdom - Financial Conduct Authority"
"1008363","76844","United Kingdom - Financial Conduct Authority"
"1008363","66460","United Kingdom - Financial Conduct Authority"
"1008363","36314","United Kingdom - Financial Conduct Authority"
"1008363","49593","United Kingdom - Financial Conduct Authority"
"1008363","52982","United Kingdom - Financial Conduct Authority"
"1008363","65091","United Kingdom - Financial Conduct Authority"
"1008363","62507","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1008363","58856","United Kingdom - Financial Conduct Authority"
"1008363","72544","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1008363","170638","United Kingdom - Financial Conduct Authority"
"1024631","37078","Finland - Financial Supervision Authority"
"1024631","37078","Netherlands - The Netherlands Authority for the Financial Markets"
"1024631","37078","United Kingdom - Financial Conduct Authority"
"1024631","174268","United Kingdom - Financial Conduct Authority"
"1024631","174268","Netherlands - The Netherlands Authority for the Financial Markets"
"1024631","37078","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","36958","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","36542","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","37154","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","37144","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","76916","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","37120","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1024631","76866","Other - CAYMAN ISLANDS/CAYMAN ISLANDS MONETARY AUTHORITY"
"1025361","34084","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1025859","21907","Bermuda - Bermuda Monetary Authority"
"1007860","50851","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1007860","49061","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1008340","21945","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1008340","21929","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1011392","56632","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1011398","3991","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1011490","22841","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","54862","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","54861","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23572","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23570","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23547","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23542","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23539","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23534","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23529","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23453","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23025","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22917","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22118","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22114","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22112","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22110","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22103","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22101","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","23014","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22077","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22073","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22055","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","46622","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22036","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22112","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","22103","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64640","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64641","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64639","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64639","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64638","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64638","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64637","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64637","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64634","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64634","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64631","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64631","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64626","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64623","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64622","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64622","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64620","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64614","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","64614","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","64572","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","22118","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","22101","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","22114","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","46622","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","22110","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011490","159040","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","159041","Cayman Islands - Cayman Islands Monetary Authority"
"1011490","159041","South Korea - Financial Supervisory Commission / Financial Supervisory Service"
"1011674","46240","Netherlands - The Netherlands Authority for the Financial Markets"
"1013371","176176","Germany - German Federal Financial Supervisory Agency"
"1013371","176176","Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
"1013371","176176","United Kingdom - Financial Conduct Authority"
"1013371","176176","Sweden - Swedish Financial Supervisory Authority"
"1013371","176176","Other - NORWAY- FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
"1013371","176176","Ireland -  Central Bank of Ireland"
"1013366","45767","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","45756","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","177406","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","45763","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","45762","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","54632","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","54628","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","45771","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","54630","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","140741","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","140740","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","166449","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","166448","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","166447","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","33044","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","67009","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","65581","Ireland -  Central Bank of Ireland"
"1013366","54618","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","54617","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
"1013366","51876","Other - CAYMAN ISLANDS MONETARY AUTHORITY"
